編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKKJIOFFJD08CA,龜丹段,991.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00060002
RPPNMLKKJIOFFJD08CA,龜丹段,3961.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00080000
RPSNMLSJJIOFFDD48CA,代天段,143.31,都市：住,1,1,全筆移轉,00370005
RPWNMLPKJIOFFBD48CA,鹿北段,1940.00,都市：農,2,1,持分移轉,05790000
RPWNMLPKJIOFFBD48CA,鹿北段,47.79,都市：其他:道路用地,2,1,持分移轉,05810000
RPPNMLPJKIOFFHD48DA,茄拔段一小段,44.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09740001
RPVNMLLKJIOFFFD38CA,二重溪段,1855.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180016
RPRNMLSJJIOFFDD38CA,代天段,143.32,都市：住,1,1,全筆移轉,00370004
RPPNMLSKJIOFFED38CA,糞箕湖段木屐寮小段,1003.00,都市：其他:水利用地,1,1,全筆移轉,01870012
RPUNMLQJJIOFFBD28CA,國安段,100.00,都市：住,1,1,全筆移轉,17080000
RPTNMLSJIIOFFGD78CA,慶安段,133.17,都市：住,7,1,持分移轉,04900000
RPQNMLSJIIOFFED28CA,頭前段,27.34,都市：住,128,4,持分移轉,07440000
RPROMLTJIIOFFGD78CA,忠孝南段,74.55,都市：住,4,1,持分移轉,04690000
RPVNMLMKJIOFFID78CA,媽祖廟段一小段,262.14,非都市：一般農業區 ; 非都市編定：農牧用地,7,1,持分移轉,00850000
RPUNMLTJIIOFFKD86DA,北灣段,2.36,都市：住,1,1,全筆移轉,01050001
RPWNMLLKJIOFFAD97CA,東興段,82.92,都市：住,1,1,全筆移轉,02520134
RPWNMLTJIIOFFFD09CA,晉江段,30.18,都市：住,20,1,持分移轉,04170000
RPWNMLTJIIOFFFD09CA,晉江段,.84,都市：住,20,1,持分移轉,04190000
RPWNMLTJIIOFFFD09CA,晉江段,11.58,都市：住,50,1,持分移轉,04360000
RPWNMLTJIIOFFFD09CA,晉江段,7.48,都市：住,50,1,持分移轉,04370000
RPVNMLTJIIOFFFD98CA,大內段,2625.33,非都市：一般農業區 ; 非都市編定：農牧用地,3,2,持分移轉,12520003
RPUNMLMLIIOFFCD08CA,光華段,12.04,都市：其他:公共設施用地,300,28,持分移轉,03340001
RPUNMLMLIIOFFCD08CA,光華段,14.93,都市：其他:公共設施用地,300,28,持分移轉,03340002
RPTNMLTJIIOFFFD78CA,麻豆寮段,3746.00,非都市：河川區 ; 非都市編定：農牧用地,1,1,全筆移轉,01160009
RPPOMLLLIIOFFHD18DA,胡厝寮段,180.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05620002
RPPNMLRKIIOFFED18CA,二重溪段,1326.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01360015
RPXNMLRKIIOFFBD68CA,和館段,6777.40,都市：商,100,35,持分移轉,01000002
RPVNMLRJIIOFFCD48CA,自由段,653.46,都市：住,1,1,全筆移轉,00010000
RPPNMLMKJIOFFGD97CA,竹橋段,1180.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16320000
RPTNMLMLIIOFFGD38CA,國中段,124.50,都市：其他:道路用地,2,1,持分移轉,07160000
RPRNMLPKIIOFFED18CA,海豐厝段,80.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,56910,23009,持分移轉,15240000
RPRNMLPKIIOFFED18CA,海豐厝段,2220.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15240003
RPQNMLPKIIOFFED08CA,下茄苳段,16.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,116,2,持分移轉,16290035
RPQNMLPKIIOFFED08CA,下茄苳段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16290037
RPSNMLPKIIOFFJD78CA,玉興段,90.79,都市：住,1,1,全筆移轉,05090007
RPWNMLPKIIOFFHD09DA,善新段,22.55,都市：住,100000,478,持分移轉,01030000
RPWNMLPKIIOFFHD09DA,營新段,.44,都市：住,100000,478,持分移轉,00110000
RPUQMLSKIIOFFKD07CA,康橋段,20467.66,都市：其他:生活服務專用區,1,1,全筆移轉,00400000
RPTQMLSKIIOFFKD96CA,康橋段,2500.63,都市：其他:生活服務專用區,1,1,全筆移轉,00400001
RPSQMLSKIIOFFKD86CA,康橋段,16524.76,都市：其他:生活服務專用區,1,1,全筆移轉,00360000
RPVNMLPKIIOFFBD28CA,國安段,169.59,都市：住,1,1,全筆移轉,17610004
RPSOMLPKIIOFFKD98CA,禹帝段,29.83,都市：住,10000,239,持分移轉,04600000
RPRNMLLMKIOFFID58CA,崙尾段,4.32,都市：其他:河川區,6,1,持分移轉,08320000
RPRNMLLMKIOFFID58CA,崙尾段,19.92,都市：其他:河川區,6,1,持分移轉,08320001
RPRNMLLMKIOFFID58CA,崙尾段,16.32,都市：其他:河川區,6,1,持分移轉,08320002
RPPNMLPKIIOFFDD87CA,番子厝段,1920.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,36570000
RPWNMLRJJIOFFID66CA,保甲段,3.75,都市：住,100000,284,持分移轉,03910000
RPWNMLRJJIOFFID66CA,保甲段,1.27,都市：住,100000,284,持分移轉,03900000
RPPNMLMLIIOFFBD47CA,國安段,3380.60,都市：住,1,1,全筆移轉,15510002
RPWNMLOKIIOFFHD88CA,草山段,339.50,非都市：森林區 ; 非都市編定：農牧用地,4,1,持分移轉,03960000
RPWNMLOKIIOFFHD88CA,草山段,41.25,非都市：森林區 ; 非都市編定：農牧用地,4,1,持分移轉,03940000
RPWNMLOKIIOFFHD88CA,草山段,87.25,非都市：森林區 ; 非都市編定：農牧用地,4,1,持分移轉,04010000
RPWNMLOKIIOFFHD88CA,草山段,184.25,非都市：森林區 ; 非都市編定：農牧用地,4,1,持分移轉,04750000
RPWNMLOKIIOFFHD88CA,草山段,101.75,非都市：森林區 ; 非都市編定：農牧用地,4,1,持分移轉,04760000
RPWNMLOKIIOFFHD88CA,草山段,69.00,非都市：森林區 ; 非都市編定：農牧用地,4,1,持分移轉,04770000
RPWNMLOKIIOFFHD88CA,草山段,53.25,非都市：森林區 ; 非都市編定：農牧用地,4,1,持分移轉,04800000
RPPNMLRKIIOFFFD28CA,麻豆口段,70.80,都市：其他:部分乙種工業區部分第二種道路用地,5,1,持分移轉,01130006
RPPNMLRKIIOFFFD28CA,麻豆口段,297.80,都市：其他:部分乙種工業區部分第二種道路用地,5,1,持分移轉,01130007
RPPNMLRKIIOFFFD28CA,麻豆口段,51.00,都市：其他:部分乙種工業區部分第二種道路用地,5,1,持分移轉,01130021
RPPNMLRKIIOFFFD28CA,麻豆口段,608.20,都市：其他:部分乙種工業區部分第二種道路用地,5,1,持分移轉,01130022
RPPNMLRKIIOFFFD28CA,麻豆口段,10.60,都市：其他:道路用地,5,1,持分移轉,01130023
RPUNMLOLIIOFFBD18CA,國安段,1388.94,都市：住,1,1,全筆移轉,15710001
RPXOMLPJJIOFFDD78CA,柳南段,22.70,都市：住,10000,730,持分移轉,09540015
RPXOMLPJJIOFFDD78CA,柳南段,118.12,都市：住,1,1,全筆移轉,09540016
RPXOMLPJJIOFFDD78CA,柳南段,6.46,都市：住,47,1,持分移轉,09540025
RPUOMLSLIIOFFGD56CA,興太段,111.28,都市：住,1,1,全筆移轉,08180000
RPWNMLMLIIOFFCD28CA,光華段,30.96,都市：其他:公共設施用地,100,24,持分移轉,03340001
RPWNMLMLIIOFFCD28CA,光華段,38.40,都市：其他:公共設施用地,100,24,持分移轉,03340002
RPSNMLTJIIOFFGD88DA,興善段,91.70,都市：住,1,1,全筆移轉,09340011
RPVNMLMLIIOFFCD18CA,光華段,8.60,都市：其他:公共設施用地,300,20,持分移轉,03340001
RPVNMLMLIIOFFCD18CA,光華段,10.67,都市：其他:公共設施用地,300,20,持分移轉,03340002
RPSNMLMKJIOFFDD97CA,新生段,35.42,都市：住,1970,354,持分移轉,13950000
RPSNMLMKJIOFFDD97CA,新生段,380.59,都市：住,1,1,全筆移轉,14050000
RPSNMLMKJIOFFDD97CA,新生段,111.06,都市：住,1,1,全筆移轉,14220000
RPSNMLMKJIOFFDD97CA,新生段,2.27,都市：其他:學校用地,1,1,全筆移轉,14220001
RPSNMLMKJIOFFDD97CA,新生段,148.02,都市：住,1,1,全筆移轉,14230000
