編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUSMLOKJHPFFJB66CA,41,108.90,住商用,加強磚造,68年3月20日,二層,一層 二層,全筆移轉
RPPNMLKLJHPFFKB08CA,18,250.46,店舖、住宅、機電設備空間、停車空間、人行道,鋼筋混凝土造,91年5月28日,五層,一層 二層 三層 四層 五層 陽台 騎樓,全筆移轉
RPOQMLOKJHPFFCB77CA,26,15.43,住家用,鋼筋混凝土造,82年10月14日,十二層,十二層 陽台,全筆移轉
RPOQMLOKJHPFFCB77CA,26,9.26,共有部份,鋼筋混凝土造,82年10月14日,十二層,,持分移轉
RPRPMLRLKHPFFCB48CA,22,260.32,辦公室,鋼筋混凝土造,86年11月21日,二十一層,二層 陽台,全筆移轉
RPRPMLRLKHPFFCB48CA,22,130.11,共有部份,鋼筋混凝土造,86年11月21日,二十一層,,持分移轉
RPSPMLPKJHPFFJB88CA,45,31.33,住家用,加強磚造,63年12月3日,二層,一層 二層,持分移轉
RPUSMLMLJHPFFCB48CA,31,14.85,住家用,鋼筋混凝土造,78年5月24日,五層,二層 陽台 花台,全筆移轉
RPUSMLMLJHPFFCB48CA,31,6.48,共有部份,鋼筋混凝土造,78年5月24日,五層,,持分移轉
RPRNMLPKJHPFFKB68CA,40,28.01,住家用,鋼筋混凝土造,69年5月9日,四層,三層 電梯樓梯間,全筆移轉
RPSNMLPKJHPFFKB78CA,27,270.24,住房、店舖、儲藏室,鋼筋混凝土造,82年5月18日,五層,一層 二層 三層 四層 五層 陽台 平台 騎樓,全筆移轉
RPUOMLOKJHPFFAB97CA,24,23.67,集合住宅,鋼骨鋼筋混凝土造,85年5月20日,十九層,十八層 陽台 花台 雨遮,全筆移轉
RPUOMLOKJHPFFAB97CA,24,4.39,共同使用,鋼骨鋼筋混凝土造,85年5月20日,十九層,,持分移轉
RPPPMLPKKHPFFAB77CA,25,202.37,集合住宅,鋼筋混凝土造,84年5月6日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物,全筆移轉
