編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLOKJHPFFBM76CA,24,.76,辦公室,鋼筋混凝土造,84年9月27日,十二層,地下二層,持分移轉
RPXNMLOKJHPFFBM76CA,24,16.43,停車空間、防空避難室、水塔、管理室、梯間、走道、機械室、門廳,鋼筋混凝土造,84年9月27日,十二層,,持分移轉
RPXNMLOKJHPFFBM76CA,24,108.51,住家用,鋼筋混凝土造,84年9月27日,十二層,八層 陽台,全筆移轉
RPXNMLOKJHPFFBM76CA,24,30.58,停車空間、防空避難室、水塔、管理室、梯間、走道、機械室、門廳,鋼筋混凝土造,84年9月27日,十二層,,持分移轉
RPTOMLKLJHPFFAM68CA,22,193.49,住家用,鋼筋混凝土造,86年9月6日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPPNMLOJKHPFFDM78CA,39,112.34,住家用,鋼筋混凝土加強磚造,70年3月17日,二層,一層 二層 騎樓,全筆移轉
RPPNMLLMJHPFFBM48CA,24,233.41,商業用,鋼筋混凝土造,84年9月27日,十二層,一層 二層 騎樓,全筆移轉
RPPOMLOJKHPFFAM58CA,38,146.70,住商用,鋼筋混凝土加強磚造,70年10月15日,二層,一層 二層 騎樓,全筆移轉
RPTNMLMKKHPFFAM78CA,22,17.18,停車空間,鋼筋混凝土造,86年9月19日,十四層,,持分移轉
RPRNMLOJKHPFFAM68CA,23,177.18,住家用,鋼筋混凝土造,85年7月5日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPTNMLLMJHPFFCM98CA,40,65.08,住宅、人行道,加強磚造,69年5月28日,一層,一層 騎樓,全筆移轉
RPXNMLPJKHPFFBM86CA,29,18.51,住家用,鋼筋混凝土造,79年12月15日,五層,五層 陽台,全筆移轉
RPXNMLPJKHPFFBM86CA,29,5.92,樓梯、通道、電梯、水箱,鋼筋混凝土造,79年12月15日,五層,,持分移轉
RPPNMLQJKHPFFBM78CA,30,114.17,住家用,鋼筋混凝土造,79年3月9日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPPNMLMKKHPFFCM58CA,24,146.54,住家用,鋼筋混凝土造,84年12月30日,四層,一層 二層 三層 四層 陽台 平台 花台,全筆移轉
RPQNMLQJKHPFFAM88DA,40,95.25,住家用,鋼筋混凝土加強磚造,68年10月17日,二層,一層 二層,全筆移轉
RPUNMLLKKHPFFCM98CA,27,156.49,住宅、車房,鋼筋混凝土造,82年6月18日,四層,一層 二層 三層 四層 電梯樓梯間,全筆移轉
