編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXOMLRJNHPFFCB09CA,坡道平面,2800000,23.27,
RPXNMLRLMHPFFFB76CA,坡道平面,0,,
RPTNMLRJNHPFFCB58CA,坡道平面,1500000,27.50,
RPUOMLPKNHPFFCB68CA,坡道機械,730000,14.15,
RPUPMLRLMHPFFBB88CA,坡道平面,1050000,13.48,
RPUPMLRLMHPFFBB88CA,坡道平面,1000000,12.90,
RPVNMLNLMHPFFCB48CA,坡道機械,0,12.39,
RPPOMLNLMHPFFAB77CA,坡道平面,0,31.49,
RPTNMLLJNHPFFHB48CA,坡道機械,0,,
RPRPMLSLMHPFFIB76CA,坡道機械,0,,
RPPOMLMKNHPFFJB58CA,坡道平面,0,39.67,
RPROMLKMMHPFFBB87CA,坡道平面,0,18.56,
RPPNMLKMMHPFFBB57CA,升降機械,0,32.88,
RPTRMLOJNHPFFAB48CA,坡道機械,404000,,
RPVNMLOLMHPFFIB56CA,坡道機械,0,,
RPUSMLOJNHPFFAB68CA,升降機械,330000,,
RPVPMLKMMHPFFBB38CA,坡道機械,0,,
RPTQMLTLMHPFFCB56CA,坡道平面,0,16.63,
RPUNMLLJNHPFFBB97CA,坡道平面,1700000,67.15,
RPUNMLLJNHPFFBB97CA,坡道平面,1050000,25.86,
RPUNMLLJNHPFFBB97CA,坡道平面,1050000,25.86,
RPRNMLQJNHPFFAB08CA,坡道平面,0,34.70,
RPRNMLQJNHPFFAB08CA,坡道平面,0,34.70,
RPROMLOKNHPFFCB28CA,坡道平面,0,25.84,
RPROMLOKNHPFFCB28CA,坡道平面,0,25.84,
RPSSMLMLNHPFFIB66CA,坡道機械,0,,
RPPOMLRLMHPFFJB09CA,坡道機械,0,11.57,
RPRPMLQJNHPFFAB28CA,坡道機械,0,14.89,
RPQOMLRJNHPFFCB38CA,坡道機械,990000,19.38,
RPTOMLSLMHPFFBB78CA,坡道平面,0,30.65,
RPWPMLSJNHPFFBB09CA,坡道平面,0,18.77,
RPXNMLMLNHPFFHB56CA,坡道平面,0,,
RPPOMLOJNHPFFIB58CA,坡道機械,0,16.56,
RPOPMLKMMHPFFIB38CA,坡道機械,0,,
