編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTQMLKLOHPFFAD58CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPOQMLKLOHPFFAD08CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPQQMLKLOHPFFAD28CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPSQMLKLOHPFFAD48CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPRQMLKLOHPFFAD38CB,北元段,15.21,都市：住,100000,401,持分移轉,04330000
RPUQMLKLOHPFFAD68CB,北元段,15.14,都市：住,100000,399,持分移轉,04330000
RPVQMLKLOHPFFAD78CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPORMLKLOHPFFAD18CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPWQMLKLOHPFFAD88CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPXQMLKLOHPFFAD98CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPPRMLKLOHPFFAD28CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPSRMLKLOHPFFAD58CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPVRMLKLOHPFFAD88CB,北元段,15.21,都市：住,100000,401,持分移轉,04330000
RPTRMLKLOHPFFAD68CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPQRMLKLOHPFFAD38CB,北元段,15.14,都市：住,100000,399,持分移轉,04330000
RPURMLKLOHPFFAD78CB,北元段,15.21,都市：住,100000,401,持分移轉,04330000
RPWRMLKLOHPFFAD98CB,北元段,15.21,都市：住,100000,401,持分移轉,04330000
RPXRMLKLOHPFFAD09CB,北元段,15.14,都市：住,100000,399,持分移轉,04330000
RPOSMLKLOHPFFAD28CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPPSMLKLOHPFFAD38CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPQSMLKLOHPFFAD48CB,北元段,15.21,都市：住,100000,401,持分移轉,04330000
RPSSMLKLOHPFFAD68CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPTSMLKLOHPFFAD78CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPVSMLKLOHPFFAD98CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPOTMLKLOHPFFAD38CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPXSMLKLOHPFFAD56CB,北元段,15.21,都市：住,100000,401,持分移轉,04330000
RPPTMLKLOHPFFAD48CB,北元段,15.21,都市：住,100000,401,持分移轉,04330000
RPQTMLKLOHPFFAD58CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPUSMLKLOHPFFAD88CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPRTMLKLOHPFFAD68CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
RPVTMLKLOHPFFAD09CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPUTMLKLOHPFFAD98CB,北元段,11.15,都市：住,100000,294,持分移轉,04330000
RPWTMLKLOHPFFAD56CB,北元段,15.18,都市：住,100000,400,持分移轉,04330000
