編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLKKQHPFFAI56DA,湖內段,6.40,都市：其他:住宅區,20,1,持分移轉,06390000
RPOPMLKKQHPFFAI58DA,湖內段,6.40,都市：其他:住宅區,20,1,持分移轉,06390000
RPXOMLKKQHPFFAI76DA,湖內段,6.40,都市：其他:住宅區,400,20,持分移轉,06390000
RPSNMLOKQHPFFAI66EA,車店段,1.00,都市：其他:道路用地,1,1,全筆移轉,01710084
RPSNMLOKQHPFFAI66EA,車店段,97.00,都市：其他:住宅區,1,1,全筆移轉,01710097
RPUNMLMKQHPFFAI66EA,新太平段,17.36,都市：其他:住宅區,1074,25,持分移轉,06360000
RPUNMLMKQHPFFAI66EA,盧厝段,7.29,都市：其他:住宅區,1074,25,持分移轉,09650000
RPQOMLNKQHPFFAI09EA,遠東段,4.67,都市：其他:住宅區,10000,5,持分移轉,00680007
RPVNMLNKQHPFFAI76DA,長竹段,11.54,都市：其他:住宅區,10000,71,持分移轉,09590000
RPTOMLNKQHPFFAI66DA,遠東段,19.09,都市：其他:住宅區,100000,342,持分移轉,00680000
RPXNMLNKQHPFFAI96DA,竹圍子段中興小段,4.13,都市：其他:商業區,61700,413,持分移轉,01150000
RPPNMLRKQHPFFAI56DA,堀川段,723.00,都市：其他:住宅區,1,1,全筆移轉,00250016
RPUNMLSKQHPFFAI27EA,玉川段,29.00,都市：其他:住宅區,1,1,全筆移轉,01010014
RPUNMLSKQHPFFAI27EA,玉川段,105.00,都市：其他:住宅區,1,1,全筆移轉,01020008
RPOOMLRKQHPFFAI66EA,車店段車店小段,6.06,都市：其他:住宅區,1000,15,持分移轉,09120005
RPPOMLTKQHPFFAI96EA,湖內段,6.40,都市：其他:住宅區,20,1,持分移轉,06390000
RPROMLTKQHPFFAI17EA,湖內段,6.40,都市：其他:住宅區,20,1,持分移轉,06390000
RPUNMLLKQHPFFAI09DA,湖子內段湖美小段,2069.57,都市：其他:休閒專用區,1,1,全筆移轉,05510000
RPRNMLKLQHPFFAI88EA,竹圍子段三小段,291.46,都市：其他:住宅區,3000,669,持分移轉,00370000
RPSNMLKLQHPFFAI98EA,湖子內段湖美小段,3160.77,都市：其他:休閒專用區,1,1,全筆移轉,04580000
RPUNMLTKQHPFFAI37EA,湖子內段興安小段,64.28,,2,1,持分移轉,00510011
RPUNMLTKQHPFFAI37EA,湖子內段興安小段,64.28,,2,1,持分移轉,00510011
RPWNMLTKQHPFFAI57EA,埤子頭段,55.00,都市：其他:住宅區,1,1,全筆移轉,02850006
RPWNMLTKQHPFFAI57EA,埤子頭段,10.00,都市：其他:道路用地,1,1,全筆移轉,02850091
RPPNMLMKQHPFFAI68DA,湖子內段湖美小段,1168.86,都市：其他:休閒專用區,10,7,持分移轉,05480000
RPPNMLMKQHPFFAI68DA,湖子內段湖美小段,500.94,都市：其他:休閒專用區,10,3,持分移轉,05480000
