編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLLKQHPFFBC78CC,德厚段,.00,都市：商,,,,02100007
RPWNMLPLQHPFFBC76CC,港濱段,.00,都市：住,,,,05030000
RPXNMLPLQHPFFCC96CC,武嶺段,.00,都市：住,,,,00990000
RPROMLRLQHPFFCC66CC,五堵段五堵北小段,.00,都市：住,,,,11410000
RPSOMLRLQHPFFCC76CC,大華段,.00,都市：住,,,,04250000
RPXNMLRLQHPFFCC17CC,安國段,.00,都市：住,,,,00270000
RPOOMLRLQHPFFCC98CC,大華段,.00,都市：住,,,,06670000
RPTOMLRLQHPFFCC86CC,新中山段,.00,都市：商,,,,01290000
RPWOMLRLQHPFFBC07CC,延平段,.00,都市：商,,,,06340000
RPPOMLRLQHPFFCC09CC,榮華段,.00,都市：住,,,,10400000
RPRPMLRLQHPFFBC66CC,福祿段,.00,都市：住,,,,07670000
RPRPMLRLQHPFFBC66CC,福祿段,.00,都市：住,,,,07670001
RPSPMLRLQHPFFBC76CC,福祿段,.00,都市：住,,,,09170000
RPXNMLSLQHPFFBC17CC,南新段,.00,都市：住,,,,04780085
RPOOMLSLQHPFFBC98CC,東明段,.00,都市：住,,,,01510000
RPPOMLSLQHPFFBC09CC,培德段,.00,都市：住,,,,00100000
RPROMLSLQHPFFBC66CC,延平段,.00,都市：住,,,,05260001
RPVNMLSLQHPFFCC07CC,大華段,.00,都市：商,,,,02490000
RPTOMLSLQHPFFBC86CC,南新段,.00,都市：住,,,,11440000
RPWNMLSLQHPFFCC17CC,工建段,.00,都市：住,,,,05190000
RPROMLLMQHPFFBC78DC,調和段,35.38,都市：住,,,,13410000
RPOOMLMJRHPFFCC38CC,源遠段,.00,都市：住,,,,11280002
RPVNMLMJRHPFFBC88CC,光明段,.00,都市：住,,,,00730000
RPROMLRJRHPFFCC56CC,新崙段,28.27,都市：住,,,,05980000
RPXNMLMJRHPFFBC09CC,光明段,.00,都市：住,,,,00730000
RPWOMLKKRHPFFCC09CC,大華段,.00,都市：商,,,,13870000
RPWNMLMJRHPFFBC98CC,福祿段,.00,都市：住,,,,05090000
RPPOMLLKRHPFFCC48CC,新中山段,.00,都市：商,,,,00020000
RPXNMLPLQHPFFBC86CC,調和段,.00,都市：住,,,,14130000
RPOOMLPLQHPFFBC68CC,培德段,.00,都市：住,,,,07640000
RPUNMLOKRHPFFBC09CC,日新段二小段,6.66,都市：商,,,,00110000
RPUNMLOKRHPFFBC09CC,日新段二小段,2.91,都市：商,,,,00110001
RPUNMLOKRHPFFBC09CC,日新段二小段,1.00,都市：商,,,,00110005
RPUNMLOKRHPFFBC09CC,日新段二小段,6.00,都市：商,,,,00110014
RPQPMLNLRHPFFBC88CC,長潭段,79.63,都市：住,,,,09470000
RPTOMLPLQHPFFBC56CC,新店段四小段,.00,都市：商,,,,02800000
RPSOMLOLRHPFFBC09CC,港濱段,.00,都市：住,,,,06090000
RPTOMLOLRHPFFBC56CC,調和段,.00,都市：住,,,,14150000
RPSOMLPLQHPFFBC09CC,調和段,.00,都市：住,,,,14150000
RPVOMLOLRHPFFBC76CC,深美段,.00,都市：住,,,,06560000
RPXOMLOLRHPFFBC96CC,福祿段,.00,都市：住,,,,09170000
RPTPMLOLRHPFFBC66CC,福祿段,.00,都市：住,,,,05090000
RPOQMLOLRHPFFBC88CC,祥豐段,.00,都市：住,,,,05170000
RPOQMLOLRHPFFBC88CC,祥豐段,.00,都市：住,,,,05180000
RPOQMLOLRHPFFBC88CC,祥豐段,.00,都市：住,,,,05540000
RPUQMLOLRHPFFBC86CC,成功段,.00,都市：商,,,,09400000
RPXQMLOLRHPFFBC17CC,長潭段,.00,都市：住,,,,07720000
RPPRMLOLRHPFFBC09CC,培德段,.00,都市：住,,,,00460000
RPORMLOLRHPFFBC98CC,南新段,.00,都市：商,,,,00360000
RPORMLOLRHPFFBC98CC,南新段,.00,都市：商,,,,00360001
RPRPMLOLRHPFFCC56CC,工建段,.00,都市：住,,,,05220000
RPWOMLOLRHPFFCC96CC,源遠段,.00,都市：住,,,,12610000
RPPOMLPLRHPFFCC98CC,長安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06830000
RPPPMLOLRHPFFCC98CC,大德段,.00,都市：住,,,,00010000
RPXOMLOLRHPFFCC07CC,安國段,.00,都市：住,,,,00580001
RPTOMLOLRHPFFCC66CC,代天府段,.00,都市：住,,,,08370006
RPTPMLOLRHPFFCC76CC,新會段,.00,都市：住,,,,05080000
RPTOMLOLRHPFFCC66CC,代天府段,.00,都市：住,,,,08370000
RPSOMLOLRHPFFCC56CC,工建段,.00,都市：住,,,,05190000
RPQPMLOLRHPFFCC09CC,明德段,.00,都市：住,,,,06560000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,04930000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,04940000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,04950000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,04950001
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,04960000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,04970000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,04980000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,04990000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,04990001
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,05000000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,05010000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:部份道路用地部份住宅區(住一),,,,05010001
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,05020000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05020001
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:部份道路用地部份住宅區(住一),,,,05060000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05060001
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05100000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:部份道路用地部份住宅區(住一),,,,05110000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05120000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,05120001
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05130000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05140000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05150000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05160000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05170000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05190000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05240000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05250000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05270000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05280000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,05280001
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：住,,,,05290000
RPVPMLOKRHPFFCC86CC,武嶺段,.00,都市：其他:道路用地,,,,05290001
RPWNMLPLRHPFFBC86CC,東信段三小段,58.40,都市：商,,,,00010041
RPOOMLPLRHPFFBC78CC,調和段,.00,都市：住,,,,14140000
RPVOMLPLRHPFFCC96CC,大華段,.00,都市：住,,,,07860000
RPVNMLPLRHPFFBC76CC,長潭段,.00,都市：住,,,,08450003
RPPOMLPLRHPFFBC88CC,忠義段五小段,.00,都市：住,,,,00250015
RPQOMLPLRHPFFBC98CC,深美段,.00,都市：住,,,,06560000
RPXNMLQLRHPFFBC07CC,延平段,.00,都市：商,,,,07070000
RPOOMLQLRHPFFBC88CC,長潭段,.00,都市：住,,,,09750006
RPUNMLTLRHPFFCC17CC,安國段,7.88,都市：其他:部分學校用地、部分道路用地、部分住宅區,,,,00010086
RPSOMLTLRHPFFBC07DC,港濱段,38.80,都市：商,,,,01750001
RPSOMLTLRHPFFBC07DC,港濱段,4.40,都市：住,,,,01750000
RPOOMLPJIIPFFBC77CC,德厚段,.00,都市：商,,,,00380000
RPTRMLTLRHPFFBC37CC,祥豐段,.00,都市：住,,,,05640000
RPPPMLPLRHPFFCC09CC,德安段,.00,都市：住,,,,05270000
RPXOMLPLRHPFFCC17CC,五堵段五堵北小段,.00,都市：住,,,,09080000
RPPOMLTLRHPFFCC76CC,代天府段,.00,都市：住,,,,08370000
RPPOMLTLRHPFFCC76CC,代天府段,.00,都市：住,,,,08370006
RPUNMLRJIIPFFBC48CC,調和段,.00,都市：住,,,,03840000
RPWOMLPLRHPFFCC07CC,八德段,.00,都市：住,,,,05060000
RPPOMLSJIIPFFCC28CC,安國段,.00,都市：住,,,,00650001
RPWNMLMKIIPFFCC38CC,麥金段,10.37,都市：住,,,,05250000
RPSOMLMKIIPFFCC08CC,工建段,3004.00,都市：工,,,,09020000
RPWNMLMKIIPFFCC38CC,麥金段,.01,都市：住,,,,05270001
RPWNMLMKIIPFFCC38CC,麥金段,.00,都市：住,,,,05290002
RPTOMLNKIIPFFCC28CC,榮華段,.00,都市：商,,,,01170000
RPOOMLNKIIPFFBC67CC,延年段,.00,都市：商,,,,10530000
RPUOMLNKIIPFFCC38CC,新會段,.00,都市：住,,,,02700000
RPWOMLNKIIPFFCC58CC,安國段,.00,都市：住,,,,00240000
RPXNMLSJIIPFFCC98CC,情人湖段,.00,都市：住,,,,03400000
RPQOMLNKIIPFFBC87CC,長潭段,.00,都市：住,,,,10190000
RPQOMLNKIIPFFBC87CC,長潭段,.00,都市：住,,,,10190002
RPXNMLNKIIPFFBC48CC,調和段,.00,都市：住,,,,12650000
RPROMLNKIIPFFBC97CC,成功段,.00,都市：商,,,,09790000
RPQOMLPKIIPFFCC18CC,新城段,.00,都市：住,,,,06530000
RPPOMLNKIIPFFBC87DC,深澳段,121.46,都市：住,,,,09160005
RPQOMLPKIIPFFBC08CC,長潭段,.00,都市：住,,,,08920000
RPROMLPKIIPFFCC28CC,安國段,.00,都市：住,,,,00010084
RPOOMLQKIIPFFBC08DC,日新段三小段,128.00,都市：商,,,,00010025
RPOOMLQKIIPFFBC08DC,日新段三小段,19.00,都市：商,,,,00010024
RPXNMLPKIIPFFCC88DC,安國段,28.05,都市：商,,,,00190000
RPSOMLPKIIPFFCC38CC,大華段,.00,都市：住,,,,05760000
RPPOMLKLIIPFFCC77DC,太平段,18.20,都市：商,,,,04870000
RPPOMLKLIIPFFCC77DC,太平段,3.10,都市：商,,,,04880000
RPROMLLLIIPFFCC97CC,德安段,93.27,都市：住,,,,12300000
RPROMLLLIIPFFCC97CC,榮華段,1.86,都市：住,,,,12050001
RPXNMLTLIIPFFCC66CC,代天府段,.00,都市：住,,,,08370000
RPOOMLTLIIPFFBC38CC,長潭段,204.66,都市：住,,,,09750022
RPUNMLKMIIPFFCC18CC,武嶺段,9.11,都市：住,,,,04340000
RPUNMLKMIIPFFCC18CC,武嶺段,4.02,都市：住,,,,04340001
RPUNMLKMIIPFFCC18CC,武嶺段,16.41,都市：住,,,,04330000
RPUNMLKMIIPFFCC18CC,武嶺段,.57,都市：住,,,,04330001
RPWNMLKMIIPFFCC38CC,台五線段,257.85,都市：工,,,,03670000
RPWNMLKMIIPFFCC38CC,台五線段,502.48,都市：工,,,,03710000
RPWOMLMJJIPFFBC38CC,延平段,64.00,都市：商,,,,07720000
RPWOMLMJJIPFFBC38CC,延平段,13.00,都市：商,,,,07740000
