鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,建物,桃園市桃園區南平路１１０巷２８號５樓,0.0,住,,,1090807,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701022,57.44,1,1,1,有,無,有,10000,174,,0.0,0,,RPQPMLLKQHPFFAH88CC
桃園區,房地(土地+建物),桃園市桃園區大興路２８８-２號１樓,29.54,住,,,1090729,土地1建物1車位0,見其他登記事項,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,1020925,165.08,0,0,0,無,有,無,55000,333,,0.0,0,,RPOWMLLKQHPFFAH76CC
中壢區,建物,桃園市中壢區中園路２２號１０樓之１,0.0,住,,,1090722,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960301,110.19,2,1,1,有,有,有,11700,106,,0.0,1800,社會住宅車位一個,RPPPMLLKQHPFFBH88CC
中壢區,建物,桃園市中壢區五族街１３０巷８號,0.0,住,,,1090724,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610326,94.99,4,2,2,有,無,有,14600,154,,0.0,0,社會住宅,RPVPMLLKQHPFFBH86CC
中壢區,房地(土地+建物)+車位,桃園市中壢區南園二路２６２號６樓,29.06,住,,,1090804,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001109,188.63,3,1,2,有,無,有,22500,119,坡道平面,0.0,2500,,RPWPMLLKQHPFFBH96CC
中壢區,建物,桃園市中壢區福星七街１１３號５樓,0.0,住,,,1090806,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821201,120.46000000000001,3,2,2,有,無,無,12000,100,,0.0,0,,RPQQMLLKQHPFFBH09CC
中壢區,建物,桃園市中壢區四維路１２號,0.0,住,,,1090715,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810918,138.8,0,0,0,無,無,無,15000,108,,0.0,0,,RPOVMLLKQHPFFBH76CC
楊梅區,建物,桃園市楊梅區中山北路二段８２巷２號５樓,0.0,住,,,1090630,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821022,96.99,3,2,2,有,無,有,10500,108,,0.0,0,社會住宅,RPRNMLLKQHPFFDH09CC
楊梅區,建物,桃園市楊梅區青山二街４２５號２樓,0.0,住,,,1090703,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840324,113.68,3,2,2,有,無,有,9000,79,,0.0,0,社會住宅,RPSNMLLKQHPFFDH56CC
楊梅區,建物,桃園市楊梅區金山街２９８巷３８號七樓,0.0,住,,,1090703,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021115,162.78,3,2,2,有,無,有,13600,84,坡道平面,0.0,0,社會住宅租賃車位1位,RPTNMLLKQHPFFDH66CC
楊梅區,建物,桃園市楊梅區福羚路２００巷６弄１５號４樓,0.0,住,,,1090624,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800213,242.82000000000002,5,2,2,有,無,有,18500,76,坡道平面,0.0,0,社會住宅租賃車位1個,RPUNMLLKQHPFFDH76CC
