編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLLLQHPFFDJ07CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510008
RPTPMLLKQHPFFDJ07CC,中勢段,.00,,,,,09350000
RPVNMLLLQHPFFDJ17CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510000
RPVNMLLLQHPFFDJ17CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510025
RPVNMLLLQHPFFCJ07CC,竹東段竹東小段,.00,都市：住,,,,00420003
RPWNMLLLQHPFFDJ27CC,長嶺段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09910044
RPWPMLQLQHPFFBJ77CC,大學段,.00,都市：住,,,,02140000
RPXPMLQLQHPFFBJ87CC,家興段,.00,都市：住,,,,05910000
RPOQMLQLQHPFFBJ07CC,水瀧段,.00,都市：住,,,,00280000
RPPQMLQLQHPFFBJ17CC,家興段,.00,都市：住,,,,01110000
RPRRMLRLQHPFFDJ77CC,吉祥段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01600000
RPVQMLRLQHPFFBJ87CC,隘興段,.00,都市：住,,,,07190000
RPTOMLSLQHPFFDJ77CC,長威段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,16520004
RPSOMLSLQHPFFDJ67CC,永安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04170000
RPPQMLLMQHPFFBJ76CC,寶鎮段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,09870000
RPSQMLSLQHPFFBJ67CC,水瀧段,.00,都市：商,,,,01180000
RPROMLLMQHPFFCJ86CC,東寧段,.00,都市：住,,,,17250000
RPQNMLLJRHPFFDJ56CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510038
RPQPMLNJRHPFFBJ76CC,永興段,.00,都市：商,,,,04950000
RPXOMLNJRHPFFBJ37CC,世興段,.00,都市：商,,,,00270000
