鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段９３號３樓之５,0.0,住,,,1090801,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,173.64,3,2,2,有,有,有,30800,177,坡道平面,0.0,0,,RPQNMLMKQHPFFDQ37CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路１３９號六樓之２６,15.2,住,,,1090810,土地1建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.22,1,0,1,有,有,有,3000,96,,0.0,0,,RPROMLRKQHPFFBQ87CC
朴子市,房地(土地+建物)+車位,嘉義縣朴子市祥和二路西段５７號２~５樓,128.29,住,,,1090729,土地1建物1車位0,全,5,透天厝,車庫、店舖、集合住宅,鋼筋混凝土造,0960910,577.24,21,0,21,有,無,有,89000,154,其他,115.45,0,,RPTOMLRKQHPFFBQ08CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉大崎村十四甲１６-１５０號,1328.54,,鄉村區,丁種建築用地,1090702,土地2建物1車位0,一層,1,工廠,廠房,鋼骨構造,1081014,294.63,0,0,0,無,無,無,68000,,,0.0,0,,RPTNMLTKQHPFFCQ48EC
朴子市,建物,嘉義縣朴子市仁和二路１３９號２樓之２７,0.0,,,,1090725,土地0建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,19.19,1,1,1,有,有,有,3000,156,,0.0,0,,RPPNMLKLQHPFFBQ96CC
太保市,建物,嘉義縣太保市安仁里頂港仔墘４０-７號４樓之３１,0.0,,鄉村區,乙種建築用地,1090801,土地0建物1車位0,四層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940815,21.71,1,1,1,有,無,無,3200,147,,0.0,0,,RPPNMLKLQHPFFDQ17CC
竹崎鄉,房地(土地+建物),嘉義縣竹崎鄉五間厝５８之９號,92.77,,鄉村區,乙種建築用地,1090827,土地1建物1車位0,全,4,透天厝,店舖、住宅,鋼筋混凝土造,1031222,184.19,5,1,6,有,無,無,16000,87,,0.0,0,,RPQNMLLJRHPFFEQ37CC
朴子市,房地(土地+建物),嘉義縣朴子市文化南路１２號,194.0,住,,,1090814,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0760919,134.59,0,0,0,無,無,有,35000,260,,0.0,0,,RPPNMLRJRHPFFBQ57CC
朴子市,房地(土地+建物),嘉義縣朴子市祥和三路西段１９１號４樓之２１,12.27,住,,,1090828,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920821,21.15,1,1,1,有,無,有,3800,180,,0.0,0,,RPQNMLRJRHPFFBQ67CC
朴子市,房地(土地+建物),嘉義縣朴子市祥和三路西段１９１號４樓之２２,12.27,住,,,1090828,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920821,21.15,1,1,1,有,無,有,3800,180,,0.0,0,,RPRNMLRJRHPFFBQ77CC
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段９７號９樓之５,0.0,住,,,1090828,土地1建物1車位1,九層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,175.73,3,2,2,有,有,有,35200,200,坡道平面,0.0,0,,RPRNMLRJRHPFFDQ97CC
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段９７號８樓之６,0.0,住,,,1090820,土地1建物1車位1,八層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,134.2,2,2,1,有,有,有,30800,230,坡道平面,29.87,0,,RPPNMLSKRHPFFDQ97CC
太保市,房地(土地+建物)+車位,嘉義縣太保市保鐵一路二段９７號６樓之７,0.0,住,,,1090830,土地1建物1車位1,六層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060421,178.3,3,2,2,有,有,有,35200,197,坡道平面,29.87,0,,RPRNMLSKRHPFFDQ18CC
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中華路１４５號,56.71,,特定農業區,甲種建築用地,1090917,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,0690813,158.0,4,2,3,有,無,無,8000,51,,0.0,0,,RPSOMLKMRHPFFDQ77CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉頭橋路５５７之５號,87.87,住,,,1090910,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0820526,211.02,6,1,4,有,無,無,17000,81,,0.0,0,,RPRNMLKMRHPFFCQ47CC
東石鄉,土地,栗子崙段380-9地號,4279.0,,一般農業區,農牧用地,1090914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,28000,7,,0.0,0,,RPTNMLRJIIPFFBQ17CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興南村頭橋７５６號七樓,18.75,住,,,1090922,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821214,81.79,3,1,2,有,有,有,10000,122,,0.0,0,,RPSNMLNKIIPFFCQ96DC
水上鄉,土地,水南段803地號,966.94,住,,,1090918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,46000,48,,0.0,0,,RPVNMLOKIIPFFDQ37CC
中埔鄉,房地(土地+建物),嘉義縣中埔鄉隆興村１１鄰竹圍仔１０號,6407.8,,特定農業區,農牧用地,1091101,土地1建物1車位0,見其他登記事項,1,農舍,農舍,鋼筋混凝土造,0940408,550.35,3,2,2,有,無,無,41666,,,0.0,0,,RPQNMLMJJIPFFDQ66CC
太保市,土地,過溝段過溝小段657-1地號,259.0,住,,,1090909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,72000,278,,0.0,0,租任未保存登記建物,RPSNMLTJJIPFFDQ67DC
