編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPJLHJGFGB77DA,新合作段,331.74,都市：其他:道路用地,1,1,全筆移轉,03800000
RPROMLPLJHJGFFB97DA,鹿峰東段,137.20,都市：其他:第四種住宅區,1,1,全筆移轉,00960000
RPPNMLPJLHJGFGB77DA,新合作段,95.51,都市：其他:住宅區,1,1,全筆移轉,03870000
RPPNMLKKJHJGFFB07DA,晉江北段,76.14,都市：其他:第二種住宅區,1,1,全筆移轉,02090000
RPROMLPLJHJGFFB97DA,鹿峰東段,9.68,都市：其他:第四種住宅區,13,1,持分移轉,01040000
RPROMLPLJHJGFFB97DA,鹿峰東段,15.43,都市：其他:第四種住宅區,13,1,持分移轉,01080000
RPPOMLKLKHJGFFB37DA,福成段,5.08,都市：其他:第二種住宅區,12,1,持分移轉,04180000
RPROMLPLJHJGFFB97DA,鹿峰東段,19.23,都市：其他:第四種住宅區,13,1,持分移轉,01090000
RPROMLPLJHJGFFB97DA,鹿峰東段,1.74,都市：其他:第四種住宅區,13,1,持分移轉,01120000
RPROMLPLJHJGFFB97DA,鹿峰東段,10.00,都市：其他:第四種住宅區,92,1,持分移轉,01200000
RPROMLPLJHJGFFB97DA,鹿峰東段,.56,都市：其他:第四種住宅區,92,1,持分移轉,01220000
RPROMLPLJHJGFFB97DA,牛罵頭段,1.39,都市：其他:第四種住宅區,92,1,持分移轉,07340000
RPROMLPLJHJGFFB97DA,牛罵頭段,.63,都市：其他:第四種住宅區,92,1,持分移轉,07350000
RPROMLPLJHJGFFB97DA,牛罵頭段,.44,都市：其他:第四種住宅區,92,1,持分移轉,07360000
RPPOMLKLKHJGFFB37DA,福成段,14.61,都市：其他:第二種住宅區,12,1,持分移轉,04200000
RPROMLPLJHJGFFB97DA,牛罵頭段,.02,都市：其他:第四種住宅區,92,1,持分移轉,07370000
RPPOMLKLKHJGFFB37DA,福成段,75.65,都市：其他:第二種住宅區,1,1,全筆移轉,04310000
RPPNMLPKKHJGFIB08EA,復興段,.69,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,06450000
RPPNMLPKKHJGFIB08EA,復興段,82.19,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,06460000
RPPNMLPKKHJGFIB08EA,復興段,6.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,06540000
RPRNMLPJKHJGFEB67DA,新六分段,2761.42,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07790000
