編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLTKKHJGFAN88DA,坡道平面,0,,地下一樓
RPVNMLQKKHJGFCN66DA,坡道機械,250000,328.58,地下一樓
RPPNMLMLJHJGFBN18DA,坡道平面,0,,地下一樓
RPVNMLSKJHJGFBN66DA,升降機械,0,,一樓
RPXOMLMKJHJGFAN88DA,升降機械,200000,5.87,地下二樓
RPPNMLPLJHJGFAN38DA,坡道平面,0,,地下一樓
RPROMLSJJHJGFAN78DA,坡道平面,800000,,地下一樓
RPRNMLQLJHJGFAN68DA,升降機械,0,,地下一樓
RPPNMLLJKHJGFDN18DA,坡道平面,0,,地下一樓
RPPNMLLJKHJGFDN18DA,坡道平面,0,,地下一樓
RPTNMLTLJHJGFDN86DA,其他,900000,16.69,一樓
RPQNMLQLJHJGFEN98DA,坡道平面,0,,地下一樓
RPPNMLLMJHJGFDN38DA,坡道機械,0,,地下一樓
RPQNMLPKKHJGFFN98DA,一樓平面,0,,一樓
RPPNMLKLKHJGFAN97DA,坡道機械,0,,地下一樓
RPTNMLKMJHJGFDN68DA,其他,600000,16.69,一樓
RPRNMLRKKHJGFDN09DA,坡道機械,0,,地下一樓
RPSNMLQKKHJGFAN78DA,坡道平面,0,,地下一樓
RPQOMLRKKHJGFAN78DA,坡道平面,0,,地下二樓
RPQOMLTKKHJGFDN66DA,坡道機械,0,,地下一樓
RPPNMLMLKHJGFDN48DA,坡道平面,0,,地下二樓
RPOOMLQKKHJGFAN48DA,坡道機械,0,,地下一樓
RPRNMLNLKHJGFAN48DA,坡道平面,0,,地下一樓
RPPNMLQLKHJGFAN58DA,坡道平面,0,,地下二樓
RPOOMLTKKHJGFDN09DA,坡道平面,0,,地下二樓
RPPNMLOLKHJGFDN68DA,其他,600000,16.81,一樓
RPQNMLOLKHJGFDN78DA,其他,900000,16.81,一樓
RPPNMLMLKHJGFCN38DA,坡道機械,0,,地下一樓
RPTNMLNLKHJGFDN98DA,一樓平面,0,,一樓
RPROMLTKKHJGFAN09DA,坡道機械,0,,地下一樓
RPVNMLLJLHJGFAN58DA,坡道機械,0,,地下一樓
RPRNMLOJLHJGFAN48DA,坡道平面,0,,地下一樓
RPSNMLPJLHJGFDN98DA,其他,600000,16.81,一樓
RPPNMLPJLHJGFAN38DA,坡道機械,0,,地下三樓
RPTNMLOJLHJGFDN98DA,其他,0,8.07,一樓
RPRNMLPJLHJGFDN88DA,其他,0,8.07,一樓
RPQNMLLLKIIGFCN38DA,坡道機械,0,,地下一樓
RPVNMLPLKIIGFAN09DA,坡道平面,1800000,33.41,地下一樓
RPQNMLRLKIIGFBN88DA,升降機械,0,9.92,一樓
RPSNMLKKKIIGFAN18DA,坡道機械,0,,地下一樓
RPPOMLPLKIIGFAN58DA,升降平面,0,10.58,地下一樓
RPWNMLOJKIIGFAN88DA,坡道機械,600000,9.90,地下一樓
RPRNMLPLKIIGFCN88DA,坡道機械,0,,地下一樓
RPSRMLNJJHJGFDN98DA,坡道平面,0,,地下二樓
RPVNMLRLKIIGFAN66DA,坡道機械,0,,地下一樓
RPQNMLLJJHJGFDN18DA,坡道平面,1550000,35.39,地下二樓
RPSNMLOJJHJGFHN09DA,坡道平面,0,,地下一樓
RPQNMLSJJHJGFCN78DA,坡道機械,0,,地下一樓
RPUNMLKKJHJGFDN58DA,一樓平面,0,,一樓
RPWNMLOJJHJGFHN86DA,坡道機械,0,,地下一樓
RPQNMLSLKIIGFAN88DA,坡道機械,0,,地下一樓
RPTNMLTJJHJGFDN66DA,坡道平面,0,,地下一樓
RPXNMLPJJHJGFFN86DA,坡道機械,0,,地下一樓
