鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
花蓮市,租賃房屋,花蓮縣花蓮市華廈街２０號３樓之２,16.75,住,,,1121020,土地2建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840630,87.35,2,1,1,有,有,無,14000,160,,0.0,0,,RPQNMLNKJIIGFAU98CC,整棟(戶)出租,有,1121101~1131030,有,冷氣、洗衣機、冰箱、瓦斯或天然氣,
花蓮市,租賃房屋,花蓮縣花蓮市中央路四段３２０號,0.0,,,,1121031,土地0建物0車位0,全,3,透天厝,住商用,鋼鐵﹝鋼骨﹞造有牆,0950102,19.84,10,0,10,有,無,有,4800,242,,0.0,0,,RPRNMLNKJIIGFAU09CC,分租套房,無,1121101~1130131,有,冷氣、電視機、冰箱、有線電視、網路,一般轉租
花蓮市,租賃房屋,花蓮縣花蓮市國聯五路２之８號４樓六,3.6,商,,,1121110,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0761104,60.379999999999995,1,1,1,有,有,有,10000,166,,0.0,0,,RPPNMLOKJIIGFAU98CC,整棟(戶)出租,無,1121115~1131114,有,冷氣、洗衣機、電視機、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市國盛六街５３號５樓-２０,0.0,,,,1121107,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830414,83.17,3,1,2,有,無,有,14500,174,,0.0,0,,RPPNMLPKJIIGFAU09CC,整棟(戶)出租,無,1121115~1131114,有,熱水器、洗衣機、電視機、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市商校街１８４之１號,0.0,,,,1121110,土地0建物0車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760223,37.98,24,0,23,有,無,有,12000,316,,0.0,0,多人共同承租2；,RPQNMLPKJIIGFAU56CC,分租套房,無,1121122~1131121,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
花蓮市,租賃房屋,花蓮縣花蓮市國聯四路２３號,0.0,,,,1121107,土地0建物0車位0,全,4,透天厝,店鋪、住宅、民宿,鋼筋混凝土造,0700828,26.45,12,1,12,有,無,有,7000,265,,0.0,0,,RPRNMLPKJIIGFAU66CC,分租套房,無,1121115~1131114,無,冷氣、熱水器、電視機、冰箱、網路,
花蓮市,租賃房屋,花蓮縣花蓮市國興一街９５號八樓之十二,10.41,其他,,,1121027,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),倉儲,鋼筋混凝土造,0810930,55.89,1,1,1,有,有,有,10000,179,,0.0,0,,RPSNMLPKJIIGFAU76CC,整棟(戶)出租,有,1121028~1131027,有,冷氣、熱水器、洗衣機、電視機、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市中興路２２８號,78.0,住,,,1121018,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0690119,100.67,4,2,2,有,無,有,20000,199,,0.0,0,,RPPNMLPKJIIGFAU56DC,整棟(戶)出租,無,1121105~1131104,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般包租
花蓮市,租賃房屋,花蓮縣花蓮市國興三街４７之４號,17.42,住,,,1121017,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730827,48.620000000000005,2,1,1,有,無,有,12000,247,,0.0,0,,RPQNMLPKJIIGFAU66DC,整棟(戶)出租,無,1121106~1131105,無,冷氣、洗衣機、冰箱,一般包租
