編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTKKHJGFBA67DB,文昌段二小段,8.55,都市：住,100000,2832,持分移轉,05490000
RPQNMLTKKHJGFAA57CB,南海段五小段,11.18,都市：住,100000,2176,持分移轉,07020000
RPQNMLTKKHJGFAA57CB,南海段五小段,3.94,都市：住,100000,2176,持分移轉,07020001
RPQNMLTKKHJGFAA57CB,南海段五小段,.94,都市：住,100000,2176,持分移轉,07020002
RPQNMLTKKHJGFAA57CB,南海段五小段,1.54,都市：住,100000,2176,持分移轉,07040000
RPQNMLTKKHJGFAA57CB,南海段五小段,1.50,都市：住,100000,2176,持分移轉,07040009
RPQNMLTKKHJGFAA57CB,南海段五小段,1.33,都市：住,100000,2176,持分移轉,07040010
RPQNMLTKKHJGFAA57CB,南海段五小段,.72,都市：住,100000,2176,持分移轉,07040011
RPQNMLTKKHJGFAA57CB,南海段五小段,.09,都市：住,100000,2176,持分移轉,07040012
RPQNMLTKKHJGFAA57CB,南海段五小段,.93,都市：住,100000,2176,持分移轉,07040013
RPQNMLKLKHJGFCA96CB,中山段三小段,.26,都市：商,100000,368,持分移轉,00570000
RPQNMLKLKHJGFCA96CB,中山段三小段,.29,都市：商,100000,368,持分移轉,00580000
RPQNMLKLKHJGFCA96CB,中山段三小段,.56,都市：商,100000,368,持分移轉,00590000
RPQNMLKLKHJGFCA96CB,中山段三小段,1.44,都市：商,100000,368,持分移轉,00600000
RPQNMLKLKHJGFCA96CB,中山段三小段,.79,都市：商,100000,368,持分移轉,00610000
RPPNMLMLKHJGFCA07CB,文德段二小段,.97,都市：住,10000,242,持分移轉,04610000
RPQNMLKLKHJGFCA96CB,中山段三小段,1.25,都市：商,100000,368,持分移轉,00620000
RPQNMLKLKHJGFCA96CB,中山段三小段,1.74,都市：商,100000,368,持分移轉,00710000
RPPNMLMLKHJGFCA07CB,文德段二小段,1.48,都市：住,10000,242,持分移轉,04620000
RPPNMLMLKHJGFCA07CB,文德段二小段,.73,都市：住,10000,242,持分移轉,04630000
RPPNMLMLKHJGFCA07CB,文德段二小段,1.09,都市：住,10000,242,持分移轉,04640000
RPPNMLMLKHJGFCA07CB,文德段二小段,.58,都市：住,10000,242,持分移轉,04750000
RPPNMLMLKHJGFCA07CB,文德段二小段,.70,都市：住,10000,242,持分移轉,04760000
RPPNMLMLKHJGFCA07CB,文德段二小段,.68,都市：住,10000,242,持分移轉,04770000
RPPNMLMLKHJGFCA07CB,文德段二小段,.75,都市：住,10000,242,持分移轉,04780000
RPPNMLMLKHJGFCA07CB,文德段二小段,.58,都市：住,10000,242,持分移轉,04810002
RPPNMLMLKHJGFCA07CB,文德段二小段,2.90,都市：住,10000,242,持分移轉,04820000
RPPNMLMLKHJGFCA07CB,文德段二小段,.39,都市：住,10000,242,持分移轉,04940000
RPPNMLMLKHJGFCA07CB,文德段二小段,.39,都市：住,10000,242,持分移轉,04950000
RPPNMLMLKHJGFCA07CB,文德段二小段,.44,都市：住,10000,242,持分移轉,04960000
RPPNMLMLKHJGFCA07CB,文德段二小段,2.47,都市：住,10000,242,持分移轉,04970001
RPPNMLNLKHJGFAA96CB,河堤段二小段,6.43,都市：商,100000,700,持分移轉,01430000
RPUNMLMLKHJGFEA77CB,軟橋段,36.49,都市：住,100000,2742,持分移轉,00660000
