鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新店區,租賃房屋,新北市新店區寶慶街５號三樓之一,0.0,,,,1130313,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900322,44.75,1,0,1,有,有,有,14500,324,,0.0,0,,RPPNMLQLJHJGFCF97CC,獨立套房,有,1130324~1140323,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
汐止區,租賃房屋,新北市汐止區大同路二段２８１號１４樓之２,0.0,,,,1130501,土地0建物1車位0,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,57.290000000000006,1,0,1,有,有,有,17000,297,,0.0,0,,RPRNMLRJKHJGFDF28CC,獨立套房,有,1130501~1140430,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中和區,租賃房屋,新北市中和區景平路１１１巷１１號,0.0,,,,1130215,土地0建物0車位0,全,3,透天厝,住宅,加強磚造,0580501,17.07,12,0,12,有,無,有,15500,908,,0.0,0,101室租金總額含管理費；水費；網路費；,RPSNMLPKKHJGFHF68CC,分租套房,無,1130220~1130719,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
板橋區,租賃房屋,新北市板橋區中正路１６３號２樓,0.0,,,,1130215,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0770428,28.0,5,4,5,有,無,有,16500,589,,0.0,0,205室租金總額含網路費；其他第四台；,RPRNMLQKKHJGFAF97CC,分租套房,無,1130301~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
新莊區,租賃房屋,新北市新莊區幸福路７７９號,25.52,住,,,1130215,土地1建物1車位0,見其他登記事項,9,店面(店鋪),住商用,鋼筋混凝土造,0840119,165.65,3,2,2,有,有,無,80000,483,,0.0,0,本租約民國116年4月1到118年3月31日租金為每月新台幣捌萬貳仟元整租金總額含稅；,RPUNMLQKKHJGFBF38CC,,有,1130401~1180331,有,熱水器、瓦斯或天然氣,
新莊區,租賃房屋,新北市新莊區仁愛街１３號４樓,0.0,,,,1130215,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0640507,92.83,3,2,1,有,無,有,15000,162,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為18800，因新北市計劃租金上限為35000，選擇代租方案須打八折且簽約租金無條件捨去至百分位，實際租賃契約金額15000。,RPVNMLQKKHJGFBF48CC,整棟(戶)出租,無,1130228~1160227,無,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
淡水區,租賃房屋+車位,新北市淡水區濱海路一段１７７號６樓,17.4,住,,,1130215,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011101,110.72,1,1,1,有,有,有,21000,190,坡道平面,29.92,0,租金總額含管理費；,RPWNMLQKKHJGFEF88CC,整棟(戶)出租,有,1130301~1150228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
中和區,租賃房屋,新北市中和區大仁街１０８號一樓,0.0,,,,1130215,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0680108,71.38,1,1,1,有,無,無,27000,378,,0.0,0,租金總額含稅；含增建或未登記建物；,RPPNMLQKKHJGFHF48CC,,無,1130215~1131014,無,冷氣、熱水器、瓦斯或天然氣,
中和區,租賃房屋,新北市中和區泰和街３０巷２６號３樓,0.0,,,,1130215,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681221,75.48,3,2,1,有,無,無,24000,318,,0.0,0,日盈包租代管四期多人共同承租2；,RPSNMLQKKHJGFHF78CC,整棟(戶)出租,無,1130301~1140228,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
