編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNKNHJGFEH38EA,坡道平面,1200000,32.97,地下三樓
RPWNMLLJNHJGFDH58DA,坡道平面,0,,地下一樓
RPSOMLKKNHJGFBH08DA,坡道平面,0,,地下二樓
RPOOMLQJNHJGFCH28DA,坡道平面,0,30.86,地下二樓
RPWNMLRJNHJGFFH76DA,坡道平面,0,42.50,地下一樓
RPXOMLPKNHJGFBH09DA,一樓平面,0,,一樓
RPPQMLTJNHJGFAH68DA,坡道平面,0,24.57,地下二樓
RPPQMLTJNHJGFAH68DA,坡道平面,0,24.57,地下二樓
RPVPMLPKNHJGFAH88DA,坡道平面,0,30.01,地下二樓
RPPRMLOKNHJGFAH38DA,坡道平面,1000000,,地下二樓
RPROMLQJNHJGFHH09DA,坡道平面,0,39.68,地下二樓
RPROMLQJNHJGFHH09DA,坡道平面,0,38.02,地下二樓
RPVRMLKLNHJGFBH78DA,一樓平面,0,,一樓
RPQNMLLLNHJGFBH08EA,坡道平面,0,,地下三樓
RPQNMLLLNHJGFBH08EA,坡道平面,0,,地下三樓
RPPSMLKLNHJGFBH28DA,一樓平面,0,,一樓
RPOSMLKLNHJGFBH18DA,一樓平面,0,,一樓
RPSNMLKLNHJGFBH18EA,坡道平面,1500000,35.71,地下一樓
RPWNMLMLNHJGFCH78DA,坡道平面,0,,地下一樓
RPSNMLRKNHJGFCH88EA,坡道機械,300000,22.97,地下三樓
RPPPMLMLNHJGFBH18DA,坡道平面,1500000,,地下三樓
RPORMLLLNHJGFBH18DA,坡道平面,0,,地下二樓
RPRNMLQKNHJGFFH88DA,坡道平面,950000,,地下二樓
RPUNMLOLNHJGFFH09DA,坡道平面,0,29.48,地下一樓
RPQOMLQJNHJGFFH78DA,坡道平面,0,,地下三樓
RPPNMLMLNHJGFAH97EA,坡道平面,1800000,,地下一樓
RPTNMLNLNHJGFAH48EA,坡道平面,1200000,41.78,地下一樓
RPXNMLNKNHJGFGH66DA,坡道平面,0,36.64,地下一樓
RPVNMLOLNHJGFEH09DA,坡道平面,0,35.26,地下二樓
RPTNMLOLNHJGFAH58EA,坡道平面,1250000,33.40,地下二樓
RPUNMLOLNHJGFAH68EA,坡道平面,1250000,33.40,地下二樓
RPRSMLOKNHJGFAH68DA,坡道平面,2200000,29.49,地下二樓
RPPOMLMLNHJGFDH28DA,坡道平面,0,,地下一樓
RPWPMLPKNHJGFDH66DA,坡道平面,0,,地下一樓
RPSNMLOLNHJGFAH48EA,坡道平面,1300000,33.40,地下一樓
RPSNMLOLNHJGFAH48EA,坡道平面,1300000,33.40,地下一樓
RPPNMLRLNHJGFBH58EA,坡道平面,0,,地下二樓
RPPNMLSLNHJGFAH58EA,坡道平面,0,,地下四樓
RPPNMLSLNHJGFAH58EA,坡道平面,0,,地下四樓
RPPNMLSLNHJGFAH58EA,坡道平面,0,,地下四樓
RPWPMLRKNHJGFAH56DA,坡道平面,1500000,28.85,地下二樓
RPPOMLMLNHJGFBH08DA,坡道平面,0,,地下一樓
RPQNMLMLNHJGFDH38EA,坡道平面,0,,地下二樓
RPUOMLNLNHJGFEH98DA,一樓平面,0,,一樓
RPQOMLSLNHJGFDH98DA,坡道機械,0,,地下一樓
RPQOMLNLNHJGFEH58DA,一樓平面,0,,一樓
RPOOMLNLNHJGFEH38DA,一樓平面,0,,一樓
RPQNMLTLNHJGFBH88EA,坡道平面,1300000,,地下二樓
RPQNMLTLNHJGFAH78EA,坡道平面,0,,地下一樓
RPQNMLTLNHJGFAH78EA,坡道平面,0,,地下一樓
