鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路忠義段595地號,32.75,住,,,1130329,土地1建物1車位2,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,209.99,3,2,2,有,無,21370000,109775,坡道平面,44.47,3200000,,RPVNMLNJOHIGFAH38CB,璟都劍橋,A棟1-6F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路與永安路423巷交叉口,20.47,住,,,1130217,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.59,3,2,2,有,無,17350000,124515,坡道平面,31.91,1950000,,RPQNMLRKKHJGFAH08CB,君邑富永,C棟7-10F號,
大溪區,房地(土地+建物)+車位,桃園市大溪區中華路456號,18.26,住,,,1130215,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.22,2,2,2,有,無,7620000,77778,坡道平面,32.32,1250000,,RPQOMLRKKHJGFCH38CB,展志千雅,A3棟7號,
龜山區,房地(土地+建物),桃園市龜山區樂善二路與文化二路交叉口,7.79,住,,,1130215,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.49,2,1,1,有,無,7300000,122710,,0.0,0,,RPPNMLRKKHJGFHH68CB,大華昇耕,A1-11號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南山路三段96巷附近,36.4,住,,,1130213,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.9,3,2,2,有,無,14100000,99535,坡道平面,26.33,1900000,,RPOOMLSKKHJGFEH58DB,合雄心之丘,B棟6-08F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南山路三段96巷附近,36.35,住,,,1130215,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,149.81,3,2,2,有,無,13900000,97583,坡道平面,27.35,1950000,,RPPOMLSKKHJGFEH68DB,合雄心之丘,B棟1-02F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南山路三段96巷附近,36.4,住,,,1130218,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.9,3,2,2,有,無,14100000,99535,坡道平面,26.33,1900000,,RPQOMLSKKHJGFEH78DB,合雄心之丘,B棟6-06F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南山路三段96巷附近,36.4,住,,,1130217,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,149.92,3,2,2,有,無,14210000,100024,坡道平面,27.35,1950000,,RPROMLSKKHJGFEH88DB,合雄心之丘,B棟6-07F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南山路三段96巷附近,35.79,住,,,1130217,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.92,3,2,2,有,無,13200000,93307,坡道平面,27.35,1950000,,RPSOMLSKKHJGFEH98DB,合雄心之丘,C棟7-02F號,
