編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLRKKHJGFBH48CC,坡道平面,3000,,地下二樓
RPQOMLQKKHJGFBH28CC,坡道平面,3000,31.07,地下二樓
RPTNMLPKKHJGFCH48CC,坡道平面,1000,17.03,地下一樓
RPWNMLQKKHJGFAH68CC,坡道機械,0,,地下二樓
RPTNMLRKKHJGFCH68CC,坡道平面,0,,地下一樓
RPPNMLRKKHJGFCH28CC,坡道平面,3000,,地下一樓
RPPOMLKLKHJGFAH57CC,坡道平面,0,35.80,地下二樓
RPPOMLKLKHJGFAH57CC,坡道平面,0,,地下一樓
RPPOMLKLKHJGFBH67CC,坡道平面,3000,30.74,地下一樓
RPRPMLKLKHJGFBH97CC,坡道平面,1000,31.07,地下二樓
RPSNMLKLKHJGFFH28CC,坡道平面,0,,地下二樓
RPTNMLTKKHJGFBH78CC,坡道平面,2000,30.11,地下一樓
RPRNMLLLKHJGFBH87CC,坡道平面,0,25.89,地下三樓
RPSNMLLLKHJGFBH97CC,坡道平面,3000,36.17,地下一樓
RPSNMLLLKHJGFBH97CC,坡道平面,3000,36.17,地下一樓
RPTNMLLLKHJGFBH08CC,坡道平面,3000,35.48,地下二樓
RPTNMLLLKHJGFBH08CC,坡道平面,3000,35.48,地下二樓
RPUNMLLLKHJGFBH18CC,坡道平面,3000,58.82,地下二樓
RPWNMLLLKHJGFBH38CC,坡道平面,2500,37.55,地下三樓
RPQNMLTKKHJGFDH68CC,坡道平面,2000,31.74,地下一樓
RPPOMLLLKHJGFBH77CC,坡道平面,2500,42.32,地下一樓
RPQNMLLLKHJGFDH97CC,坡道平面,1500,,地下二樓
RPQOMLLLKHJGFBH87CC,坡道平面,2000,42.22,地下三樓
RPRNMLLLKHJGFDH08CC,坡道平面,2000,30.94,地下一樓
RPPNMLTKKHJGFGH88CC,坡道平面,750,30.15,地下三樓
RPPNMLTKKHJGFGH88CC,坡道平面,750,30.15,地下三樓
RPWNMLLLKHJGFEH68CC,坡道平面,1000,29.18,地下二樓
