編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMLNHJGFBJ18DA,坡道平面,2100000,33.24,地下二樓
RPOPMLMLNHJGFBJ28DA,升降平面,0,,無固定樓層
RPXOMLMLNHJGFBJ09DA,坡道平面,0,33.10,地下一樓
RPVPMLPKNHJGFCJ66DA,一樓平面,1600000,21.15,一樓
RPVPMLPKNHJGFCJ66DA,一樓平面,1600000,21.15,一樓
RPSNMLPLNHJGFBJ78DA,坡道平面,0,37.64,地下二樓
RPOVMLSLNHJGFBJ86DA,坡道平面,0,30.03,地下五樓含以下
RPQNMLNJOHJGFBJ38EA,坡道平面,0,34.84,地下二樓
RPQNMLNJOHJGFBJ38EA,坡道平面,0,34.84,地下二樓
RPVNMLSLNHJGFCJ86DA,坡道平面,0,,地下一樓
RPWNMLTLNHJGFBJ96DA,坡道平面,0,30.78,地下三樓
RPRNMLTJNHJGFCJ98DA,坡道機械,0,,地下一樓
RPSNMLSJMHJGFBJ78DA,坡道平面,0,,地下三樓
RPTPMLQKNHJGFBJ09DA,坡道平面,0,,一樓
RPXPMLLMNHJGFBJ56DA,坡道平面,0,28.73,地下三樓
RPPQMLOJOHJGFBJ58DA,坡道平面,0,32.09,地下三樓
RPPQMLOJOHJGFBJ58DA,坡道平面,0,32.09,地下三樓
RPTOMLMJMHJGFCJ48DA,坡道平面,900000,28.16,地下一樓
RPRNMLTJMHJGFBJ78DA,坡道平面,0,53.93,地下三樓
RPPNMLOLMHJGFBJ38EA,坡道機械,0,,地下一樓
RPTPMLNLMHJGFDJ98DA,一樓平面,0,,一樓
RPUPMLSKMHJGFBJ66DA,一樓平面,0,,一樓
RPPNMLNLMHJGFBJ28EA,坡道平面,0,38.55,地下二樓
RPPNMLNLMHJGFBJ28EA,坡道平面,0,38.55,地下二樓
RPPNMLNLMHJGFBJ28EA,坡道平面,0,38.55,地下二樓
RPPNMLNLMHJGFBJ28EA,坡道平面,0,38.55,地下二樓
RPQNMLNLMHJGFBJ38EA,坡道平面,0,,地下一樓
RPPNMLTKMHJGFBJ78EA,坡道機械,0,,地下五樓含以下
RPPNMLNLMHJGFBJ18DA,坡道平面,0,,地下二樓
RPUPMLPKMHJGFBJ98DA,坡道平面,0,29.52,地下二樓
RPTNMLNJNHJGFDJ68DA,一樓平面,0,,一樓
