鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗六市,租賃房屋,雲林縣斗六市榴?十八街３９號,78.22,,工業區,丁種建築用地,1130217,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0900410,160.67,5,2,3,有,無,無,12000,75,,0.0,0,,RPPNMLKLKHJGFAP28CC,整棟(戶)出租,無,1130301~1140228,無,冷氣,
斗六市,租賃房屋,雲林縣斗六市公正街３９號４樓之５,10.66,商,,,1130218,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871030,99.35,2,1,1,有,有,有,16000,161,,0.0,0,,RPQNMLKLKHJGFAP38CC,整棟(戶)出租,有,1130218~1140228,有,,
斗六市,租賃房屋,雲林縣斗六市民生路８２號,0.0,,,,1130217,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0740725,18.97,38,0,38,有,無,有,6000,316,,0.0,0,,RPQNMLLLKHJGFAP48CC,分租套房,無,1130301~1140228,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,
斗六市,租賃房屋,雲林縣斗六市嘉東南路５０巷２０號,0.0,,,,1130218,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960208,12.6,8,0,8,有,無,有,3500,278,,0.0,0,,RPRNMLLLKHJGFAP58CC,分租套房,無,1130219~1140218,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,
虎尾鎮,租賃房屋,雲林縣虎尾鎮中山路３-２３號,0.0,,,,1130221,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0820707,89.25,5,2,3,有,無,無,25000,280,,0.0,0,,RPPNMLLLKHJGFDP68CC,整棟(戶)出租,無,1130401~1160331,無,冷氣、熱水器、瓦斯或天然氣,一般包租
虎尾鎮,租賃房屋,雲林縣虎尾鎮八德街１２８號,0.0,,,,1130221,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0920219,16.52,14,0,14,有,無,有,3500,212,,0.0,0,,RPQNMLLLKHJGFDP78CC,分租套房,無,1130301~1130831,無,冷氣、熱水器、網路,
斗六市,租賃房屋,雲林縣斗六市三平里明德北路三段３號十樓之６,0.0,,,,1130220,土地0建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860515,39.12,1,1,1,有,有,有,6500,166,,0.0,0,,RPQNMLNLKHJGFAP68CC,獨立套房,有,1130225~1140224,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋+車位,雲林縣斗六市三平里１８鄰南京路３２９號八樓,0.0,,,,1130220,土地0建物1車位1,八層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120104,91.22,2,1,1,有,有,有,20500,225,塔式車位,0.0,700,多人共同承租2；,RPRNMLNLKHJGFAP78CC,整棟(戶)出租,有,1130225~1140224,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市府文路１９-１１號,0.0,,,,1130221,土地0建物0車位0,全,5,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1100601,30.0,8,1,9,有,無,有,9500,317,,0.0,0,,RPPNMLRLKHJGFAP98CC,分租套房,無,1130301~1140228,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市府文路１９-２號,0.0,,,,1130221,土地0建物0車位0,全,5,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1100601,30.0,8,1,9,有,無,有,11000,367,,0.0,0,,RPQNMLRLKHJGFAP09CC,分租套房,無,1130301~1130731,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
虎尾鎮,租賃房屋,雲林縣虎尾鎮博愛路４３號３樓之１,0.0,,,,1130222,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840921,107.3,2,2,2,有,有,無,12000,112,,0.0,0,租金總額含管理費；網路費；,RPPNMLTLKHJGFDP86CC,整棟(戶)出租,無,1130301~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,
斗六市,租賃房屋,雲林縣斗六市永昌西街１１號６樓之２,0.0,,,,1130216,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831225,41.379999999999995,1,0,1,有,有,有,12500,302,,0.0,0,管理費500元。,RPPNMLOJLHJGFAP58CC,獨立套房,無,1130216~1140215,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市民生路８２號,0.0,,,,1130219,土地0建物0車位0,七層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0740725,12.71,38,0,38,有,無,有,5000,393,,0.0,0,,RPPNMLQJLHJGFAP78CC,分租套房,無,1130220~1140219,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,
斗南鎮,租賃房屋,雲林縣斗南鎮同安街７６號２樓,0.0,,,,1130219,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810610,123.33000000000001,3,2,2,有,有,有,10500,85,,0.0,0,,RPPNMLQJLHJGFBP88CC,整棟(戶)出租,無,1130220~1140219,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市明德北路三段３號３樓之８,0.0,,,,1130220,土地0建物1車位0,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860515,40.89,1,0,1,有,有,有,5505,135,,0.0,0,管理費495元。,RPPNMLRJLHJGFAP88CC,獨立套房,有,1130301~1140228,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市斗工十路９８號４樓之２,0.0,,,,1130220,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080213,77.3,2,1,2,有,有,有,12700,164,,0.0,0,管理費300元。,RPQNMLRJLHJGFAP98CC,整棟(戶)出租,無,1130221~1140220,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市科?一路３５-２３號,90.74,,工業區,丁種建築用地,1130217,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1120303,169.87,5,2,4,有,無,無,26000,153,,0.0,0,,RPPNMLSJLHJGFAP98CC,整棟(戶)出租,無,1130301~1140228,無,冷氣、熱水器、瓦斯或天然氣,一般包租
斗六市,租賃房屋,雲林縣斗六市明德路４２３號９樓,0.0,,,,1130223,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831115,54.85,4,1,2,有,有,有,14550,265,,0.0,0,,RPRNMLSJLHJGFAP56CC,整棟(戶)出租,有,1130701~1140630,有,冷氣、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
斗六市,租賃房屋,雲林縣斗六市莊敬路３４７巷６３號９樓,0.0,,,,1130222,土地0建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830615,108.7,4,1,2,有,有,有,13000,120,,0.0,0,,RPSNMLSJLHJGFAP66CC,整棟(戶)出租,有,1130701~1140630,有,冷氣、洗衣機、冰箱、瓦斯或天然氣,一般代管
西螺鎮,租賃房屋,雲林縣西螺鎮振興７７之７號,0.0,,,,1130221,土地0建物0車位0,全,4,透天厝,住宅、水塔間,ＲＣ造,1110913,30.11,5,1,5,有,無,有,13000,432,,0.0,0,租金總額含水費；網路費；,RPQNMLLKLHJGFCP68CC,分租套房,無,1130215~1140214,有,冷氣、洗衣機、電視機、冰箱,
斗六市,租賃房屋,雲林縣斗六市民生路１２號,156.5,住,,,1130311,土地1建物1車位0,一層,1,其他,住家用,磚造,0510101,80.5,0,0,0,無,無,無,29000,360,,0.0,0,,RPQNMLMKLHJGFAP58CC,整棟(戶)出租,無,1130311~1180310,無,,
斗六市,租賃房屋,雲林縣斗六市民生路１２之１號,156.49,住,,,1130311,土地1建物1車位0,一層,1,其他,商業用,鋼骨造,0970120,80.85,0,0,0,無,無,無,19000,235,,0.0,0,,RPRNMLMKLHJGFAP68CC,整棟(戶)出租,無,1130311~1180310,無,,
虎尾鎮,土地,平和厝段543地號,557.97,住,,,1130309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,34000,61,,0.0,0,,RPPNMLMKLHJGFDP78CC,,,1130315~1130914,,,
斗六市,租賃房屋,雲林縣斗六市嘉東南路４８號,0.0,,,,1130301,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960208,24.18,6,0,6,有,無,有,3500,145,,0.0,0,,RPPNMLNKLHJGFAP58CC,分租套房,無,1130301~1140228,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,
斗六市,租賃房屋+車位,雲林縣斗六市江厝路１００巷２弄５號,0.0,,,,1130301,土地0建物1車位1,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880926,138.54,3,2,2,有,無,有,13000,94,一樓平面,0.0,0,多人共同承租4；,RPQNMLNKLHJGFAP68CC,分層出租,無,1130301~1140228,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市後庄７-７號,82.84,,鄉村區,乙種建築用地,1130226,土地1建物1車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,1100901,185.96,5,2,5,有,無,無,23000,124,,0.0,0,,RPPNMLOKLHJGFAP68CC,整棟(戶)出租,無,1130301~1160228,無,冷氣、熱水器,
斗南鎮,租賃房屋,雲林縣斗南鎮新生一路２１號４樓之７,0.0,,,,1130220,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890529,111.25,3,1,2,有,有,有,12000,108,,0.0,0,租金總額含管理費；,RPPNMLOKLHJGFBP78CC,整棟(戶)出租,有,1130301~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視,
斗南鎮,租賃房屋,雲林縣斗南鎮民生路５４號二樓之２,0.0,,,,1130307,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830122,144.66,3,1,2,有,有,有,15000,104,,0.0,0,,RPQNMLOKLHJGFBP88CC,整棟(戶)出租,有,1130310~1140309,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
