編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQLKHJGFCQ56CB,民文段,30.38,都市：住,100000,975,持分移轉,11650000
RPPNMLTLKHJGFEQ96CB,梅北段,82.00,都市：住,1,1,全筆移轉,19840011
RPPNMLTLKHJGFEQ96CB,梅北段,23.11,都市：住,9,1,持分移轉,19840005
RPQNMLPJLHJGFDQ09CB,中庄段,84.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,18020018
RPUNMLOJLHJGFDQ76CB,中庄段,83.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,18020003
RPPNMLTLKHJGFDQ86CB,祥和段,24.84,都市：住,1000000,51740,持分移轉,03400000
RPPNMLTLKHJGFDQ86CB,祥和段,.27,都市：住,1000000,51740,持分移轉,03400001
RPSNMLOJLHJGFDQ56CB,水西段,2.45,都市：住,96740,701,持分移轉,08890000
RPSNMLOJLHJGFDQ56CB,水西段,3.78,都市：住,21000,185,持分移轉,09180000
RPSNMLOJLHJGFDQ56CB,水西段,32.16,都市：住,100000,3953,持分移轉,08890010
RPRNMLOJLHJGFDQ09CB,水西段,2.45,都市：住,96740,701,持分移轉,08890000
RPRNMLOJLHJGFDQ09CB,水西段,3.78,都市：住,21000,185,持分移轉,09180000
RPRNMLOJLHJGFDQ09CB,水西段,32.16,都市：住,100000,3953,持分移轉,08890010
RPPNMLPJLHJGFDQ98CB,中庄仔段,.99,都市：住,100000,88,持分移轉,00610000
RPPNMLPJLHJGFDQ98CB,中庄仔段,102.72,都市：住,1,1,全筆移轉,00610016
RPPNMLNJLHJGFDQ88DB,忠義段,112.40,都市：住,1,1,全筆移轉,16670000
RPPNMLQJLHJGFCQ98CB,民文段,40.60,都市：住,100000,1303,持分移轉,11650000
RPPNMLQJLHJGFDQ56DB,忠義段,103.81,都市：住,1,1,全筆移轉,16680006
