編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNJNHJGFAV56CB,一樓平面,1400000,22.20,一樓
RPQNMLQKLHJGFAV86CB,其他,0,,一樓
RPPNMLLJMHJGFAV88CB,其他,0,,一樓
RPPNMLKKMHJGFAV88CB,其他,0,,一樓
RPRNMLTJMHJGFAV27CB,坡道平面,870000,35.93,地下一樓
RPQNMLNJNHJGFAV66CB,一樓平面,1400000,22.20,一樓
RPPNMLTKLHJGFAV07CB,坡道平面,970000,35.93,地下一樓
RPSNMLTJMHJGFAV37CB,坡道平面,970000,35.93,地下一樓
RPPNMLQLKHJGFAV76CB,坡道平面,1030000,35.93,地下一樓
RPPNMLQKMHJGFAV86CB,坡道平面,820000,35.93,地下二樓
RPPNMLTJMHJGFAV07CB,坡道平面,930000,35.93,地下二樓
RPQNMLTJMHJGFAV17CB,坡道平面,1080000,38.68,地下一樓
RPPNMLLJNHJGFAV09DB,一樓平面,0,15.00,一樓
RPPNMLQKLHJGFAV76CB,其他,0,,一樓
RPQNMLTJNHJGFAV27CB,一樓平面,1400000,22.20,一樓
RPPNMLTJNHJGFAV17CB,坡道平面,970000,36.31,地下二樓
RPPNMLQLMHJGFAV96CB,其他,0,,一樓
RPQNMLQKMHJGFAV96CB,坡道平面,1080000,35.93,地下一樓
RPQNMLQLMHJGFAV07CB,其他,0,,一樓
