編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNKNHJGFAX17EA,國宅段,207.66,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,02850000
RPPNMLKLNHJGFAX76EA,七美四段,512.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,8,4,持分移轉,05370000
RPXNMLSLNHJGFAX28DA,菓葉新段,69.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06680000
RPPNMLOLNHJGFAX07DA,機場段,523.23,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15840000
RPUNMLKLNHJGFAX17DA,馬公段,25.00,都市：其他:道路用地,1,1,全筆移轉,08670000
RPPNMLNLNHJGFAX96DA,菓葉新段,160.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07630000
RPSNMLTLNHJGFAX87DA,西澳段,.35,都市：其他:住宅區,1,1,全筆移轉,05950001
RPQNMLMLNHJGFAX96DA,馬公段,49.00,都市：其他:住宅區,1,1,全筆移轉,00930006
RPQNMLMLNHJGFAX96DA,馬公段,41.00,都市：其他:住宅區,1,1,全筆移轉,00930007
RPPNMLSJNHJGFAX27DA,五福段,209.35,非都市：一般農業區 ; 非都市編定：農牧用地,100000,9590,持分移轉,06130000
RPQNMLKMMHJGFAX76DA,成功北段,116.03,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08180000
RPQNMLKMMHJGFAX76DA,成功北段,1542.10,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08190000
RPTNMLMLNHJGFAX27DA,菓葉新段,117.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05390000
RPSNMLOLNHJGFAX37DA,北極段,55.62,都市：其他:住宅區,3,1,持分移轉,10610000
RPRNMLRJNHJGFAX37DA,西澳段,181.43,都市：其他:住宅區,1,1,全筆移轉,10170000
RPRNMLRJNHJGFAX37DA,西澳段,.69,都市：其他:住宅區,1,1,全筆移轉,10210000
RPSNMLOLNHJGFAX37DA,北極段,4.90,都市：其他:道路用地,3,1,持分移轉,10610001
RPUNMLQKNHJGFAX67DA,湖西南段,29.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,252,21,持分移轉,01990000
RPSNMLMLNHJGFAX17DA,湖西北段,110.50,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,05800000
RPVNMLKKNHJGFAX17DA,中衛段,606.01,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16180000
RPQNMLLJNHJGFAX66DA,光榮段,109.72,都市：其他:住宅區,1000,75,持分移轉,02440000
RPQNMLTJNHJGFAX47DA,興崁段,330.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11890003
RPPNMLLJOHJGFAX66DA,橫礁新段,159.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06820000
RPTNMLPKNHJGFAX47DA,馬公段,3.00,都市：其他:商業區,1,1,全筆移轉,05960004
RPQNMLLMNHJGFAX96DA,講美段,201.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,04100000
SPPNMLLJOHJGFAX76DA,橫礁新段,89.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06830000
RPQNMLKMNHJGFAX86DA,文光段,26.68,都市：其他:住宅區,100000,322,持分移轉,00200000
RPQNMLKMNHJGFAX86DA,文光段,3.45,都市：其他:住宅區,100000,322,持分移轉,00540000
RPTNMLTJMHJGFAX77EA,二崁北段,225.41,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14330000
RPTNMLTJMHJGFAX67DA,林投北段,1399.36,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06370000
RPPNMLLMNHJGFAX86DA,埕東段,30.00,都市：其他:住宅區,10000,234,持分移轉,02160001
RPRNMLLKMHJGFAX86EA,鐵線段,518.34,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,07480000
RPSNMLMKMHJGFAX96DA,文寮段,224.06,非都市：一般農業區 ; 非都市編定：農牧用地,47746,22406,持分移轉,07150000
RPPNMLQKMHJGFAX17EA,馬公段,75.00,都市：其他:商業區,1,1,全筆移轉,13310000
RPPNMLQKMHJGFAX17EA,馬公段,6.00,都市：其他:商業區,1,1,全筆移轉,13310003
SPSNMLMKMHJGFAX07DA,文寮段,253.40,非都市：一般農業區 ; 非都市編定：農牧用地,47746,25340,持分移轉,07150000
RPQNMLMKMHJGFAX76DA,五福段,220.70,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,00420000
RPOOMLPJOHJGFAX07DA,合界段,51.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,02740000
RPOOMLPJOHJGFAX07DA,合界段,34.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,02740001
RPRNMLTLMHJGFAX67DA,竹灣段,165.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12690000
RPVNMLOLMHJGFAX57DA,山水南段,43.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08110000
RPUNMLMJNHJGFAX27EA,鐵線段,656.62,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12210000
