編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLKMNHJGFAX86DA,坡道平面,0,,地下一樓
RPPNMLLMNHJGFAX86DA,坡道平面,0,,地下一樓
RPUPMLMLNHJGFAX57DA,坡道機械,0,,地下一樓
RPVNMLPJLHJGFAX37DA,坡道平面,721000,23.30,地下一樓
RPVNMLQJLHJGFAX47DA,升降機械,450000,9.15,一樓
RPTNMLQKMHJGFAX47DA,坡道平面,0,,地下二樓
RPPNMLLJNHJGFAX56DA,坡道平面,0,,地下二樓
RPSNMLTKMHJGFAX67DA,坡道平面,0,,地下一樓
RPQNMLLKLHJGFAX56DA,坡道平面,0,,地下一樓
RPQOMLRJLHJGFAX17DA,坡道平面,550000,,一樓
RPPNMLLKLHJGFAX09DA,坡道平面,0,,一樓
RPSNMLSKMHJGFAX57DA,坡道平面,0,,地下二樓
RPSNMLNJMHJGFAX96DA,坡道平面,0,,地下一樓
RPPNMLQLKHJGFAX96DA,坡道機械,0,,地下一樓
RPOOMLRJLHJGFAX96DA,一樓平面,0,,一樓
RPXNMLRJLHJGFAX77DA,一樓平面,0,,一樓
RPTNMLSKLHJGFAX57DA,坡道平面,0,,地下二樓
RPPNMLPKMHJGFAX96DA,坡道平面,0,,地下二樓
RPQNMLTKLHJGFAX37DA,坡道平面,0,,地下二樓
RPVNMLSJJHJGFAX47DA,坡道機械,0,,地下一樓
