編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLLKQHJGFBE18DA,63,131.85,,加強磚造,50年12月31日,三層,一層 二層 三層 騎樓,全筆移轉
RPPNMLLJRHJGFCE87DA,17,14.98,共有部份,鋼筋混凝土造,96年9月20日,十八層,,持分移轉
RPPNMLRJQHJGFJE09DA,31,227.32,住商用,鋼筋混凝土造,82年10月29日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 騎樓,全筆移轉
RPQNMLRJQHJGFJE56DA,31,227.32,住商用,鋼筋混凝土造,82年10月29日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 騎樓,全筆移轉
RPPNMLMKQHJGFHE48DA,43,89.37,住商用,鋼筋混凝土加強磚造,70年4月18日,二層,一層 二層 騎樓,全筆移轉
RPPNMLNKQHJGFHE58DA,63,203.67,住家用,,50年7月15日,三層,一層 二層 三層,全筆移轉
RPPOMLLMPHJGFCE08DA,46,56.60,公寓,鋼筋混凝土造,67年10月24日,五層,二層,全筆移轉
RPPNMLQKQHJGFHE88DA,37,109.83,住家用,加強磚造,76年4月3日,二層,一層 二層 屋頂突出物,全筆移轉
RPPNMLNKQHJGFCE08DA,43,69.66,住宅,鋼筋混凝土造,70年12月11日,五層,二層,全筆移轉
RPOOMLOKQHJGFAE97DA,36,108.57,住家用,鋼筋混凝土造,78年2月3日,十層,五層 陽台,全筆移轉
RPOOMLOKQHJGFAE97DA,36,25.70,見使用執照,鋼筋混凝土造,78年2月3日,十層,,持分移轉
RPTOMLTJQHJGFLE37DA,31,101.26,住家用,鋼筋混凝土造,82年9月6日,八層,三層 陽台,全筆移轉
RPTOMLTJQHJGFLE37DA,31,34.18,共有部份,鋼筋混凝土造,82年9月6日,八層,,持分移轉
RPOPMLMKQHJGFAE87DA,42,7.18,,鋼筋混凝土造,71年2月26日,十二層,,持分移轉
RPOPMLMKQHJGFAE87DA,42,31.09,,鋼筋混凝土造,71年2月26日,十二層,十一層,全筆移轉
RPQNMLQKQHJGFCE48DA,10,12.57,本共有部分之項目有防空避難室兼停車空間、停車空間、騎樓、門廳、門廊、走廊、防災中心、車道、專用出入口緩衝空間、管委會使用空間、排煙室、特別安全梯＋緊急昇降機道、梯廳、樓梯間、水箱及機械室等１６項。,鋼筋混凝土造,103年11月4日,十八層,,持分移轉
RPPNMLOKQHJGFFE58EA,47,112.80,住商用,加強磚造,66年9月21日,二層,一層 二層 騎樓,全筆移轉
RPQNMLRJQHJGFEE78EA,14,109.88,住家用,鋼筋混凝土造,99年12月9日,十四層,十四層 陽台,全筆移轉
RPQNMLRJQHJGFEE78EA,14,69.20,本共有部份之項目有防空避難室兼停車空間、停車空間、樓梯間、門廊、管委會使用空間、管道間、水箱、機械室等８項。,鋼筋混凝土造,99年12月9日,十四層,,持分移轉
RPRNMLMKQHJGFJE88DA,3,216.80,住家用,鋼筋混凝土造,110年10月5日,三層,一層 二層 三層 陽台,全筆移轉
RPWNMLTKQHJGFJE47DA,25,18.82,集合住宅,鋼筋混凝土造,88年2月24日,七層,六層 陽台,全筆移轉
RPWNMLTKQHJGFJE47DA,25,10.67,集合住宅，防空避難室兼停車空間，樓梯間，水箱，機械室，門廊,鋼筋混凝土造,88年2月24日,七層,,持分移轉
RPUNMLRJQHJGFAE68DA,44,21.60,,鋼筋混凝土造,69年6月18日,十二層,七層,全筆移轉
RPUNMLRJQHJGFAE68DA,44,10.66,,鋼筋混凝土造,69年6月18日,十二層,,持分移轉
RPWNMLOKQHJGFCE88DA,45,134.32,住家用,加強磚造,68年5月15日,二層,一層 二層 騎樓,全筆移轉
RPRNMLPKQHJGFBE38DA,34,174.85,,鋼筋混凝土造,80年1月25日,二十六層,十一層 陽台 花台,全筆移轉
RPRNMLPKQHJGFBE38DA,34,49.90,,鋼筋混凝土造,80年1月25日,二十六層,,持分移轉
RPRPMLOKQHJGFLE86DA,26,80.53,住家用,鋼筋混凝土造,87年2月25日,十七層,四層 陽台,全筆移轉
RPRPMLOKQHJGFLE86DA,26,22.33,共有部份,鋼筋混凝土造,87年2月25日,十七層,,持分移轉
RPPNMLQKQHJGFDE48DA,44,85.15,,鋼筋混凝土造,69年2月12日,五層,四層,全筆移轉
RPROMLTJQHJGFIE86DA,,337.33,住宅,鋼筋混凝土造,113年4月22日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPTOMLPKQHJGFGE56DA,52,22.87,住家用,加強磚造,61年9月1日,二層,一層 二層,持分移轉
RPWNMLQKQHJGFDE56DA,59,60.69,住家用,鋼筋混凝土造,54年5月13日,四層,四層,全筆移轉
RPQNMLOKQHJGFDE48EA,30,63.55,住家用,鋼筋混凝土造,83年6月20日,十三層,五層 陽台 花台,全筆移轉
RPQNMLOKQHJGFDE48EA,30,17.36,見使用執照,鋼筋混凝土造,83年6月20日,十三層,,持分移轉
RPRQMLPJQHJGFEE88DA,20,6.69,見使用執照,見使用執照,93年4月13日,十層,十層 陽台,全筆移轉
RPRQMLPJQHJGFEE88DA,20,7.02,見使用執照,見使用執照,93年4月13日,十層,,持分移轉
RPRQMLPJQHJGFEE88DA,20,2.87,見使用執照,見使用執照,93年4月13日,,,持分移轉
RPRQMLPJQHJGFEE88DA,20,10.35,見使用執照,見使用執照,93年4月13日,十層,,持分移轉
RPRPMLMJQHJGFCE28DA,33,166.21,住家用,鋼筋混凝土造,80年7月2日,二十層,七層 陽台 花台,全筆移轉
RPRPMLMJQHJGFCE28DA,33,77.71,見使用執照,鋼筋混凝土造,80年7月2日,二十層,,持分移轉
RPOOMLMKQHJGFBE87DA,35,9.67,,鋼筋混凝土造,78年5月11日,十二層,,持分移轉
RPOOMLMKQHJGFBE87DA,35,61.36,集合住宅,鋼筋混凝土造,78年5月11日,十二層,八層 陽台 花台,全筆移轉
RPSNMLRJQHJGFFE98DA,31,215.73,住家用,鋼筋混凝土造,82年6月26日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLQKQHJGFFE88DA,29,92.54,住家用,鋼筋混凝土造,84年11月18日,二十四層,十層 陽台,全筆移轉
RPRNMLQKQHJGFFE88DA,29,26.60,活動中心．梯間．避難室．停車空間．機械室．水箱,鋼筋混凝土造,84年11月18日,二十四層,,持分移轉
RPROMLTKQHJGFFE66DA,48,124.80,住家用,加強磚造,65年6月1日,二層,一層 二層 騎樓,全筆移轉
RPTNMLLJQHJGFBE08DA,40,102.03,住宅,鋼筋混凝土造,74年1月28日,五層,一層,全筆移轉
RPRNMLRJQHJGFFE88DA,28,23.09,住家用,鋼筋混凝土造,86年1月15日,十三層,十層 陽台,全筆移轉
RPRNMLRJQHJGFFE88DA,28,13.50,共有部份,鋼筋混凝土造,86年1月15日,十三層,,持分移轉
RPSNMLTKQHJGFBE88DA,45,96.33,,鋼筋混凝土造,68年5月29日,五層,二層,全筆移轉
RPQNMLKLQHJGFBE87DA,51,197.94,店舖及住宅,鋼筋混凝土造,62年10月26日,四層,一層 二層 三層 四層 騎樓,持分移轉
RPTNMLLLQHJGFFE68DA,43,95.16,住家用,加強磚造,70年9月24日,二層,一層 二層 騎樓,全筆移轉
RPRNMLTKQHJGFFE56DA,,89.82,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPXPMLQKQHJGFGE17DA,31,31.60,住家用,鋼筋混凝土造,82年11月16日,十層,四層 陽台 花台,全筆移轉
RPXPMLQKQHJGFGE17DA,31,23.20,共有部份,鋼筋混凝土造,82年11月16日,十層,,持分移轉
RPSQMLTKQHJGFGE07DA,2,187.40,住家用,鋼筋混凝土,112年1月9日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTQMLNKQHJGFGE56DA,45,36.08,住家用,鋼筋混凝土造,69年1月25日,七層,四層,全筆移轉
RPSOMLKLQHJGFCE28DA,42,73.65,住宅,鋼筋混凝土造,71年8月26日,五層,三層,全筆移轉
RPQNMLTKQHJGFCE78DA,1,241.03,住宅,鋼筋混凝土,112年6月27日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPTNMLTKQHJGFCE09DA,33,23.38,商業用,鋼骨造,80年10月30日,三十七層,地下二層,持分移轉
RPTNMLTKQHJGFCE09DA,33,343.02,商業用,鋼骨造,80年10月30日,三十七層,十九層,全筆移轉
RPTNMLTKQHJGFCE09DA,33,164.86,商業用,鋼骨造,80年10月30日,三十七層,,持分移轉
RPTNMLTKQHJGFCE09DA,33,2.91,商業用,鋼骨造,80年10月30日,三十七層,,持分移轉
RPROMLKLQHJGFAE97DA,28,23.44,住家用,鋼筋混凝土造,85年10月2日,十三層,四層 花台,全筆移轉
RPROMLKLQHJGFAE97DA,28,7.55,見使用執照,鋼筋混凝土造,85年10月2日,十三層,,持分移轉
RPUNMLQKQHJGFAE68DA,39,102.80,,鋼筋混凝土造,74年2月26日,五層,一層 平台,全筆移轉
RPSNMLQKQHJGFAE48DA,44,21.34,,鋼筋混凝土造,69年11月17日,十二層,十層,全筆移轉
RPRNMLQKQHJGFAE38DA,45,62.06,,鋼筋混凝土造,68年6月25日,五層,三層,全筆移轉
RPSNMLQKQHJGFAE48DA,44,.00,,鋼筋混凝土造,69年11月17日,十二層,,
