編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLRKNHJGFCK09DB,福田段,59.04,都市：住,10000,1944,持分移轉,12260004
RPPNMLRKNHJGFCK88DB,福田段,61.86,都市：住,10000,2037,持分移轉,12260004
RPSNMLRKNHJGFCK56DB,福田段,61.86,都市：住,10000,2037,持分移轉,12260004
RPPNMLKLNHJGFBK18DB,南苗段,.24,都市：住,1280000,3792,持分移轉,00440000
RPPNMLKLNHJGFBK18DB,南苗段,.19,都市：商,1280000,3792,持分移轉,00450000
RPPNMLKLNHJGFBK18DB,南苗段,37.98,都市：商,10000,1264,持分移轉,00550000
RPPNMLKLNHJGFBK18DB,南苗段,.60,都市：住,10000,1264,持分移轉,00560000
RPPNMLKLNHJGFBK18DB,南苗段,.62,都市：住,10000,1264,持分移轉,00570000
RPPNMLKLNHJGFBK18DB,南苗段,2.66,都市：商,10000,1264,持分移轉,00580000
RPPNMLKLNHJGFBK18DB,南苗段,.00,都市：商,1280000,3792,持分移轉,00600000
RPXNMLKLNHJGFDK09CB,龍椅段,82.49,都市：住,1,1,全筆移轉,02600053
RPXNMLKLNHJGFDK09CB,龍椅段,.22,都市：住,60,1,持分移轉,02600061
RPXNMLKLNHJGFDK09CB,龍椅段,.22,都市：住,60,1,持分移轉,02600062
RPXNMLKLNHJGFDK09CB,龍椅段,1.36,都市：住,60,1,持分移轉,02600063
RPUNMLLLNHJGFDK88CB,大同段,94.57,都市：住,10000000,359820,持分移轉,10870000
RPVNMLKLNHJGFDK88CB,龍椅段,82.50,都市：住,1,1,全筆移轉,02600045
RPUNMLLLNHJGFDK88CB,大同段,6.91,都市：住,10000000,359820,持分移轉,10880000
RPVNMLKLNHJGFDK88CB,龍椅段,.22,都市：住,60,1,持分移轉,02600061
RPVNMLKLNHJGFDK88CB,龍椅段,.22,都市：住,60,1,持分移轉,02600062
RPVNMLKLNHJGFDK88CB,龍椅段,1.36,都市：住,60,1,持分移轉,02600063
RPSNMLLLNHJGFDK68CB,龍富段,15.32,都市：住,1000000,25960,持分移轉,05140000
RPSNMLLLNHJGFDK68CB,龍富段,86.58,都市：住,1,1,全筆移轉,05140009
RPXNMLLLNHJGFDK56CB,大同段,46.77,都市：住,1,1,全筆移轉,11030022
RPXNMLLLNHJGFDK56CB,大同段,28.37,都市：住,13,1,持分移轉,11030031
RPVNMLLLNHJGFDK98CB,大同段,95.86,都市：住,10000000,364740,持分移轉,10870000
RPTNMLKLNHJGFDK68CB,天聲段,67.67,都市：住,1,1,全筆移轉,04690023
RPVNMLLLNHJGFDK98CB,大同段,7.00,都市：住,10000000,364740,持分移轉,10880000
RPTNMLKLNHJGFDK68CB,天聲段,4.61,都市：住,35,1,持分移轉,04690041
RPTNMLKLNHJGFDK68CB,天聲段,25.84,都市：住,18,1,持分移轉,04690027
RPTNMLKLNHJGFDK68CB,天聲段,.88,都市：住,35,1,持分移轉,04690028
RPWNMLKLNHJGFDK98CB,龍椅段,84.12,都市：住,1,1,全筆移轉,02600041
RPWNMLKLNHJGFDK98CB,龍椅段,.22,都市：住,60,1,持分移轉,02600061
RPWNMLKLNHJGFDK98CB,龍椅段,.22,都市：住,60,1,持分移轉,02600062
RPWNMLRKNHJGFDK96CB,龍富段,41.77,都市：住,100000,10267,持分移轉,06140000
RPWNMLKLNHJGFDK98CB,龍椅段,1.36,都市：住,60,1,持分移轉,02600063
RPVNMLMLNHJGFDK09CB,東平段,.55,都市：商,100000,310,持分移轉,00180000
RPVNMLMLNHJGFDK09CB,東平段,.82,都市：商,100000,310,持分移轉,00190000
RPVNMLMLNHJGFDK09CB,東平段,.65,都市：商,100000,310,持分移轉,00200000
RPVNMLMLNHJGFDK09CB,東平段,1.47,都市：商,100000,310,持分移轉,00210000
RPVNMLMLNHJGFDK09CB,東平段,1.00,都市：商,100000,310,持分移轉,00220000
RPVNMLMLNHJGFDK09CB,東平段,.00,都市：商,100000,310,持分移轉,00220002
RPVNMLMLNHJGFDK09CB,東平段,.02,都市：商,100000,310,持分移轉,00230001
RPSNMLMLNHJGFDK78CB,東平段,.89,都市：商,100000,502,持分移轉,00180000
RPVNMLMLNHJGFDK09CB,東平段,.66,都市：商,100000,310,持分移轉,00630000
RPVNMLMLNHJGFDK09CB,東平段,1.40,都市：商,100000,310,持分移轉,00640000
RPSNMLMLNHJGFDK78CB,東平段,1.34,都市：商,100000,502,持分移轉,00190000
RPVNMLMLNHJGFDK09CB,東平段,2.52,都市：商,100000,310,持分移轉,00640001
RPSNMLMLNHJGFDK78CB,東平段,1.05,都市：商,100000,502,持分移轉,00200000
RPVNMLMLNHJGFDK09CB,東平段,.07,都市：商,100000,310,持分移轉,00650000
RPSNMLMLNHJGFDK78CB,東平段,2.38,都市：商,100000,502,持分移轉,00210000
RPVNMLMLNHJGFDK09CB,東平段,.18,都市：商,100000,310,持分移轉,00670000
RPVNMLMLNHJGFDK09CB,東平段,.38,都市：商,100000,310,持分移轉,00680000
RPSNMLMLNHJGFDK78CB,東平段,1.62,都市：商,100000,502,持分移轉,00220000
RPSNMLMLNHJGFDK78CB,東平段,.00,都市：商,100000,502,持分移轉,00220002
RPSNMLMLNHJGFDK78CB,東平段,.03,都市：商,100000,502,持分移轉,00230001
RPSNMLMLNHJGFDK78CB,東平段,1.07,都市：商,100000,502,持分移轉,00630000
RPSNMLMLNHJGFDK78CB,東平段,2.26,都市：商,100000,502,持分移轉,00640000
RPSNMLMLNHJGFDK78CB,東平段,4.09,都市：商,100000,502,持分移轉,00640001
RPSNMLMLNHJGFDK78CB,東平段,.12,都市：商,100000,502,持分移轉,00650000
RPSNMLMLNHJGFDK78CB,東平段,.29,都市：商,100000,502,持分移轉,00670000
RPSNMLMLNHJGFDK78CB,東平段,.61,都市：商,100000,502,持分移轉,00680000
RPPNMLOKNHJGFFK78CB,八德段,12.97,都市：住,100000,969,持分移轉,00310000
RPPNMLOKNHJGFFK78CB,八德段,16.09,都市：住,100000,969,持分移轉,00320000
RPQNMLNKNHJGFFK78CB,正興段,32.96,都市：住,100000,4500,持分移轉,14540000
RPPNMLRKNHJGFFK09CB,民族段,14.80,都市：住,10000,2241,持分移轉,05550000
RPPNMLRKNHJGFFK09CB,民族段,25.70,都市：住,10000,2241,持分移轉,05560000
RPSUMLMLNHJGFDK86CB,東平段,.62,都市：商,100000,353,持分移轉,00180000
RPSUMLMLNHJGFDK86CB,東平段,.94,都市：商,100000,353,持分移轉,00190000
RPSUMLMLNHJGFDK86CB,東平段,.74,都市：商,100000,353,持分移轉,00200000
RPSUMLMLNHJGFDK86CB,東平段,1.67,都市：商,100000,353,持分移轉,00210000
RPSUMLMLNHJGFDK86CB,東平段,1.14,都市：商,100000,353,持分移轉,00220000
RPSUMLMLNHJGFDK86CB,東平段,.00,都市：商,100000,353,持分移轉,00220002
RPSUMLMLNHJGFDK86CB,東平段,.02,都市：商,100000,353,持分移轉,00230001
RPSUMLMLNHJGFDK86CB,東平段,.76,都市：商,100000,353,持分移轉,00630000
RPSUMLMLNHJGFDK86CB,東平段,1.59,都市：商,100000,353,持分移轉,00640000
RPSUMLMLNHJGFDK86CB,東平段,2.87,都市：商,100000,353,持分移轉,00640001
RPSUMLMLNHJGFDK86CB,東平段,.08,都市：商,100000,353,持分移轉,00650000
RPSUMLMLNHJGFDK86CB,東平段,.20,都市：商,100000,353,持分移轉,00670000
RPSUMLMLNHJGFDK86CB,東平段,.43,都市：商,100000,353,持分移轉,00680000
RPPSMLMLNHJGFDK98CB,東平段,.60,都市：商,100000,339,持分移轉,00180000
RPPSMLMLNHJGFDK98CB,東平段,.90,都市：商,100000,339,持分移轉,00190000
RPPSMLMLNHJGFDK98CB,東平段,.71,都市：商,100000,339,持分移轉,00200000
RPPSMLMLNHJGFDK98CB,東平段,1.61,都市：商,100000,339,持分移轉,00210000
RPPSMLMLNHJGFDK98CB,東平段,1.09,都市：商,100000,339,持分移轉,00220000
RPPSMLMLNHJGFDK98CB,東平段,.00,都市：商,100000,339,持分移轉,00220002
RPPSMLMLNHJGFDK98CB,東平段,.02,都市：商,100000,339,持分移轉,00230001
RPPSMLMLNHJGFDK98CB,東平段,.73,都市：商,100000,339,持分移轉,00630000
RPPSMLMLNHJGFDK98CB,東平段,1.53,都市：商,100000,339,持分移轉,00640000
RPPSMLMLNHJGFDK98CB,東平段,2.76,都市：商,100000,339,持分移轉,00640001
RPPSMLMLNHJGFDK98CB,東平段,.08,都市：商,100000,339,持分移轉,00650000
RPPSMLMLNHJGFDK98CB,東平段,.20,都市：商,100000,339,持分移轉,00670000
RPPSMLMLNHJGFDK98CB,東平段,.41,都市：商,100000,339,持分移轉,00680000
RPPRMLMLNHJGFDK88CB,東平段,.78,都市：商,100000,445,持分移轉,00180000
RPPRMLMLNHJGFDK88CB,東平段,1.18,都市：商,100000,445,持分移轉,00190000
RPPRMLMLNHJGFDK88CB,東平段,.93,都市：商,100000,445,持分移轉,00200000
RPPRMLMLNHJGFDK88CB,東平段,2.11,都市：商,100000,445,持分移轉,00210000
RPPRMLMLNHJGFDK88CB,東平段,1.44,都市：商,100000,445,持分移轉,00220000
RPPRMLMLNHJGFDK88CB,東平段,.00,都市：商,100000,445,持分移轉,00220002
RPPRMLMLNHJGFDK88CB,東平段,.02,都市：商,100000,445,持分移轉,00230001
RPPRMLMLNHJGFDK88CB,東平段,.95,都市：商,100000,445,持分移轉,00630000
RPPRMLMLNHJGFDK88CB,東平段,2.00,都市：商,100000,445,持分移轉,00640000
RPPRMLMLNHJGFDK88CB,東平段,3.62,都市：商,100000,445,持分移轉,00640001
RPPRMLMLNHJGFDK88CB,東平段,.11,都市：商,100000,445,持分移轉,00650000
RPPRMLMLNHJGFDK88CB,東平段,.26,都市：商,100000,445,持分移轉,00670000
RPPRMLMLNHJGFDK88CB,東平段,.54,都市：商,100000,445,持分移轉,00680000
RPSPMLMLNHJGFDK98CB,東平段,.77,都市：商,100000,437,持分移轉,00180000
RPSPMLMLNHJGFDK98CB,東平段,1.16,都市：商,100000,437,持分移轉,00190000
RPSPMLMLNHJGFDK98CB,東平段,.92,都市：商,100000,437,持分移轉,00200000
RPSPMLMLNHJGFDK98CB,東平段,2.07,都市：商,100000,437,持分移轉,00210000
RPSPMLMLNHJGFDK98CB,東平段,1.41,都市：商,100000,437,持分移轉,00220000
RPSPMLMLNHJGFDK98CB,東平段,.00,都市：商,100000,437,持分移轉,00220002
RPSPMLMLNHJGFDK98CB,東平段,.02,都市：商,100000,437,持分移轉,00230001
RPSPMLMLNHJGFDK98CB,東平段,.94,都市：商,100000,437,持分移轉,00630000
RPSPMLMLNHJGFDK98CB,東平段,1.97,都市：商,100000,437,持分移轉,00640000
RPSPMLMLNHJGFDK98CB,東平段,3.56,都市：商,100000,437,持分移轉,00640001
RPSPMLMLNHJGFDK98CB,東平段,.10,都市：商,100000,437,持分移轉,00650000
RPSPMLMLNHJGFDK98CB,東平段,.25,都市：商,100000,437,持分移轉,00670000
RPSPMLMLNHJGFDK98CB,東平段,.53,都市：商,100000,437,持分移轉,00680000
RPPOMLMLNHJGFDK58CB,東平段,.77,都市：商,100000,437,持分移轉,00180000
RPPOMLMLNHJGFDK58CB,東平段,1.16,都市：商,100000,437,持分移轉,00190000
RPPOMLMLNHJGFDK58CB,東平段,.92,都市：商,100000,437,持分移轉,00200000
RPPOMLMLNHJGFDK58CB,東平段,2.07,都市：商,100000,437,持分移轉,00210000
RPPOMLMLNHJGFDK58CB,東平段,1.41,都市：商,100000,437,持分移轉,00220000
RPPOMLMLNHJGFDK58CB,東平段,.00,都市：商,100000,437,持分移轉,00220002
RPPOMLMLNHJGFDK58CB,東平段,.02,都市：商,100000,437,持分移轉,00230001
RPPOMLMLNHJGFDK58CB,東平段,.94,都市：商,100000,437,持分移轉,00630000
RPPOMLMLNHJGFDK58CB,東平段,1.97,都市：商,100000,437,持分移轉,00640000
RPPOMLMLNHJGFDK58CB,東平段,3.56,都市：商,100000,437,持分移轉,00640001
RPPOMLMLNHJGFDK58CB,東平段,.10,都市：商,100000,437,持分移轉,00650000
RPPOMLMLNHJGFDK58CB,東平段,.25,都市：商,100000,437,持分移轉,00670000
RPPOMLMLNHJGFDK58CB,東平段,.53,都市：商,100000,437,持分移轉,00680000
RPQNMLKLNHJGFFK58CB,仁愛段,27.62,都市：住,10000,49,持分移轉,00350000
RPTNMLKLNHJGFFK88CB,仁愛段,28.75,都市：住,10000,51,持分移轉,00350000
RPTNMLTKNHJGFFK07CB,義民段,13.95,都市：商,100000,281,持分移轉,10780000
RPRNMLKLNHJGFFK68CB,仁愛段,27.62,都市：住,10000,49,持分移轉,00350000
RPSNMLKLNHJGFFK78CB,仁愛段,40.02,都市：住,10000,71,持分移轉,00350000
RPWNMLTKNHJGFFK37CB,義民段,14.35,都市：商,100000,289,持分移轉,10780000
RPPNMLNLNHJGFFK78CB,民族段,14.80,都市：住,10000,2241,持分移轉,05550000
RPQNMLNLNHJGFFK88CB,民族段,14.80,都市：住,10000,2241,持分移轉,05550000
RPPNMLNLNHJGFFK78CB,民族段,25.70,都市：住,10000,2241,持分移轉,05560000
RPQNMLNLNHJGFFK88CB,民族段,25.70,都市：住,10000,2241,持分移轉,05560000
RPPNMLKLNHJGFFK48CB,仁愛段,34.39,都市：住,10000,61,持分移轉,00350000
RPPNMLLLNHJGFFK58CB,八德段,14.63,都市：住,100000,1093,持分移轉,00310000
RPPNMLLLNHJGFFK58CB,八德段,18.15,都市：住,100000,1093,持分移轉,00320000
RPUNMLTKNHJGFFK17CB,義民段,14.54,都市：商,100000,293,持分移轉,10780000
RPSNMLNLNHJGFFK09CB,顯會段,12.47,都市：住,100000,608,持分移轉,02320000
RPTNMLNLNHJGFFK56CB,顯會段,12.47,都市：住,100000,608,持分移轉,02320000
RPPNMLMLNHJGFDK58DB,大同段,96.12,都市：住,1,1,全筆移轉,08140000
RPPNMLMLNHJGFDK58DB,大同段,11.39,都市：住,10000,544,持分移轉,08140037
RPPNMLMLNHJGFDK58DB,大同段,6.17,都市：住,10000,544,持分移轉,08140017
RPPNMLMLNHJGFDK58DB,大同段,1.20,都市：住,10000,544,持分移轉,08140022
RPRNMLNLNHJGFFK98CB,顯會段,12.47,都市：住,100000,608,持分移轉,02320000
RPWNMLNLNHJGFFK86CB,信義段,44.67,都市：住,100000,7490,持分移轉,10650000
RPWNMLNLNHJGFFK86CB,信義段,.25,都市：住,100000,7490,持分移轉,10650010
RPXNMLNLNHJGFFK96CB,信義段,44.47,都市：住,100000,7456,持分移轉,10650000
RPXNMLNLNHJGFFK96CB,信義段,.25,都市：住,100000,7456,持分移轉,10650010
RPVNMLNLNHJGFFK76CB,信義段,30.04,都市：住,100000,5037,持分移轉,10650000
RPVNMLNLNHJGFFK76CB,信義段,.17,都市：住,100000,5037,持分移轉,10650010
RPQVMLMLNHJGFDK76CB,東平段,.55,都市：商,100000,310,持分移轉,00180000
RPQVMLMLNHJGFDK76CB,東平段,.82,都市：商,100000,310,持分移轉,00190000
RPQVMLMLNHJGFDK76CB,東平段,.65,都市：商,100000,310,持分移轉,00200000
RPQVMLMLNHJGFDK76CB,東平段,1.47,都市：商,100000,310,持分移轉,00210000
RPPWMLMLNHJGFDK76CB,東平段,.89,都市：商,100000,502,持分移轉,00180000
RPQVMLMLNHJGFDK76CB,東平段,1.00,都市：商,100000,310,持分移轉,00220000
RPPWMLMLNHJGFDK76CB,東平段,1.34,都市：商,100000,502,持分移轉,00190000
RPQVMLMLNHJGFDK76CB,東平段,.00,都市：商,100000,310,持分移轉,00220002
RPPWMLMLNHJGFDK76CB,東平段,1.05,都市：商,100000,502,持分移轉,00200000
RPQVMLMLNHJGFDK76CB,東平段,.02,都市：商,100000,310,持分移轉,00230001
RPPWMLMLNHJGFDK76CB,東平段,2.38,都市：商,100000,502,持分移轉,00210000
RPQVMLMLNHJGFDK76CB,東平段,.66,都市：商,100000,310,持分移轉,00630000
RPPWMLMLNHJGFDK76CB,東平段,1.62,都市：商,100000,502,持分移轉,00220000
RPQVMLMLNHJGFDK76CB,東平段,1.40,都市：商,100000,310,持分移轉,00640000
RPPWMLMLNHJGFDK76CB,東平段,.00,都市：商,100000,502,持分移轉,00220002
RPQVMLMLNHJGFDK76CB,東平段,2.52,都市：商,100000,310,持分移轉,00640001
RPQVMLMLNHJGFDK76CB,東平段,.07,都市：商,100000,310,持分移轉,00650000
RPPNNLMLNHJGFDK58CB,東平段,.60,都市：商,100000,339,持分移轉,00180000
RPQVMLMLNHJGFDK76CB,東平段,.18,都市：商,100000,310,持分移轉,00670000
RPPWMLMLNHJGFDK76CB,東平段,.03,都市：商,100000,502,持分移轉,00230001
RPQVMLMLNHJGFDK76CB,東平段,.38,都市：商,100000,310,持分移轉,00680000
RPPNNLMLNHJGFDK58CB,東平段,.90,都市：商,100000,339,持分移轉,00190000
RPPWMLMLNHJGFDK76CB,東平段,1.07,都市：商,100000,502,持分移轉,00630000
RPPNNLMLNHJGFDK58CB,東平段,.71,都市：商,100000,339,持分移轉,00200000
RPPWMLMLNHJGFDK76CB,東平段,2.26,都市：商,100000,502,持分移轉,00640000
RPPWMLMLNHJGFDK76CB,東平段,4.09,都市：商,100000,502,持分移轉,00640001
RPXUMLMLNHJGFDK37CB,東平段,.78,都市：商,100000,445,持分移轉,00180000
RPPNNLMLNHJGFDK58CB,東平段,1.61,都市：商,100000,339,持分移轉,00210000
RPPWMLMLNHJGFDK76CB,東平段,.12,都市：商,100000,502,持分移轉,00650000
RPPNNLMLNHJGFDK58CB,東平段,1.09,都市：商,100000,339,持分移轉,00220000
RPXUMLMLNHJGFDK37CB,東平段,1.18,都市：商,100000,445,持分移轉,00190000
RPPWMLMLNHJGFDK76CB,東平段,.29,都市：商,100000,502,持分移轉,00670000
RPPNNLMLNHJGFDK58CB,東平段,.00,都市：商,100000,339,持分移轉,00220002
RPXUMLMLNHJGFDK37CB,東平段,.93,都市：商,100000,445,持分移轉,00200000
RPPWMLMLNHJGFDK76CB,東平段,.61,都市：商,100000,502,持分移轉,00680000
RPPNNLMLNHJGFDK58CB,東平段,.02,都市：商,100000,339,持分移轉,00230001
RPXUMLMLNHJGFDK37CB,東平段,2.11,都市：商,100000,445,持分移轉,00210000
RPPNNLMLNHJGFDK58CB,東平段,.73,都市：商,100000,339,持分移轉,00630000
RPXUMLMLNHJGFDK37CB,東平段,1.44,都市：商,100000,445,持分移轉,00220000
RPPNNLMLNHJGFDK58CB,東平段,1.53,都市：商,100000,339,持分移轉,00640000
RPXUMLMLNHJGFDK37CB,東平段,.00,都市：商,100000,445,持分移轉,00220002
RPPNNLMLNHJGFDK58CB,東平段,2.76,都市：商,100000,339,持分移轉,00640001
RPXUMLMLNHJGFDK37CB,東平段,.02,都市：商,100000,445,持分移轉,00230001
RPPNNLMLNHJGFDK58CB,東平段,.08,都市：商,100000,339,持分移轉,00650000
RPXUMLMLNHJGFDK37CB,東平段,.95,都市：商,100000,445,持分移轉,00630000
RPPNNLMLNHJGFDK58CB,東平段,.20,都市：商,100000,339,持分移轉,00670000
RPXUMLMLNHJGFDK37CB,東平段,2.00,都市：商,100000,445,持分移轉,00640000
RPPNNLMLNHJGFDK58CB,東平段,.41,都市：商,100000,339,持分移轉,00680000
RPXUMLMLNHJGFDK37CB,東平段,3.62,都市：商,100000,445,持分移轉,00640001
RPXUMLMLNHJGFDK37CB,東平段,.11,都市：商,100000,445,持分移轉,00650000
RPXUMLMLNHJGFDK37CB,東平段,.26,都市：商,100000,445,持分移轉,00670000
RPXUMLMLNHJGFDK37CB,東平段,.54,都市：商,100000,445,持分移轉,00680000
RPWNMLOLNHJGFDK76CB,新山佳段,23.62,都市：住,100000,427,持分移轉,14320000
RPQNMLOLNHJGFDK78CB,新山佳段,18.98,都市：住,100000,343,持分移轉,14320000
RPRNMLOLNHJGFDK88CB,新山佳段,23.62,都市：住,100000,427,持分移轉,14320000
RPSNMLPLNHJGFDK09CB,新南段,27.96,都市：住,10000,139,持分移轉,00220000
RPQOMLPLNHJGFDK98CB,新南段,27.96,都市：住,10000,139,持分移轉,00220000
RPPNMLPLNHJGFCK78DB,福田段,61.89,都市：住,10000,2038,持分移轉,12260004
RPXNMLOLNHJGFDK86CB,新山佳段,24.34,都市：住,100000,440,持分移轉,14320000
RPUNMLNLNHJGFDK09CB,東平段,.55,都市：商,100000,310,持分移轉,00180000
RPUNMLNLNHJGFDK09CB,東平段,.82,都市：商,100000,310,持分移轉,00190000
