編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTJQHJGFDN96DA,四芳段,650.50,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02270000
RPRNMLSJQHJGFBN86DA,福新段,3525.25,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02580000
RPSNMLMJQHJGFHN96DA,二重段,2.77,非都市：特定農業區 ; 非都市編定：交通用地,18,1,持分移轉,05450000
RPSNMLMJQHJGFHN96DA,二重段,.30,非都市：特定農業區 ; 非都市編定：交通用地,18,1,持分移轉,05500000
RPSNMLMJQHJGFHN96DA,梧鳳段,71.27,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,08910000
RPSNMLMJQHJGFHN96DA,二重段,4.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,108,1,持分移轉,13620000
RPSNMLMJQHJGFHN96DA,二重段,.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,108,1,持分移轉,13630000
RPSNMLMJQHJGFHN96DA,二重段,.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,108,1,持分移轉,13640000
RPSNMLMJQHJGFHN96DA,二重段,14.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,72,1,持分移轉,13650000
RPSNMLMJQHJGFHN96DA,二重段,16.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,72,1,持分移轉,13670000
RPSNMLMJQHJGFHN96DA,二重段,2.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,360,1,持分移轉,13680000
RPSNMLMJQHJGFHN96DA,二重段,107.28,非都市：特定農業區 ; 非都市編定：農牧用地,720,63,持分移轉,13870000
RPSNMLMJQHJGFHN96DA,二重段,6.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,720,6,持分移轉,13880000
RPSNMLMJQHJGFHN96DA,二重段,180.82,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,13900000
RPSNMLMJQHJGFHN96DA,二重段,66.69,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,13930000
RPSNMLMJQHJGFHN96DA,二重段,5.59,非都市：特定農業區 ; 非都市編定：農牧用地,26,1,持分移轉,13960000
RPSNMLMJQHJGFHN96DA,二重段,15.56,非都市：特定農業區 ; 非都市編定：農牧用地,26,1,持分移轉,13970000
RPSNMLMJQHJGFHN96DA,二重段,77.06,非都市：特定農業區 ; 非都市編定：農牧用地,6,1,持分移轉,14090000
