鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
虎尾鎮,土地,廉使段1450-3地號,288.45,,特定農業區,農牧用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,6240,,0.0,0,,RPPNMLQJRHJGFDP96DA,0.0,0.0,0.0,無,
台西鄉,土地,萬興段473-2地號,49.34,,鄉村區,乙種建築用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,220000,4459,,0.0,0,,RPPNMLPJRHJGFFP07DA,0.0,0.0,0.0,無,0001
莿桐鄉,土地,樹子腳段1420地號,1260.9,,特定農業區,農牧用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2290000,1816,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLMJRHJGFAP96DA,0.0,0.0,0.0,無,
莿桐鄉,土地,樹子腳段1422地號,1269.01,,特定農業區,農牧用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2310000,1820,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPJRHJGFAP66DA,0.0,0.0,0.0,無,
斗六市,土地,榴中段792地號,126.65,,鄉村區,乙種建築用地,1130901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,17371,,0.0,0,含土地增值稅或其他稅費207127元；未登記建物；,RPPNMLQJRHJGFAP76EA,0.0,0.0,0.0,無,
斗南鎮,土地,興國段1414-4地號,5.0,住,,,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,151250,30250,,0.0,0,,RPPNMLRJQHJGFBP86EA,0.0,0.0,0.0,無,
崙背鄉,土地,永安段1627地號,2238.0,,特定農業區,農牧用地,1130803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3580800,1600,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJQHJGFCP86DA,0.0,0.0,0.0,無,
台西鄉,土地,五港段589地號,410.0,,一般農業區,農牧用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,3902,,0.0,0,,RPWNMLQJQHJGFFP77DA,0.0,0.0,0.0,無,
褒忠鄉,土地,忠興段199地號,82.0,商,,,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2728550,33275,,0.0,0,,RPSNMLTJQHJGFDP47DA,0.0,0.0,0.0,無,0002
水林鄉,土地,順興段1033地號,1000.0,,特定農業區,農牧用地,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,675000,675,,0.0,0,,RPQNMLTJQHJGFEP37DA,0.0,0.0,0.0,無,
元長鄉,土地,五塊寮段480-2地號,2790.0,,特定農業區,農牧用地,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3654900,1310,,0.0,0,,RPQNMLMKQHJGFEP76DA,0.0,0.0,0.0,無,
元長鄉,土地,五塊寮段480-3地號,2790.0,,特定農業區,農牧用地,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3654900,1310,,0.0,0,,SPQNMLMKQHJGFEP86DA,0.0,0.0,0.0,無,
東勢鄉,土地,東北段1130-8地號,31.0,住,,,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,682000,22000,,0.0,0,政府機關標讓售；,RPSNMLRJQHJGFFP47DA,0.0,0.0,0.0,無,
東勢鄉,土地,東北段1130-7地號,31.0,住,,,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,682000,22000,,0.0,0,政府機關標讓售；,RPTNMLRJQHJGFFP57DA,0.0,0.0,0.0,無,
東勢鄉,土地,東北段1130-16地號,20.0,住,,,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,20000,,0.0,0,政府機關標讓售；,RPUNMLRJQHJGFFP67DA,0.0,0.0,0.0,無,
莿桐鄉,土地,饒平段836地號,33.09,,鄉村區,乙種建築用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,12088,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNKQHJGFAP66DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮芳草路７５之５號,44.48,,鄉村區,乙種建築用地,1130805,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0830503,64.4,2,2,2,有,無,2500000,38820,,0.0,0,其他增建；,RPSNMLRJQHJGFDP27DA,62.0,1.2,1.2,無,
土庫鎮,土地,文化段591地號,156.75,商,,,1130805,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7068050,45091,,0.0,0,未登記建物稅籍編號05010146000號一併買賣,RPQNMLOKQHJGFDP86DA,0.0,0.0,0.0,無,
四湖鄉,土地,三條崙段溪崙小段469地號,957.0,,一般農業區,農牧用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,980000,1024,,0.0,0,,RPRNMLTJQHJGFEP47DA,0.0,0.0,0.0,無,0003
斗六市,土地,石牛溪段595地號,354.68,,特定農業區,農牧用地,1130802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750960,2117,,0.0,0,,RPQNMLNKQHJGFAP56EA,0.0,0.0,0.0,無,
二崙鄉,土地,番社段292-18地號,17.0,,鄉村區,乙種建築用地,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,60000,3529,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKQHJGFCP56DA,0.0,0.0,0.0,無,
西螺鎮,土地,廣興段451地號,442.01,,鄉村區,乙種建築用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5200000,11764,,0.0,0,,RPVNMLNKQHJGFCP17DA,0.0,0.0,0.0,無,
水林鄉,房地(土地+建物),雲林縣水林鄉水林路２３４巷３號,45.74,商,,,1130803,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0790120,215.5,3,2,4,有,無,2800000,12993,,0.0,0,,RPOOMLNKQHJGFEP76DA,215.5,0.0,0.0,無,0004
口湖鄉,土地,北段83地號,3423.7,,一般農業區,農牧用地,1130809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4340000,1268,,0.0,0,,RPPNMLOKQHJGFEP86DA,0.0,0.0,0.0,無,0005
四湖鄉,土地,林厝寮段4296地號,4556.0,,一般農業區,農牧用地,1130805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1867960,410,,0.0,0,,RPRNMLOKQHJGFEP07DA,0.0,0.0,0.0,無,
口湖鄉,土地,後厝段523-1地號,1359.0,,一般農業區,農牧用地,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,434800,320,,0.0,0,急買急賣；,RPWNMLOKQHJGFEP57DA,0.0,0.0,0.0,無,
元長鄉,土地,龍岩厝段179-1地號,368.0,,鄉村區,乙種建築用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,7609,,0.0,0,,RPXNMLOKQHJGFEP67DA,0.0,0.0,0.0,無,
斗南鎮,土地,明昌段469-10地號,4.25,住,,,1130806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,115774,27241,,0.0,0,,RPQNMLQKQHJGFBP86DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮林森路二段４７７巷７５號四樓之１０,7.55,住,,,1130804,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950803,28.64,1,0,1,有,有,1200000,41899,,0.0,0,,RPUNMLMKQHJGFDP07DA,14.34,0.0,1.96,有,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮五間厝６０號六樓之３,4.31,住,,,1130803,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080409,13.510000000000002,1,1,1,有,有,1100000,81421,,0.0,0,,RPVPMLOKQHJGFDP57DA,7.6,0.0,1.54,有,0006
莿桐鄉,土地,番子段1270地號,988.75,,特定農業區,農牧用地,1130808,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1350000,1365,,0.0,0,,RPXNMLOKQHJGFAP27DA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市鎮北路６５８號,67.47,,鄉村區,乙種建築用地,1130801,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120503,145.47,4,2,4,有,無,11700000,80429,,0.0,0,,RPSPMLOKQHJGFAP96DA,139.63,0.0,5.84,無,0007
西螺鎮,土地,漢北段903-1地號,52.03,住,,,1130802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1727000,33192,,0.0,0,畸零地或有合併使用效益；,RPRNMLPKQHJGFCP96DA,0.0,0.0,0.0,無,
