編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKMNHJGFDP98CC,大學段,1880.21,都市：商,,,,01790000
RPPNMLOKOHJGFAP98CC,保庄段,538.58,都市：工,,,,07030000
RPPNMLOKOHJGFAP98CC,保庄段,1454.68,都市：工,,,,07030001
RPUNMLPLOHJGFAP07CC,秀才段,49.59,非都市：一般農業區 ; 非都市編定：農牧用地,,,,04480000
RPPNMLOJPHJGFDP66CC,五間段,25.49,都市：住,,,,02420002
RPXNMLMKPHJGFAP07CC,海豐崙段海豐崙小段,72.00,都市：住,,,,04000106
RPXNMLMKPHJGFAP07CC,海豐崙段海豐崙小段,71.00,都市：住,,,,04000107
RPPNMLOLPHJGFCP76CC,東玄段,95.70,都市：住,,,,04170000
RPQNMLQJQHJGFDP07CC,工專段,560.20,都市：住,,,,09070000
RPPNMLPJQHJGFDP86CC,高北段,103.08,都市：住,,,,02290038
RPPNMLMKOHJGFEP56CC,關聖段,120.00,都市：住,,,,08080016
RPPNMLOKOHJGFAP56EC,大潭段社口小段,918.00,都市：住,,,,00990325
