編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLPKQHJGFDQ27DA,43,68.34,住家用,加強磚造,70年7月31日,一層,一層,全筆移轉
RPQNMLOKQHJGFCQ96EA,31,105.37,住家用,鋼筋混凝土造,82年12月14日,七層,五層 陽台 花台 雨遮,全筆移轉
RPQNMLOKQHJGFCQ96EA,31,9.47,共有部分,鋼筋混凝土造,82年12月14日,七層,,持分移轉
RPQNMLOKQHJGFCQ96EA,31,10.22,共有部分,鋼筋混凝土造,82年12月14日,七層,,持分移轉
RPQNMLLLQHJGFCQ76EA,43,114.87,住商用,鋼筋混凝土加強磚造,70年10月12日,二層,一層 二層 電梯樓梯間,全筆移轉
RPQNMLMKQHJGFBQ56DA,57,49.28,住家用,磚造,56年9月1日,,一層 騎樓,全筆移轉
RPQNMLRLQHJGFBQ17DA,21,17.93,住家用,鋼筋混凝土造,92年8月21日,五層,五層 陽台,全筆移轉
RPQNMLRLQHJGFBQ17DA,21,5.18,門廳、走道、梯間,鋼筋混凝土造,92年8月21日,五層,,持分移轉
RPVNMLNLQHJGFBQ27DA,38,127.88,住家用,鋼筋混凝土加強磚造,75年4月22日,二層,一層 二層 騎樓,全筆移轉
RPQOMLPKQHJGFDQ17DA,19,7.54,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPQOMLPKQHJGFDQ17DA,19,15.37,集合住宅,鋼筋混凝土造,94年8月15日,五層,一層 陽台,全筆移轉
RPSNMLQLQHJGFBQ27DA,7,22.08,本共有部分之主要用途計有：停車空間、機電設備空間、貯藏室、大廳、管委會空間等５項,鋼筋混凝土造,106年4月18日,五層,,持分移轉
RPSNMLQLQHJGFBQ27DA,7,34.58,集合住宅,鋼筋混凝土造,106年4月18日,五層,四層 雨遮,全筆移轉
RPPNMLRLQHJGFCQ17DA,35,156.67,店舖、住房,鋼筋混凝土造,78年6月20日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項,全筆移轉
RPSNMLQLQHJGFDQ47DA,17,276.56,店舖、住宅、停車空間,鋼筋混凝土造,96年2月8日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPPNMLSLQHJGFDQ47EA,47,115.96,住家用,鋼筋混凝土加強磚造,66年3月20日,二層,一層 二層 騎樓,全筆移轉
RPPNMLQLQHJGFEQ27DA,5,184.50,住宅、樓梯間,鋼筋混凝土造,108年8月23日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPVNMLSJQHJGFDQ77DA,2,186.75,住家用,鋼筋混凝土造,111年10月6日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLSLQHJGFCQ27DA,29,130.77,住商用,鋼筋混凝土造,84年10月13日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPQNMLKMQHJGFDQ86EA,19,7.92,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPQNMLKMQHJGFDQ86EA,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,五層 陽台,全筆移轉
RPPNMLKLQHJGFBQ98DA,31,140.75,農舍,鋼筋混凝土加強磚造,82年12月7日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLSLQHJGFDQ37DA,30,105.09,住家用,木造,83年4月11日,二層,一層 二層 陽台 露台,全筆移轉
RPQNMLNJRHJGFBQ66DA,20,18.06,住家用,鋼筋混凝土造,94年1月3日,五層,二層 陽台,全筆移轉
RPQNMLNJRHJGFBQ66DA,20,1.79,梯廳、樓電梯室、消防泵浦、電信室、梯間,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPQNMLNJRHJGFBQ66DA,20,2.72,走廊,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPRNMLMJRHJGFCQ86EA,31,103.08,集合住宅,鋼筋混凝土造,82年2月17日,五層,二層,全筆移轉
RPRNMLMJRHJGFCQ86EA,31,10.10,共有部分,鋼筋混凝土造,82年2月17日,五層,,持分移轉
RPQOMLTLQHJGFCQ57DA,17,232.04,住宅、停車空間,鋼筋混凝土造,96年7月19日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPWNMLKMQHJGFDQ37DA,41,106.64,住家用,鋼筋混凝土加強磚造,72年8月1日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLPJRHJGFBQ76DA,37,187.78,住家用,鋼筋混凝土加強磚造,76年10月12日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPQNMLMKQHJGFCQ66DA,31,228.44,住家用,鋼筋混凝土造,82年12月15日,四層,一層 二層 三層 四層 平台 見其他登記事項,全筆移轉
RPPNMLKMQHJGFCQ56DA,48,57.80,住家用,加強磚造,65年7月1日,一層,一層,全筆移轉
RPPNMLNJRHJGFDQ76DA,48,59.10,住家用,加強磚造,65年7月1日,二層,一層 二層,全筆移轉
RPQNMLNJRHJGFDQ96EA,42,97.00,住家用,鋼筋混凝土加強磚造,71年9月10日,二層,一層 二層 電梯樓梯間,全筆移轉
RPTNMLRKPHJGFBQ27DA,7,315.00,農機具室,鋼骨構造,106年9月25日,一層,一層,全筆移轉
RPPNMLQKPHJGFCQ96EA,42,67.38,住家用,ＲＣ磚木造,71年10月16日,一層,一層,全筆移轉
RPQNMLSKPHJGFCQ27EA,29,162.26,住家用,鋼筋混凝土造,84年2月17日,三層,一層 二層 三層 平台 電梯樓梯間 見其他登記事項,全筆移轉
RPPNMLRKPHJGFDQ07DA,44,109.01,住家用,鋼筋混凝土加強磚造,69年7月5日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPRNMLNJPHJGFCQ66DA,31,153.46,住家用,鋼筋混凝土造,82年7月22日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLTKPHJGFDQ47DA,19,7.92,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,持分移轉
RPRNMLTKPHJGFDQ47DA,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,五層 陽台,全筆移轉
RPXNMLMKPHJGFDQ37DA,32,159.07,住家用,鋼筋混凝土造,81年1月6日,四層,一層 二層 三層 四層,持分移轉
RPSNMLSKPHJGFDQ47DA,36,130.91,住家用,鋼筋混凝土造,77年1月21日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPWNMLNLPHJGFBQ27DA,18,4.20,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPWNMLNLPHJGFBQ27DA,18,4.20,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPWNMLNLPHJGFBQ27DA,18,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,六層 陽台,全筆移轉
RPWNMLNLPHJGFBQ27DA,18,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,六層 陽台,全筆移轉
RPWNMLNLPHJGFBQ27DA,18,5.78,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPWNMLNLPHJGFBQ27DA,18,5.78,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPVNMLNLPHJGFBQ17DA,18,6.35,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPVNMLNLPHJGFBQ17DA,18,21.72,住家用,鋼筋混凝土造,95年8月28日,八層,七層 陽台,全筆移轉
RPVNMLNLPHJGFBQ17DA,18,8.58,共有部分,鋼筋混凝土造,95年8月28日,,,持分移轉
RPQNMLTLPHJGFDQ57EA,48,66.66,住家用,磚造,65年8月4日,一層,一層,全筆移轉
RPSNMLSJPHJGFBQ17DA,31,167.48,住商用,鋼筋混凝土加強磚造,82年7月5日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPQNMLKLPHJGFBQ98DA,44,93.09,住家用,鋼筋混凝土加強磚造,69年8月7日,二層,一層 二層 騎樓,全筆移轉
RPUNMLLKPHJGFDQ96DA,1,193.85,住家用,鋼骨構造,112年9月26日,三層,一層 二層 三層 陽台,全筆移轉
RPXNMLTLPHJGFDQ18DA,42,125.51,住家用,鋼筋混凝土加強磚造,71年7月31日,三層,一層 二層 三層,全筆移轉
RPWNMLTLPHJGFDQ08DA,42,97.00,住家用,鋼筋混凝土加強磚造,71年9月10日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLOLPHJGFBQ66DA,7,22.08,本共有部分之主要用途計有：停車空間、機電設備空間、貯藏室、大廳、管委會空間等５項,鋼筋混凝土造,106年4月18日,五層,,持分移轉
RPPNMLOLPHJGFBQ66DA,7,34.31,集合住宅,鋼筋混凝土造,106年4月18日,五層,二層 雨遮,全筆移轉
RPRNMLMJQHJGFBQ56DA,20,17.44,住家用,鋼筋混凝土造,94年1月3日,五層,三層 陽台,全筆移轉
RPRNMLMJQHJGFBQ56DA,20,1.72,梯廳、樓電梯室、消防泵浦、電信室、梯間,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPRNMLMJQHJGFBQ56DA,20,2.62,走廊,鋼筋混凝土造,94年1月3日,五層,,持分移轉
RPVNMLRKPHJGFCQ57DA,44,137.44,住商用,鋼筋混凝土加強磚造,69年8月21日,三層,一層 二層 三層,全筆移轉
RPTNMLMJQHJGFCQ96EA,45,291.75,店鋪．宿舍．住宅．廠房,鋼筋混凝土加強磚造,68年10月2日,三層,一層 二層 三層 騎樓 電梯樓梯間,持分移轉
RPPNMLMLPHJGFCQ56DA,28,213.13,住商用,鋼筋混凝土造,85年11月6日,五層,一層 二層 三層 四層 五層 騎樓 電梯樓梯間,全筆移轉
RPQNMLMLPHJGFCQ66DA,43,211.95,住商用,鋼筋混凝土加強磚造,70年10月3日,三層,一層 二層 三層,全筆移轉
RPPNMLRJPHJGFCQ86DA,48,109.97,住家用,加強磚造,65年12月28日,二層,一層 二層,全筆移轉
RPUNMLOLPHJGFCQ27DA,45,114.08,住家用,鋼筋混凝土加強磚造,68年11月13日,二層,一層 二層 騎樓,全筆移轉
RPPNMLQJPHJGFCQ76DA,6,299.37,住宅、店舖、門廊,鋼筋混凝土造,107年9月4日,二層,一層 二層 見其他登記事項,全筆移轉
RPXNMLKMPHJGFCQ27DA,54,46.21,住家用,磚造,59年12月5日,一層,一層 騎樓,全筆移轉
