編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLKMPHJGFAX17DB,馬公段,12.95,都市：商,10000,260,持分移轉,02930000
RPQNMLKMPHJGFAX17DB,馬公段,1.07,都市：其他:道路用地,10000,260,持分移轉,02970000
RPRNMLTJPHJGFAX87DB,文寮段,21.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4719,持分移轉,05320000
RPPNMLLMPHJGFAX17DB,文寮段,21.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4719,持分移轉,05320000
RPXNMLLMPHJGFAX97DB,文寮段,28.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6448,持分移轉,05320000
RPWNMLLMPHJGFAX87DB,文寮段,21.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4719,持分移轉,05320000
RPRNMLLMPHJGFAX37DB,文寮段,21.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4719,持分移轉,05320000
RPTNMLLMPHJGFAX57DB,文寮段,28.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6353,持分移轉,05320000
RPPNMLTLPHJGFAX87DB,馬公段,21.12,都市：商,10000,424,持分移轉,02930000
RPPNMLTLPHJGFAX87DB,馬公段,1.74,都市：其他:道路用地,10000,424,持分移轉,02970000
RPSNMLLMPHJGFAX47DB,文寮段,21.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4719,持分移轉,05320000
RPVNMLLMPHJGFAX77DB,文寮段,28.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6448,持分移轉,05320000
RPQNMLLMPHJGFAX27DB,文寮段,21.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4719,持分移轉,05320000
RPPNMLTJPHJGFAX67DB,文寮段,28.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6448,持分移轉,05320000
RPPNMLKMPHJGFAX07DB,馬公段,21.12,都市：商,10000,424,持分移轉,02930000
RPPNMLKMPHJGFAX07DB,馬公段,1.74,都市：其他:道路用地,10000,424,持分移轉,02970000
RPQNMLTJPHJGFAX77DB,文寮段,21.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4719,持分移轉,05320000
RPRNMLTLPHJGFAX08DB,馬公段,12.95,都市：商,10000,260,持分移轉,02930000
RPRNMLTLPHJGFAX08DB,馬公段,1.07,都市：其他:道路用地,10000,260,持分移轉,02970000
RPPNMLPKQHJGFAX47DB,馬公段,12.95,都市：商,10000,260,持分移轉,02930000
RPPNMLPKQHJGFAX47DB,馬公段,1.07,都市：其他:道路用地,10000,260,持分移轉,02970000
RPQNMLPKQHJGFAX57DB,馬公段,12.95,都市：商,10000,260,持分移轉,02930000
RPQNMLPKQHJGFAX57DB,馬公段,1.07,都市：其他:道路用地,10000,260,持分移轉,02970000
RPPNMLPJQHJGFAX37DB,文寮段,28.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,6448,持分移轉,05320000
RPQNMLKKPHJGFAX96DB,北極段,105.06,都市：住,1,1,全筆移轉,06610013
RPQNMLKKPHJGFAX86CB,光榮段,20.48,都市：住,1000,104,持分移轉,09040002
RPUNMLLMPHJGFAX67DB,文寮段,19.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4311,持分移轉,05320000
RPSNMLTJPHJGFAX97DB,文寮段,21.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4719,持分移轉,05320000
