鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
暖暖區,租賃房屋,基隆市暖暖區過港路１０巷１０８號五樓,0.0,,,,1130812,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841218,117.32,3,2,3,有,有,有,15000,128,,0.0,0,,RPOOMLNKQHJGFDC08CC,整棟(戶)出租,有,1130831~1140830,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
仁愛區,租賃房屋,基隆市仁愛區劉銘傳路９５巷２０之４號,0.0,,,,1130812,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631002,95.25,3,2,2,有,無,有,12000,126,,0.0,0,,RPTNMLOKQHJGFDC58CC,整棟(戶)出租,無,1130812~1140811,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區碇內街２３號八樓,0.0,,,,1130812,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800606,231.0,4,3,2,有,有,有,14000,61,,0.0,0,,RPVNMLOKQHJGFDC78CC,整棟(戶)出租,有,1130827~1140826,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
仁愛區,租賃房屋,基隆市仁愛區龍安街１４９之１號二樓,0.0,,,,1130812,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720804,86.93,3,1,1,有,無,無,11500,132,,0.0,0,,RPWNMLOKQHJGFDC88CC,整棟(戶)出租,無,1130829~1140828,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
仁愛區,租賃房屋,基隆市仁愛區龍安街１４９之１號三樓,0.0,,,,1130812,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720804,86.93,3,1,1,有,無,有,10000,115,,0.0,0,,RPXNMLOKQHJGFDC98CC,整棟(戶)出租,無,1130829~1140828,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
暖暖區,租賃房屋,基隆市暖暖區碇內街２７９號二樓,0.0,,,,1130813,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,80.43,2,1,1,有,有,有,9000,112,,0.0,0,,RPPOMLOKQHJGFDC28CC,整棟(戶)出租,無,1130816~1140815,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
仁愛區,租賃房屋,基隆市仁愛區成功一路１１８巷２３之３號,0.0,,,,1130812,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690121,100.8,4,1,2,有,無,有,9000,89,,0.0,0,,RPQOMLOKQHJGFDC38CC,整棟(戶)出租,無,1130830~1140829,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,基隆市中正區觀海街１７５號１２樓,0.0,,,,1130813,土地0建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,119.69,2,1,2,有,有,有,12700,106,,0.0,0,管理費800元。,RPPNMLPKQHJGFDC28CC,整棟(戶)出租,有,1130820~1140819,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
信義區,租賃房屋,基隆市信義區培德路１２巷４７之１號４樓,0.0,,,,1130813,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850521,107.12,3,2,2,有,無,有,10000,93,,0.0,0,,RPQNMLPKQHJGFDC38CC,整棟(戶)出租,無,1130816~1140815,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區寧靜街１４３之３號,0.0,,,,1130813,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710816,122.2,3,2,2,有,無,有,15000,123,,0.0,0,,RPSNMLPKQHJGFDC58CC,整棟(戶)出租,無,1130813~1140812,無,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
七堵區,租賃房屋,基隆市七堵區明德一路１７２巷１６之１１號,0.0,,,,1130813,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680613,97.51,3,2,1,有,無,有,11000,113,,0.0,0,,RPWNMLPKQHJGFDC98CC,整棟(戶)出租,無,1130815~1140814,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
暖暖區,租賃房屋,基隆市暖暖區碇內街３９０號四樓,0.0,,,,1130813,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,99.23,3,1,2,有,有,有,11000,111,,0.0,0,,RPOOMLPKQHJGFDC28CC,整棟(戶)出租,無,1130817~1140816,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區基金一路１３５巷１０號六樓,0.0,,,,1130814,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820315,118.59,3,2,2,有,有,有,15000,126,,0.0,0,,RPPOMLPKQHJGFDC38CC,整棟(戶)出租,有,1130823~1140822,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
暖暖區,租賃房屋,基隆市暖暖區碇內街３７８號,0.0,,,,1130814,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,51.53,1,0,1,有,有,有,7000,136,,0.0,0,,RPROMLPKQHJGFDC58CC,獨立套房,無,1130824~1140823,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區基金一路２０８巷１５４弄２１號,0.0,,,,1130816,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,69.55,2,1,1,有,無,有,13500,194,,0.0,0,,RPPNMLTKQHJGFDC68CC,整棟(戶)出租,無,1130831~1140830,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,基隆市中山區中山二路１０５巷６３號５樓,0.0,,,,1130815,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831020,66.37,2,1,1,有,無,有,8000,121,,0.0,0,,RPQNMLTKQHJGFDC78CC,整棟(戶)出租,無,1130915~1140914,無,冷氣、熱水器,社會住宅代管
安樂區,租賃房屋,基隆市安樂區中和路１６８巷５弄２３號５樓,0.0,,,,1130814,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860401,81.7,2,1,1,有,無,有,7500,92,,0.0,0,,RPRNMLTKQHJGFDC88CC,整棟(戶)出租,無,1130830~1140829,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區安樂路一段６９巷４７號,0.0,,,,1130815,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701208,75.12,3,2,2,有,無,有,9000,120,,0.0,0,,RPSNMLTKQHJGFDC98CC,整棟(戶)出租,無,1130820~1140819,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
信義區,租賃房屋,基隆市信義區東光路２０５巷４６號３樓,0.0,,,,1130814,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841116,129.39,3,1,2,有,有,有,15000,116,,0.0,0,,RPTNMLTKQHJGFDC09CC,整棟(戶)出租,有,1130825~1140824,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,基隆市中正區觀海街１９３號３樓,0.0,,,,1130814,土地0建物1車位0,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,31.96,1,0,1,有,有,有,6000,188,,0.0,0,,RPUNMLTKQHJGFDC56CC,獨立套房,有,1130815~1140626,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
中正區,租賃房屋,基隆市中正區新豐街１９６號１９樓,0.0,,,,1130812,土地0建物1車位0,十九層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,32.45,1,0,1,有,有,有,7000,216,,0.0,0,,RPWNMLTKQHJGFDC76CC,獨立套房,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
信義區,租賃房屋,基隆市信義區信二路２１９號３樓,0.0,,,,1130814,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600826,55.39,2,2,1,有,無,有,15000,271,,0.0,0,,RPXNMLTKQHJGFDC86CC,整棟(戶)出租,無,1130822~1140821,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
七堵區,租賃房屋,基隆市七堵區崇孝街４２巷４８弄１之２號,0.0,,,,1130812,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701228,118.53,3,2,2,有,無,有,17000,143,,0.0,0,,RPOOMLTKQHJGFDC68CC,整棟(戶)出租,無,1130815~1140814,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區新西街２０７巷３４之３號,0.0,,,,1130811,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670906,80.87,2,2,1,有,無,有,10000,124,,0.0,0,,RPPOMLTKQHJGFDC78CC,整棟(戶)出租,無,1130815~1140814,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區麥金路１４７之３號５樓,0.0,,,,1130815,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,118.32,3,1,2,有,有,有,16000,135,,0.0,0,,RPQOMLTKQHJGFDC88CC,整棟(戶)出租,有,1130820~1140819,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中山區,租賃房屋,基隆市中山區德安路１３之２號,0.0,,,,1130819,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0600106,56.54,2,1,1,有,無,有,10000,177,,0.0,0,,RPROMLTKQHJGFDC98CC,整棟(戶)出租,無,1130904~1140903,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
