編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLOKQHJGFAD58CC,29,29.77,住家用,鋼筋混凝土造,84年7月4日,十八層,,
RPVNMLOKQHJGFAD58CC,29,13.74,共有部分,鋼筋混凝土造,84年7月4日,十八層,,
RPPOMLOKQHJGFCD28CC,30,88.33,住家用,鋼筋混凝土造,84年1月7日,二十四層,,
RPPOMLOKQHJGFCD28CC,30,16.97,共有部分,鋼筋混凝土造,84年1月7日,二十四層,,
RPPOMLOKQHJGFCD28CC,30,3.16,共有部分,鋼筋混凝土造,84年1月7日,二十四層,,
RPQOMLOKQHJGFAD18CC,25,96.83,集合住宅,鋼筋混凝土造,88年7月30日,十層,,
RPQNMLNKQHJGFKD98CC,49,14.01,住家用,加強磚造,65年1月27日,二層,,
RPQOMLOKQHJGFAD18CC,25,13.42,共有部分,鋼筋混凝土造,88年7月30日,十層,,
RPQOMLOKQHJGFAD18CC,25,41.53,共有部分,鋼筋混凝土造,88年7月30日,十層,,
RPQNMLMKQHJGFCD08CC,45,92.62,住商用,加強磚造,68年3月2日,二層,,
RPQOMLOKQHJGFAD18CC,25,9.14,共有部分,鋼筋混凝土造,88年7月30日,十層,,
RPPNMLOKQHJGFCD18CC,29,65.26,住家用,鋼筋混凝土造,84年11月6日,二十層,,
RPTNMLOKQHJGFAD38CC,18,65.66,集合住宅,ＲＣ造,95年10月1日,十四層,,
RPPNMLOKQHJGFCD18CC,29,13.65,共有部分,鋼筋混凝土造,84年11月6日,二十層,,
RPPNMLOKQHJGFCD18CC,29,18.67,共有部分,鋼筋混凝土造,84年11月6日,二十層,,
RPTNMLOKQHJGFAD38CC,18,12.43,共有部分,ＲＣ造,95年10月1日,十四層,,
RPTNMLOKQHJGFAD38CC,18,15.91,共有部分,ＲＣ造,95年10月1日,十四層,,
RPVOMLOKQHJGFAD68CC,3,60.16,集合住宅,鋼筋混凝土構造,110年12月13日,二十二層,,
RPVOMLOKQHJGFAD68CC,3,54.07,本共有部分之項目有管委會使用空間、公共服務空間、樓梯間、電梯間、機械室、水箱、停車空間、防空避難室兼停車空間、中繼機房、外廊、防災中心、車道。,鋼筋混凝土構造,110年12月13日,二十二層,,
RPOPMLOKQHJGFAD08CC,3,60.16,集合住宅,鋼筋混凝土構造,110年12月13日,二十二層,,
RPOPMLOKQHJGFAD08CC,3,54.07,本共有部分之項目有管委會使用空間、公共服務空間、樓梯間、電梯間、機械室、水箱、停車空間、防空避難室兼停車空間、中繼機房、外廊、防災中心、車道。,鋼筋混凝土構造,110年12月13日,二十二層,,
RPSNMLNKQHJGFKD56CC,30,145.66,住商用,鋼筋混凝土造,83年10月18日,十三層,,
RPSNMLNKQHJGFKD56CC,30,98.81,共有部分,鋼筋混凝土造,83年10月18日,十三層,,
RPQOMLOKQHJGFCD38CC,34,13.03,商業用,鋼筋混凝土造,79年9月26日,十二層,,
