編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQPMLMLJIJGFAG87EA,,50.16,住家用,加強磚造,48年7月0日,一層,一層,全筆移轉
RPQNMLLLJIJGFBG67EA,30,79.35,住家用,鋼筋混凝土造,83年10月5日,七層,七層 陽台,全筆移轉
RPQNMLLLJIJGFBG67EA,30,10.06,共有部分,鋼筋混凝土造,83年10月5日,七層,,持分移轉
RPQNMLLLJIJGFBG67EA,30,7.22,共有部分,鋼筋混凝土造,83年10月5日,七層,,持分移轉
RPPPMLSKJIJGFAG18DA,46,24.36,住家用,鋼筋混凝土加強磚造,67年5月23日,二層,一層 二層,持分移轉
RPQOMLMLJIJGFBG77DA,31,75.70,住家用,鋼筋混凝土加強磚造,82年8月30日,二層,一層 二層 陽台,全筆移轉
RPPPMLPLJIJGFAG08EA,47,94.15,住家用,鋼筋混凝土加強磚造,66年11月29日,二層,一層 二層 夾層,全筆移轉
RPVNMLPLJIJGFBG48DA,19,17.48,住家用,鋼筋混凝土造,94年9月14日,六層,三層,全筆移轉
RPWNMLPLJIJGFBG58DA,17,221.33,住家用,鋼筋混凝土造,96年12月27日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項,全筆移轉
RPVNMLPLJIJGFBG48DA,19,12.63,共有部分,鋼筋混凝土造,94年9月14日,六層,,持分移轉
RPOPMLPLJIJGFAG87DA,,180.53,住家用,鋼筋混凝土造,113年8月16日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPPMLPLJIJGFAG97DA,,176.19,住家用,鋼筋混凝土造,113年8月16日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLSKJIJGFAG38DA,43,106.84,住家用,鋼筋混凝土加強磚造,71年1月22日,二層,一層 二層 騎樓,全筆移轉
RPWOMLPLJIJGFAG58DA,,180.85,住宅，樓梯間,鋼筋混凝土造,113年8月16日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPUOMLPLJIJGFAG38DA,,186.34,住宅，樓梯間,鋼筋混凝土造,113年8月16日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQPMLPLJIJGFAG08DA,,178.09,住家用,鋼筋混凝土造,113年8月16日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLPLJIJGFBG87DA,7,98.69,集合住宅,鋼筋混凝土造,106年6月3日,十二層,九層 陽台,全筆移轉
RPPNMLPLJIJGFBG87DA,7,22.25,本共有部分之項目有：公共設施、樓梯間、水箱、電梯機房等４項,鋼筋混凝土造,106年6月3日,十二層,,持分移轉
RPPNMLPLJIJGFBG87DA,7,26.07,本共有部分之項目有：防空避難室兼停車空間、機電空間、停車空間、公共設施等４項,鋼筋混凝土造,106年6月3日,十二層,,持分移轉
RPQNMLRLJIJGFAG08DA,37,134.46,住家用,鋼筋混凝土造,77年1月19日,二層,一層 二層 陽台 騎樓,全筆移轉
RPUNMLQJJIJGFAG18DA,26,110.27,住家用,鋼筋混凝土造,87年6月2日,四層,三層 四層 陽台,全筆移轉
RPUNMLQJJIJGFAG18DA,26,43.10,防空避難室.停車場.梯間.共同使用部份,鋼筋混凝土造,87年6月2日,四層,,持分移轉
RPQNMLSKJIJGFBG28EA,55,42.00,住商用,鋼筋混凝土加強磚造,59年2月4日,三層,一層 二層 三層,全筆移轉
RPSOMLLLJIJGFBG87DA,26,61.85,住家用,鋼筋混凝土造,87年6月12日,七層,五層 陽台,全筆移轉
RPSOMLLLJIJGFBG87DA,26,13.02,共有部分,鋼筋混凝土造,87年6月12日,七層,,持分移轉
RPSOMLLLJIJGFBG87DA,26,23.27,防空避難室，停車空間,鋼筋混凝土造,87年6月12日,七層,,持分移轉
RPUPMLQLJIJGFBG68DA,26,173.91,停車場，鄉村住宅,鋼筋混凝土造,88年3月6日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPQOMLRLJIJGFBG28DA,1,33.22,本共有部分之項目有：停車空間、樓梯間、水箱、機械室等４項,鋼筋混凝土造,113年2月7日,四層,,持分移轉
RPPNMLRLJIJGFBG08DA,7,122.40,集合住宅,鋼筋混凝土造,107年1月23日,十四層,二層 陽台 雨遮,全筆移轉
RPPNMLRLJIJGFBG08DA,7,89.47,本共有部分項目：防空避難室兼停車空間、蓄水池、緊急發電機室兼消防泵浦室、管委會使用空間、騎樓、停車空間、台電配電室、機房、車道、公共空間、樓梯間、電梯間、水箱、機械室等１４項。,鋼筋混凝土造,107年1月23日,十四層,,持分移轉
RPSNMLQLJIJGFBG28DA,1,68.69,集合住宅,鋼筋混凝土造,112年12月28日,四層,一層 陽台,全筆移轉
RPSNMLQLJIJGFBG28DA,1,21.67,本共有部分之項目有：梯廳、樓梯間等２項,鋼筋混凝土造,112年12月28日,四層,,持分移轉
RPQOMLPLJIJGFBG08DA,1,52.17,集合住宅,鋼筋混凝土造,113年4月11日,八層,三層 陽台,全筆移轉
