鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,房地(土地+建物),嘉義市嘉義市僑和街８８號,34.0,住,,,1131202,土地1建物1車位0,全,一層,透天厝,住家用,木造,0600311,25.85,3,1,1,有,無,1000000,38685,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJKIJGFAI38DA,25.85,0.0,0.0,無,
嘉義市,土地,彌陀段130-4地號,20.0,住,,,1131101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,774000,38700,,0.0,0,,RPQOMLSJJIJGFAI28DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市重慶路３８４號６樓１３,5.25,住,,,1131103,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821012,32.67,1,0,1,有,有,1480000,45301,,0.0,0,,RPQNMLLKJIJGFAI67EA,19.49,0.96,0.0,有,001
嘉義市,土地,大溪段450地號,1710.8,農,,,1131110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5430000,3174,,0.0,0,袋地,RPRNMLOKJIJGFAI08EA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市義教街７０６巷３１弄５號,82.5,住,,,1131101,土地1建物1車位0,全,二層,透天厝,住家用,鋼造,0810316,88.39,6,2,2,有,無,3600000,40729,,0.0,0,,RPRNMLPKJIJGFAI18EA,88.39,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市友愛路４９４號五樓之１,11.49,住,,,1131102,土地1建物1車位0,五層，夾層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881129,102.28,3,2,2,有,有,7900000,77247,,0.0,0,,RPTNMLPKJIJGFAI38EA,67.31,0.0,6.82,有,
嘉義市,土地,車店段420-76地號,9.0,,,,1131108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,546000,60667,,0.0,0,未登記建物；,RPRNMLTKJIJGFAI48DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市義教街４７２號,652.0,農,,,1131111,土地1建物1車位0,全,二層,透天厝,其他,鋼造,0690312,30.0,0,0,0,無,無,6000000,200000,,0.0,0,其他增建；,RPUNMLKLJIJGFAI97DA,30.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市文雅街１２８號８樓６,6.52,住,,,1131105,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850618,40.59,1,1,1,有,有,1900000,46810,,0.0,0,,RPWNMLTKJIJGFAI98DA,24.82,0.0,3.85,有,002
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路４２號二樓之７,5.26,住,,,1131111,土地2建物1車位0,二層,四層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0970303,14.02,1,1,1,有,有,1000000,71327,,0.0,0,,RPPOMLTKJIJGFAI38DA,6.44,0.0,1.92,有,
嘉義市,土地,埤子頭段317地號,51.25,都市：其他:道路用地,,,1131112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3167258,61800,,0.0,0,包含公共設施保留地用地；,RPPNMLKLJIJGFAI47DA,0.0,0.0,0.0,無,003
嘉義市,土地,竹圍子段388-1地號,82.39,都市：其他:道路用地,,,1131112,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4711943,57191,,0.0,0,包含公共設施保留地用地；,RPQNMLKLJIJGFAI57DA,0.0,0.0,0.0,無,003
嘉義市,房地(土地+建物),嘉義市嘉義市林森東路１６３巷１０６－３號,82.91,住,,,1131101,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0880222,184.08,5,2,6,有,無,2800000,15211,,0.0,0,土地增值稅由買方支付親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKJIJGFAI38DA,171.27,0.0,12.81,無,
嘉義市,房地(土地+建物),嘉義市嘉義市自強街８４巷１０３弄６號,68.0,住,,,1131108,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670403,101.41,3,1,2,有,無,2000000,19722,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMLJIJGFAI67DA,96.08,5.33,0.0,無,
嘉義市,土地,後庄段77-31地號,408.0,農,,,1131104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6680000,16373,,0.0,0,未登記建物；,RPQOMLMLJIJGFAI87DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路四段３５０巷１８弄６號,70.0,住,,,1131107,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0740826,97.57,5,3,3,有,無,7700000,78918,,0.0,0,頂樓加蓋；夾層；其他增建；,RPSOMLMLJIJGFAI08DA,92.25,5.32,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市南京路１５巷９號七樓之１　,18.2,住,,,1131108,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830914,121.12,3,2,2,有,有,6230000,51437,,0.0,0,,RPUPMLQLJIJGFAI78DA,80.64,0.97,10.09,有,
嘉義市,房地(土地+建物),嘉義市嘉義市新生路７９９巷４號,53.0,住,,,1131113,土地1建物1車位0,全,一層,透天厝,住家用,木造,0610307,38.82,3,1,1,有,無,3000000,77280,,0.0,0,,RPPNMLPLJIJGFAI08EA,38.82,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路一段５１９號４樓１,10.94,住,,,1131103,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880731,107.27,3,2,2,有,有,7250000,67586,,0.0,0,,RPOOMLMLJIJGFAI67DA,70.98,1.5,10.82,有,005
嘉義市,房地(土地+建物),嘉義市嘉義市八德路１４５號５樓２,12.58,住,,,1131109,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830203,97.1,3,2,2,有,有,3520000,36251,,0.0,0,,RPVPMLQLJIJGFAI88DA,70.02,0.0,12.95,有,006
嘉義市,土地,檜段六小段8-16地號,28.0,商,,,1131108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,71429,,0.0,0,房屋交易價格 52700元土地交易價格 1947300元土地及未登記建物非屬同一人未登記建物；,RPTNMLMKJIJGFAI97DA,0.0,0.0,0.0,無,
嘉義市,土地,短竹段349-2地號,190.5,,,,1131116,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,7874,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQLJIJGFAI08DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市湖邊里１４鄰國華新村２１７號,55.0,住,,,1131106,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650327,75.28,3,2,2,有,無,5000000,66419,,0.0,0,頂樓加蓋；其他增建；,RPQNMLQLJIJGFAI18DA,75.28,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市吳鳳南路５７３－５號２樓２,13.18,住,,,1131104,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850205,120.86,3,2,2,有,有,6000000,49644,其他,0.0,0,,RPSNMLQLJIJGFAI38DA,78.34,0.0,12.8,有,
嘉義市,房地(土地+建物),嘉義市嘉義市圓福街８０巷３４號,68.0,住,,,1131119,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0610405,94.54,4,2,3,有,無,8700000,92025,,0.0,0,,RPPNMLRLJIJGFAI18DA,94.54,0.0,0.0,無,007
嘉義市,房地(土地+建物),嘉義市嘉義市北社尾路８巷１５號,187.0,住,,,1131107,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0770822,153.26,3,2,3,有,無,13000000,84823,,0.0,0,土地價格：800萬元正，建物價格：500萬元正。親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQLJIJGFAI18EA,136.87,16.39,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市新民路１８６巷５７號６樓２,21.46,住,,,1131117,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821125,103.35000000000001,3,2,1,有,有,4398000,42554,,0.0,0,,RPUOMLQLJIJGFAI68DA,73.43,0.0,2.05,有,008
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路７９０－６１號３樓３,19.6,住,,,1131114,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,125.46000000000001,3,2,2,有,有,5700000,45433,,0.0,0,,RPSRMLQLJIJGFAI78DA,83.76,0.0,11.14,有,
嘉義市,土地,車店段車店小段640-9地號,102.0,住,,,1131115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8500000,83333,,0.0,0,,RPTRMLQLJIJGFAI88DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市仁愛路１２號６樓７,8.41,住,,,1131115,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800823,46.8,1,1,1,有,有,2950000,63034,,0.0,0,,RPTOMLSLJIJGFAI78DA,39.01,0.0,2.4,有,
嘉義市,房地(土地+建物),嘉義市嘉義市博愛路二段２６０號,136.75,都市：其他:住宅區,,,1131101,土地4建物1車位0,全,二層,透天厝,住家用,見使用執照,0770316,156.12,7,3,3,有,無,14400000,92237,,0.0,0,建物格局1.嘉義市劉厝段93建號2房1廳1衛2.嘉義市竹圍子段2861建號5房2廳2衛親友、員工、共有人或其他特殊關係間之交易；,RPXPMLQLJIJGFAI09DA,156.12,0.0,0.0,無,
嘉義市,土地,宣信段1045地號,53.79,住,,,1131112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2360060,43875,,0.0,0,地清或未辦繼承標售；,RPRNMLRLJIJGFAI38DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市博東路２３號九樓２,17.75,住,,,1131113,土地2建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830525,128.65,3,2,2,有,有,8860000,68869,坡道機械,0.0,0,,RPTNMLSLJIJGFAI68DA,84.5,0.0,10.59,有,009
嘉義市,土地,埤子頭段401-35地號,75.5,住,,,1131111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,34437,,0.0,0,土地增值稅由買方支付親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTNMLTLJIJGFAI78DA,0.0,0.0,0.0,無,
嘉義市,土地,竹圍子段二小段438-1地號,2.0,住,,,1131118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,100000,,0.0,0,政府機關標讓售；,RPPNMLTLJIJGFAI48EA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市博愛路一段３８８之５號４樓２,20.87,住,,,1131102,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821220,149.41,3,2,2,有,有,6450000,43170,坡道平面,0.0,0,本案拆房地比，土地價金:3870000，建物價金:2580000。,RPXNMLTKJIJGFAI09DA,77.42,0.81,11.8,有,010
嘉義市,房地(土地+建物),嘉義市嘉義市溪興街１５３巷３０弄４７號四樓１,32.45,住,,,1131102,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731013,92.87,3,1,1,有,無,3200000,34457,,0.0,0,,RPURMLQLJIJGFAI98DA,80.16,0.0,0.0,無,
嘉義市,土地,民族段二小段4-27地號,89.13,住,,,1131122,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13480000,151240,,0.0,0,,RPWNMLMJKIJGFAI28DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市北鎮街１１巷１４號,58.0,住,,,1131114,土地1建物1車位0,全,一層,透天厝,住家用,木造,0590603,38.99,3,2,1,有,無,2500000,64119,,0.0,0,頂樓加蓋；其他增建；,RPSNMLNJKIJGFAI97DA,38.99,0.0,0.0,無,011
嘉義市,房地(土地+建物),嘉義市嘉義市永安街３５７號九樓,22.24,住,,,1131101,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931028,124.88,3,2,2,有,有,4200000,33632,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJKIJGFAI87DA,68.23,0.0,8.46,有,012
