編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTJKIJGFAI38DA,54,25.85,住家用,木造,60年3月11日,一層,一層,持分移轉
RPRNMLPKJIJGFAI18EA,33,88.39,住家用,鋼造,81年3月16日,二層,一層 二層,持分移轉
RPQNMLLKJIJGFAI67EA,31,12.22,共有部份,鋼筋混凝土造,82年10月12日,七層,,持分移轉
RPQNMLLKJIJGFAI67EA,31,20.45,住家用,鋼筋混凝土造,82年10月12日,七層,六層 花台,全筆移轉
RPTNMLPKJIJGFAI38EA,25,73.99,住家用,鋼筋混凝土造,88年11月29日,十二層,五層 陽台 夾層,全筆移轉
RPTNMLPKJIJGFAI38EA,25,.14,警衛室,鋼筋混凝土造,88年11月29日,十二層,一層 陽台,持分移轉
RPTNMLPKJIJGFAI38EA,25,9.74,共有部份,鋼筋混凝土造,88年11月29日,十二層,,持分移轉
RPTNMLPKJIJGFAI38EA,25,18.38,共有部份,鋼筋混凝土造,88年11月29日,十二層,,持分移轉
RPTNMLPKJIJGFAI38EA,25,.02,共有部份,鋼筋混凝土造,88年11月29日,十二層,,持分移轉
RPPNMLPLJIJGFAI08EA,53,38.82,住家用,木造,61年3月7日,一層,一層 騎樓,全筆移轉
RPPNMLQLJIJGFAI18EA,36,153.26,住家用,加強磚造,77年8月22日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPPNMLRLJIJGFAI18DA,53,94.54,住家用,鋼筋混凝土加強磚造,61年4月5日,二層,一層 二層,全筆移轉
RPPNMLMLJIJGFAI67DA,47,101.41,住家用,鋼筋混凝土加強磚造,67年4月3日,二層,一層 二層 電梯樓梯間,全筆移轉
RPQNMLQLJIJGFAI18DA,49,75.28,住家用,鋼筋混凝土加強磚造,65年3月27日,二層,一層 二層 騎樓,全筆移轉
RPSOMLMLJIJGFAI08DA,39,97.57,住家用,加強磚造,74年8月26日,二層,一層 二層 電梯樓梯間 夾層,全筆移轉
RPOOMLMLJIJGFAI67DA,25,83.30,住家用,鋼筋混凝土造,88年7月31日,十四層,四層 陽台 雨遮,全筆移轉
RPOOMLMLJIJGFAI67DA,25,14.16,共有部份,鋼筋混凝土造,88年7月31日,十四層,,持分移轉
RPOOMLMLJIJGFAI67DA,25,9.81,共有部份,鋼筋混凝土造,88年7月31日,十四層,,持分移轉
RPTNMLSLJIJGFAI68DA,30,95.09,住家用,鋼筋混凝土造,83年5月25日,十二層,九層 陽台,全筆移轉
RPTNMLSLJIJGFAI68DA,30,33.56,共有部份,鋼筋混凝土造,83年5月25日,十二層,,持分移轉
RPSRMLQLJIJGFAI78DA,29,94.90,住家用,鋼筋混凝土造,84年10月4日,十一層,三層 陽台,全筆移轉
RPSRMLQLJIJGFAI78DA,29,18.88,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPSRMLQLJIJGFAI78DA,29,11.68,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPTOMLSLJIJGFAI78DA,33,41.41,住家用,鋼筋混凝土造,80年8月23日,七層,六層 陽台,全筆移轉
RPTOMLSLJIJGFAI78DA,33,5.39,共有部份,鋼筋混凝土造,80年8月23日,七層,,持分移轉
RPURMLQLJIJGFAI98DA,40,80.16,住家用,鋼筋混凝土造,73年10月13日,五層,四層,全筆移轉
RPURMLQLJIJGFAI98DA,40,6.32,共有部份,鋼筋混凝土造,73年10月13日,五層,,持分移轉
RPURMLQLJIJGFAI98DA,40,6.39,共有部份,鋼筋混凝土造,73年10月13日,五層,,持分移轉
