鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,22.89,商,,,1130812,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.72,2,2,2,有,無,12070000,85633,坡道平面,33.87,1550000,,RPRNMLMKQHJGFAI38CB,佳展大嘉,C3棟3號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,22.89,商,,,1130812,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.62,2,2,2,有,無,11700000,85063,坡道平面,32.77,1250000,,RPSNMLMKQHJGFAI48CB,佳展大嘉,C3棟4號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,23.55,商,,,1130812,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.0,3,2,2,有,無,12170000,86509,坡道平面,32.77,1250000,,RPTNMLMKQHJGFAI58CB,佳展大嘉,C1棟4號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,20.93,商,,,1130819,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.94,3,2,2,有,無,11050000,86553,坡道平面,33.87,1350000,,RPPNMLTKQHJGFAI88CB,佳展大嘉,B3棟4號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,22.89,商,,,1130819,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.57,3,2,2,有,無,11980000,86524,坡道平面,33.87,1450000,,RPQNMLTKQHJGFAI98CB,佳展大嘉,B1棟6號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,22.89,商,,,1130826,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.62,2,2,2,有,無,11980000,86528,坡道平面,32.77,1350000,,RPPNMLQLQHJGFAI68CB,佳展大嘉,C3棟11號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,23.55,商,,,1130826,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.74,3,2,2,有,無,12560000,87471,坡道平面,33.87,1550000,,RPQNMLQLQHJGFAI78CB,佳展大嘉,C2棟5號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,22.89,商,,,1130902,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.62,3,2,2,有,無,11830000,86828,坡道平面,32.77,1250000,,RPPNMLQJRHJGFAI58CB,佳展大嘉,B2棟8號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康三路與湖美八路交叉口,23.55,商,,,1130902,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.31,3,2,2,有,無,12550000,87143,坡道平面,35.08,1550000,,RPQNMLQJRHJGFAI68CB,佳展大嘉,C1棟5號,
