編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNJRHJGFAI38CC,南門段四小段,48.00,都市：商,,,,00270003
RPUNMLTJRHJGFAI86CC,東川段,72.00,都市：住,,,,04650011
RPVNMLQJRHJGFAI66CC,北門段一小段,92.00,都市：住,,,,00200006
RPPNMLLLRHJGFAI38CC,車店段車店小段,108.00,都市：住,,,,07810008
RPOOMLOLRHJGFAI68CC,末廣段三小段,151.00,都市：住,,,,00010016
RPPNMLPJIIJGFAI77CC,湖子內段湖美小段,94.29,都市：其他:第一種休閒專區,,,,05070047
RPPOMLTJIIJGFAI28CC,白川段,19.00,都市：住,,,,00830026
RPPOMLTJIIJGFAI28CC,白川段,50.00,都市：住,,,,00830093
RPQNMLKKIIJGFAI47CC,盧厝段,6.51,都市：住,,,,02600004
RPPNMLMKIIJGFAI57CC,元段六小段,75.00,都市：商,,,,00190002
RPPNMLMKIIJGFAI57CC,元段六小段,23.00,都市：商,,,,00190003
RPPNMLKKIIJGFAI37CC,下路頭段,47.00,都市：住,,,,02960088
RPTNMLLLIIJGFAI97CC,育人段,70.61,都市：住,,,,03450066
RPSNMLKMIIJGFAI87CC,盧厝段,8.25,都市：住,,,,02740136
RPSNMLKMIIJGFAI87CC,盧厝段,73.00,都市：住,,,,02740153
RPSNMLKMIIJGFAI87CC,盧厝段,16.25,都市：住,,,,02740155
RPSNMLKMIIJGFAI87CC,盧厝段,4.50,都市：住,,,,02740176
RPQNMLKMIIJGFAI67CC,湖子內段新民小段,1780.83,都市：其他:第一種休閒專用區,,,,03010017
RPPNMLQKJIJGFAI08CC,新太平段,15.40,都市：住,,,,05410000
RPUNMLOKJIJGFAI38CC,車店段車店小段,50.40,都市：住,,,,01160000
