編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLMKJIJGFCJ18EA,28,28.04,共有部分,鋼筋混凝土造,85年12月31日,四層,,持分移轉
RPOOMLPKJIJGFBJ08DA,15,.04,守衛室,鋼筋混凝土造,99年1月15日,二十二層,一層,持分移轉
RPOOMLPKJIJGFBJ08DA,15,48.97,共有部分,鋼筋混凝土造,99年1月15日,二十二層,,持分移轉
RPPNMLTKJIJGFDJ78EA,32,67.82,住家用,鋼筋混凝土造,81年12月18日,五層,二層 陽台,全筆移轉
RPPNMLTKJIJGFDJ78EA,32,8.64,梯間,鋼筋混凝土造,81年12月18日,五層,,持分移轉
RPSOMLKLJIJGFBJ08DA,19,.10,警衛室,鋼筋混凝土造,94年5月23日,十層,一層 陽台,持分移轉
RPSOMLKLJIJGFBJ08DA,19,60.48,住家用,鋼筋混凝土造,94年5月23日,十層,六層 陽台 雨遮,持分移轉
RPSOMLKLJIJGFBJ08DA,19,8.29,共有部分,鋼筋混凝土造,94年5月23日,十層,,持分移轉
RPSOMLKLJIJGFBJ08DA,19,.01,共有部分,鋼筋混凝土造,94年5月23日,十層,,持分移轉
RPSOMLKLJIJGFBJ08DA,19,12.41,共有部分,鋼筋混凝土造,94年5月23日,十層,,持分移轉
RPSOMLKLJIJGFBJ08DA,19,13.38,共有部分,鋼筋混凝土造,94年5月23日,十層,,持分移轉
RPRNMLLLJIJGFDJ18DA,,105.54,住家用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPVOMLLJJIJGFBJ28DA,12,1163.74,工業用,鋼筋混凝土造,101年8月27日,四層,一層 二層 三層 四層 屋頂突出物 雨遮,全筆移轉
RPRNMLQLJIJGFBJ48DA,13,352.60,住家用,鋼筋混凝土造,100年7月22日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮,全筆移轉
