編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKJIJGFCJ28EA,赤柯山段,936.89,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01640002
RPRNMLTKJIJGFCJ88EA,大壢段下大壢小段,6202.00,非都市：工業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,00880000
SPRNMLTKJIJGFCJ98EA,大壢段下大壢小段,344.00,非都市：工業區 ; 非都市編定：國土保安用地,1,1,全筆移轉,00880004
TPRNMLTKJIJGFCJ09EA,大壢段下大壢小段,10.00,非都市：工業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,00880005
UPRNMLTKJIJGFCJ56EA,大壢段下大壢小段,1112.00,非都市：工業區 ; 非都市編定：水利用地,1,1,全筆移轉,00880006
WPRNMLTKJIJGFCJ76EA,大壢段下大壢小段,467.00,非都市：工業區 ; 非都市編定：交通用地,1,1,全筆移轉,00880008
VPRNMLTKJIJGFCJ66EA,大壢段下大壢小段,1075.00,非都市：工業區 ; 非都市編定：水利用地,1,1,全筆移轉,00880007
XPRNMLTKJIJGFCJ86EA,大壢段下大壢小段,99.00,非都市：工業區 ; 非都市編定：國土保安用地,1,1,全筆移轉,00880009
YPRNMLTKJIJGFCJ96EA,大壢段下大壢小段,929.00,非都市：工業區 ; 非都市編定：國土保安用地,1,1,全筆移轉,00880010
ZPRNMLTKJIJGFCJ07EA,大壢段下大壢小段,1195.00,非都市：工業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,00940000
QQRNMLTKJIJGFCJ88EA,大壢段下大壢小段,637.00,非都市：工業區 ; 非都市編定：國土保安用地,1,1,全筆移轉,00940007
SQRNMLTKJIJGFCJ09EA,大壢段下大壢小段,5054.00,非都市：工業區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,05350000
TQRNMLTKJIJGFCJ56EA,大壢段下大壢小段,4.00,非都市：工業區 ; 非都市編定：國土保安用地,1,1,全筆移轉,05350004
RQRNMLTKJIJGFCJ98EA,大壢段下大壢小段,450.00,非都市：工業區 ; 非都市編定：國土保安用地,1,1,全筆移轉,00940008
UQRNMLTKJIJGFCJ66EA,大壢段下大壢小段,259.00,非都市：工業區 ; 非都市編定：國土保安用地,1,1,全筆移轉,05350005
