鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
湖口鄉,租賃房屋,新竹縣湖口鄉中山路一段１３３巷３５弄７號,0.0,,,,1130813,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,97.6,3,2,2,有,無,有,24000,246,,0.0,0,,RPPNMLOKQHJGFDJ88CC,整棟(戶)出租,無,1130815~1140814,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
竹東鎮,租賃房屋,新竹縣竹東鎮世界街７１巷５５號六樓,0.0,,,,1130813,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860616,99.03,4,1,2,有,有,有,14900,150,,0.0,0,,RPPNMLQKQHJGFCJ98CC,整棟(戶)出租,有,1130813~1140812,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
新豐鄉,租賃房屋,新竹縣新豐鄉康樂路一段４５７巷６號３樓,0.0,,,,1130814,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.35,3,2,2,有,無,有,13000,132,,0.0,0,,RPPNMLQKQHJGFDJ09CC,整棟(戶)出租,無,1130828~1140827,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市成功六街２２９號１２樓之３,0.0,,,,1130814,土地0建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980113,235.29000000000002,3,2,2,有,有,有,31857,135,坡道平面,0.0,0,其他含二代健保；續租案件；,RPWNMLTKQHJGFBJ27CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般轉租
竹北市,租賃房屋,新竹縣竹北市文義街１３６號６樓之９,0.0,,,,1130816,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950821,50.55,1,1,1,有,有,有,11000,218,,0.0,0,,RPPNMLKLQHJGFBJ38CC,獨立套房,有,1130818~1140817,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
竹東鎮,租賃房屋,新竹縣竹東鎮新民路４４巷３６號,0.0,,,,1130814,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),,加強磚造,,81.62,2,1,1,有,無,有,13000,159,,0.0,0,,RPPNMLKLQHJGFCJ48CC,整棟(戶)出租,無,1130814~1140813,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
湖口鄉,租賃房屋,新竹縣湖口鄉中正路三段２６巷２５弄１５號七樓之２,0.0,,,,1130814,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090429,109.06,3,2,2,有,有,有,17500,160,,0.0,0,,RPPNMLKLQHJGFDJ58CC,整棟(戶)出租,有,1130831~1140830,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
湖口鄉,租賃房屋,新竹縣湖口鄉興華街３８號,16.23,,工業區,丁種建築用地,1130817,土地1建物1車位0,一層,10,華廈(10層含以下有電梯),社區日用品零售及服務設施,鋼筋混凝土造,1101015,78.21,0,1,1,有,有,無,21000,269,,0.0,0,,RPQNMLKLQHJGFDJ68CC,,有,1130910~1160909,有,,
竹北市,租賃房屋,新竹縣竹北市東興路二段３８５巷２１號,0.0,,,,1130816,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0890711,144.32,4,1,3,有,無,無,20000,139,,0.0,0,,RPQNMLLLQHJGFBJ58CC,整棟(戶)出租,無,1130816~1140809,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市隘口六街３１號八樓之二,0.0,,,,1130820,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970609,37.59,2,1,1,有,有,有,18000,479,,0.0,0,,RPRNMLLLQHJGFBJ68CC,整棟(戶)出租,有,1130828~1140827,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市台元二街１２號８樓之８,0.0,,,,1130815,土地0建物1車位20,八層,16,廠辦,工廠,鋼筋混凝土造,1120713,436.31,0,0,0,無,有,無,523426,1200,坡道平面,0.0,65300,租金總額含稅；,RPPNMLMLQHJGFBJ58CC,,有,1131201~1181130,有,,
竹北市,租賃房屋,新竹縣竹北市嘉興路３４９巷５號三樓,0.0,,,,1130821,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840529,90.43,2,2,2,有,有,有,19300,213,,0.0,0,,RPPNMLNLQHJGFBJ68CC,整棟(戶)出租,有,1130823~1140822,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市復興七路７號,85.98,住,,,1130823,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,19.84,7,0,7,有,無,有,10000,504,,0.0,0,租金總額含水費；瓦斯費；網路費；,RPRNMLNLQHJGFBJ88CC,分租套房,無,1130824~1140823,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
竹東鎮,租賃房屋,新竹縣竹東鎮永康街８０號五樓,0.0,,,,1130821,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830506,120.88,3,2,2,有,有,有,16000,132,,0.0,0,,RPPNMLNLQHJGFCJ78CC,整棟(戶)出租,有,1130825~1140824,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新豐鄉,租賃房屋,新竹縣新豐鄉莊敬街５８巷２６弄４號,0.0,,,,1130821,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0690414,115.3,4,2,3,有,無,有,18000,156,,0.0,0,,RPPNMLNLQHJGFDJ88CC,整棟(戶)出租,無,1130822~1140821,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市勝利六街５０號７樓之２,0.0,,,,1130824,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930309,24.46,1,1,1,有,有,無,13000,531,,0.0,0,租金總額含管理費；,RPPNMLOLQHJGFBJ78CC,獨立套房,有,1130901~1140831,有,冷氣、電視機、冰箱,
竹北市,租賃房屋,新竹縣竹北市復興七路５號,0.0,,,,1130824,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,24.8,7,0,7,有,無,有,15500,625,,0.0,0,租金總額含水費；瓦斯費；網路費；,RPPNMLQLQHJGFBJ98CC,分租套房,無,1130825~1140824,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
關西鎮,租賃房屋,新竹縣關西鎮中豐路一段２３號,108.28,住,,,1130821,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0670819,164.85,3,2,2,有,無,無,18000,109,,0.0,0,,RPRNMLQLQHJGFBJ56CC,整棟(戶)出租,無,1130901~1150831,無,,一般轉租
竹北市,租賃房屋,新竹縣竹北市興隆路三段３７巷８號三樓,0.0,,,,1130816,土地0建物0車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981110,25.0,9,0,9,有,無,有,14000,560,,0.0,0,租金總額含水費；租賃建物部分範圍，且未計入共有部分面積；,RPWNMLQLQHJGFBJ07CC,分租套房,無,1130819~1140818,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市興隆路三段３７巷８號４樓,0.0,,,,1130817,土地0建物0車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981110,25.0,9,0,9,有,無,有,14000,560,,0.0,0,租金總額含水費；租賃建物部分範圍，且未計入共有部分面積；,RPOOMLQLQHJGFBJ98CC,分租套房,無,1130820~1140819,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
竹東鎮,租賃房屋,新竹縣竹東鎮中興路２段１５２巷３９弄７號１樓,0.0,,,,1130822,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890427,121.94,3,2,2,有,有,有,22000,180,,0.0,0,,RPQNMLQLQHJGFCJ56CC,整棟(戶)出租,有,1130822~1140821,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
新豐鄉,租賃房屋,新竹縣新豐鄉新興路３５巷１０之４號北室,0.0,,,,1130821,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,36.06,1,0,1,有,有,有,7500,208,,0.0,0,,RPPNMLQLQHJGFDJ56CC,獨立套房,有,1130824~1140823,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,社會住宅包租轉租
