鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹南鎮,租賃房屋,苗栗縣竹南鎮大埔街１４１號４樓前段,0.0,,,,1130815,土地0建物0車位0,全,4,透天厝,住商用、停車空間,鋼筋混凝土造,1061229,19.0,5,0,5,有,無,有,7000,368,,0.0,0,租金總額含管理費；水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLPKQHJGFDK09CC,分租套房,無,1130816~1140815,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,
造橋鄉,租賃房屋,苗栗縣造橋鄉談文村５鄰育英三街２３號１樓之２５,0.0,,,,1130812,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0930623,20.41,1,0,1,有,有,有,2400,118,,0.0,0,租金總額含管理費；,RPPNMLQKQHJGFDK56CC,獨立套房,有,1130815~1140814,無,冷氣、熱水器、冰箱,社會住宅包租轉租
造橋鄉,租賃房屋,苗栗縣造橋鄉談文村５鄰學府路１２１號３樓之２,0.0,,,,1130813,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900629,28.29,1,0,1,有,有,有,3700,131,,0.0,0,,RPQNMLQKQHJGFDK66CC,獨立套房,有,1130813~1140812,無,冷氣、熱水器、冰箱,社會住宅代管
竹南鎮,租賃房屋,苗栗縣竹南鎮新南里１２鄰維新路３０７號四樓,0.0,,,,1130814,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,111.52,3,2,2,有,有,有,16000,143,,0.0,0,,RPRNMLTKQHJGFDK07CC,整棟(戶)出租,有,1130823~1140822,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市興隆里８鄰隆頂街４６號六樓,0.0,,,,1130814,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080821,144.82,2,2,1,有,有,有,14000,97,,0.0,0,,RPPNMLTKQHJGFFK07CC,整棟(戶)出租,有,1130816~1140815,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋+車位,苗栗縣頭份市東民路１８０號,0.0,,,,1130816,土地0建物1車位4,全,3,透天厝,一般零售業、一般事務所、運動休閒設施,ＲＣ造,1000418,194.76,4,0,5,有,無,無,30000,154,一樓平面,0.0,0,租金總額含瓦斯費；,RPPNMLKLQHJGFFK88CC,,無,1130820~1160831,無,冷氣、瓦斯或天然氣,
大湖鄉,租賃房屋,苗栗縣大湖鄉栗林村６鄰四份２２號,0.0,,,,1130819,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0750428,181.68,4,2,2,有,無,有,7000,39,,0.0,0,續租案件；,RPPNMLLLQHJGFAK48CC,整棟(戶)出租,無,1130906~1140831,無,冷氣、熱水器、冰箱,社會住宅代管
公館鄉,租賃房屋,苗栗縣公館鄉館東村１鄰榮東街４２號四樓之二,0.0,,,,1130815,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120218,81.28,2,2,1,有,有,有,13400,165,,0.0,0,,RPQNMLLLQHJGFBK68CC,整棟(戶)出租,有,1130831~1140830,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
竹南鎮,租賃房屋,苗栗縣竹南鎮港墘里１６鄰光德路８６巷７號,0.0,,,,1130814,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1041204,206.88,4,2,3,有,無,有,17600,85,,0.0,0,,RPPNMLLLQHJGFDK78CC,整棟(戶)出租,無,1130828~1140827,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
竹南鎮,租賃房屋,苗栗縣竹南鎮中華里１６鄰博愛街３１３巷６號九樓,0.0,,,,1130820,土地0建物1車位0,九層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851214,121.74,3,2,2,有,有,無,12500,103,,0.0,0,,RPQNMLLLQHJGFDK88CC,整棟(戶)出租,有,1130831~1140830,有,熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
竹南鎮,租賃房屋+車位,苗栗縣竹南鎮大埔七街４２號,0.0,,,,1130821,土地0建物1車位1,一層,4,店面(店鋪),住商用、停車空間,鋼筋混凝土造,1041229,61.45,1,0,1,有,無,無,16500,269,一樓平面,0.0,0,租金總額含管理費；水費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPRNMLLLQHJGFDK98CC,,無,1130905~1140904,無,,
頭份市,租賃房屋,苗栗縣頭份市後庄里２鄰文林路１２０號四樓之１,0.0,,,,1130815,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,ＲＣ造,1020703,130.21,2,2,2,有,有,有,14000,108,,0.0,0,,RPPNMLLLQHJGFFK98CC,整棟(戶)出租,有,1130910~1140509,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
苗栗市,土地,建功段633地號,115.13,工,,,1130820,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,19000,165,,0.0,0,承租苗栗市中山路62號門牌含增建或未登記建物；,RPPNMLMLQHJGFBK68CC,,,1130905~1160904,,,
苗栗市,租賃房屋,苗栗縣苗栗市水源里２０鄰陽明１３０號五樓之８,0.0,,,,1130816,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851030,26.39,1,0,1,有,有,有,4000,152,,0.0,0,,RPQNMLMLQHJGFBK78CC,獨立套房,有,1130820~1140819,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
竹南鎮,租賃房屋,苗栗縣竹南鎮大埔七街１７０號１樓,0.0,,,,1130824,土地0建物1車位0,一層,7,店面(店鋪),商業用、停車空間,鋼筋混凝土造,1050805,108.54,2,1,2,有,有,無,15000,138,,0.0,0,,RPPNMLPLQHJGFDK56CC,,有,1130824~1160823,無,熱水器,
苗栗市,租賃房屋,苗栗縣苗栗市恭敬里８鄰中正路１０９０號五樓之五十一,0.0,,,,1130820,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960716,30.58,1,0,1,有,有,有,5900,193,,0.0,0,租金總額含管理費；,RPQNMLQLQHJGFBK56CC,獨立套房,有,1130820~1140819,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
苗栗市,租賃房屋,苗栗縣苗栗市水源里６鄰恭敬路２７７號四樓之九,0.0,,,,1130820,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870626,31.35,1,0,1,有,有,有,4700,150,,0.0,0,,RPRNMLQLQHJGFBK66CC,獨立套房,有,1130820~1140819,有,冷氣、熱水器、冰箱,社會住宅包租轉租
造橋鄉,租賃房屋,苗栗縣造橋鄉談文村５鄰育英街１０號二樓之二,0.0,,,,1130822,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0920716,26.89,1,0,1,有,有,有,3500,130,,0.0,0,租金總額含管理費；,RPPNMLQLQHJGFDK66CC,獨立套房,有,1130822~1140821,無,冷氣、熱水器、冰箱,社會住宅包租轉租
竹南鎮,租賃房屋,苗栗縣竹南鎮山佳里２２鄰佳北二街９７巷３５弄１號六樓之九,0.0,,,,1130822,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840714,102.44999999999999,3,2,2,有,無,無,11500,112,,0.0,0,,RPQNMLQLQHJGFDK76CC,整棟(戶)出租,無,1130827~1140826,有,熱水器、瓦斯或天然氣,社會住宅包租轉租
竹南鎮,租賃房屋,苗栗縣竹南鎮崎頂里１６鄰和仁街４２巷５號五樓之一,0.0,,,,1130823,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110125,77.47,2,2,1,有,有,有,18000,232,,0.0,0,,RPRNMLQLQHJGFDK86CC,整棟(戶)出租,有,1130830~1140829,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹南鎮,租賃房屋+車位,苗栗縣竹南鎮開元里３鄰平等街一段６２號十五號之五,0.0,,,,1130813,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030929,121.03,3,2,1,有,有,有,19800,178,坡道平面,22.19,2200,,RPSNMLQLQHJGFDK96CC,整棟(戶)出租,有,1130825~1140824,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市後庄里８鄰信義路７９５號五樓,0.0,,,,1130819,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110719,58.74,1,0,1,有,無,有,12000,204,,0.0,0,,RPPNMLQLQHJGFFK86CC,獨立套房,無,1130819~1140818,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市蟠桃里１３鄰林森路４７號四樓,0.0,,,,1130823,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860129,102.89999999999999,3,2,1,有,有,有,10000,97,,0.0,0,,RPQNMLQLQHJGFFK96CC,整棟(戶)出租,有,1130825~1140824,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
頭份市,租賃房屋,苗栗縣頭份市上興里１５鄰永昌街１２號二樓,0.0,,,,1130821,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,95.55,3,2,2,有,有,有,12000,126,,0.0,0,,RPRNMLQLQHJGFFK07CC,整棟(戶)出租,有,1130915~1140914,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
頭份市,租賃房屋,苗栗縣頭份市田寮里２４鄰華夏路９８號三樓之二,0.0,,,,1130813,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831128,68.16,3,2,1,有,無,有,17000,249,,0.0,0,,RPUNMLQLQHJGFFK37CC,整棟(戶)出租,無,1130815~1140814,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
頭份市,租賃房屋,苗栗縣頭份市蟠桃里１８鄰信一街２巷５號四樓,0.0,,,,1130820,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,ＲＣ造,0990514,78.86,2,1,1,有,有,有,17000,216,,0.0,0,,RPVNMLQLQHJGFFK47CC,整棟(戶)出租,無,1130820~1140819,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
竹南鎮,土地,鹽館前段大厝小段231地號,1685.95,工,,,1130813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,215000,128,,0.0,0,含未保存登記建物480坪含增建或未登記建物；,RPQNMLRLQHJGFDK86CC,,,1131001~1160930,,,
