鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
草屯鎮,房地(土地+建物),南投縣草屯鎮石川路43號旁,40.42,,特定農業區,甲種建築用地,1130811,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,123.86,3,2,2,有,無,8760000,70725,,0.0,0,,RPPNMLNKQHJGFBM88DB,新光朝陽,A6棟3號,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段400巷,87.48,住,,,1130813,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,167.27,3,2,5,有,無,16900000,101034,一樓平面,0.0,0,停車位位於室內專有範圍內,RPPNMLOKQHJGFAM78CB,幸福圓墅,A棟7號,
草屯鎮,房地(土地+建物),南投縣草屯鎮登輝路,41.78,住,,,1130811,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.13,3,2,2,有,無,9500000,92117,,0.0,0,,RPQNMLOKQHJGFBM98CB,大名人光輝(大樓),D棟1號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮青田街,18.94,住,,,1130817,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.04,2,2,2,有,無,10200000,97661,坡道平面,25.98,1600000,,RPPNMLRKQHJGFCM66CB,青田居,B3棟11F號,
南投市,房地(土地+建物)+車位,南投縣南投市華陽路,27.55,住,,,1130817,土地12建物1車位1,一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.87,2,2,1,有,無,8880000,87832,坡道平面,25.0,1250000,,RPQNMLTKQHJGFAM76CB,首富京華,B6棟1號,
草屯鎮,房地(土地+建物),南投縣草屯鎮加老路,76.37,,鄉村區,乙種建築用地,1130819,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,174.27,5,3,4,有,無,15980000,91697,,0.0,0,,RPPNMLTKQHJGFBM86DB,草厚森,A棟3號,
南投市,房地(土地+建物)+車位,南投縣南投市彰南路三段400巷,86.94,住,,,1130817,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,167.27,3,2,5,有,無,16900000,101034,一樓平面,0.0,0,停車位位於室內專有範圍內,RPPNMLLLQHJGFAM58CB,幸福圓墅,A棟5號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,13.72,商,,,1130811,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.63,3,2,2,有,無,9580000,94359,坡道平面,26.0,1500000,,RPRNMLLLQHJGFCM98CB,三銳富城,B棟2號,
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮南昌街,14.03,商,,,1130815,土地1建物1車位1,一層,15,店面(店鋪),住商用,鋼筋混凝土造,,113.67,0,0,0,無,無,18850000,197331,坡道平面,26.0,1550000,,RPSNMLLLQHJGFCM09CB,三銳富城,B棟店C號,
草屯鎮,房地(土地+建物),南投縣草屯鎮登輝路與御富路口,94.12,住,,,1130819,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,203.23,4,3,5,有,無,19800000,97427,,0.0,0,,RPQNMLNLQHJGFBM98CB,大名人光輝(透天),I棟12號,
名間鄉,房地(土地+建物),南投縣名間鄉董門巷,122.07,住,,,1130816,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,185.53,5,3,5,有,無,14500000,78154,,0.0,0,,RPQNMLNLQHJGFAM98DB,世紀莊園,B棟2號,
草屯鎮,房地(土地+建物),南投縣草屯鎮碧峰路135巷,24.06,,特定農業區,甲種建築用地,1130813,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,56.67,1,2,1,有,無,4810000,84877,,0.0,0,,RPPNMLPLQHJGFBM56DB,碧峰田園,B棟3樓號,1140506全部解約
埔里鎮,房地(土地+建物),南投縣埔里鎮大城巷,45.5,住,,,1130820,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.32,4,2,2,有,無,9600000,82531,,0.0,0,,RPPNMLQLQHJGFCM76DB,上荷苑,D棟5號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮中和路,17.05,,鄉村區,乙種建築用地,1130819,土地2建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.81,2,2,2,有,無,9300000,78464,坡道平面,97.42,2600000,,RPQNMLRLQHJGFBM76CB,廣宣-水琉璃,B6棟05號,
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮中和路,17.61,,鄉村區,乙種建築用地,1130822,土地2建物1車位2,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.88,2,2,2,有,無,8600000,79968,升降平面,48.72,1550000,,RPRNMLRLQHJGFBM86CB,廣宣-水琉璃,B2棟07號,
