編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTKQHJGFBM86DB,加老段,72.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00270031
RPPNMLTKQHJGFBM86DB,加老段,3.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,438,持分移轉,00270000
RPQNMLSLQHJGFCM96CB,南興段,16.51,都市：商,100000,839,持分移轉,02040000
RPPNMLOKQHJGFAM78CB,永新段,53.24,都市：住,1,1,全筆移轉,11250021
RPPNMLOKQHJGFAM78CB,永新段,34.24,都市：住,24,1,持分移轉,11250000
RPPNMLLLQHJGFAM58CB,永新段,52.70,都市：住,1,1,全筆移轉,11250019
RPPNMLLLQHJGFAM58CB,永新段,34.24,都市：住,24,1,持分移轉,11250000
RPPNMLNKQHJGFBM88DB,新光段,40.42,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,45158,持分移轉,21610000
RPQNMLNLQHJGFAM98DB,小崎段,122.07,都市：住,1,1,全筆移轉,03650028
RPSNMLLLQHJGFCM09CB,南興段,14.03,都市：商,100000,713,持分移轉,02040000
RPRNMLLLQHJGFCM98CB,南興段,13.72,都市：商,100000,697,持分移轉,02040000
RPQNMLOKQHJGFBM98CB,新僑光段,41.78,都市：住,100000,1006,持分移轉,07260000
RPTNMLSLQHJGFCM27CB,南興段,13.72,都市：商,100000,697,持分移轉,02040000
RPPNMLRKQHJGFCM66CB,忠孝段,18.94,都市：住,100000,739,持分移轉,02460000
RPQNMLNLQHJGFBM98CB,新僑光段,94.12,都市：住,1,1,全筆移轉,07260023
RPPNMLTLQHJGFBM86CB,新僑光段,41.78,都市：住,100000,1006,持分移轉,07260000
RPPNMLKMQHJGFAM58CB,福興段,42.56,都市：住,100000,1415,持分移轉,06450000
RPPNMLKMQHJGFAM58CB,福興段,.01,都市：住,100000,1415,持分移轉,06560000
RPPNMLKMQHJGFAM58CB,福興段,.37,都市：住,100000,1415,持分移轉,06580000
RPUNMLSLQHJGFCM37CB,南興段,16.51,都市：商,100000,839,持分移轉,02040000
RPQNMLLMQHJGFDM09CB,內樹皮段,20.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1139,持分移轉,00090000
RPQNMLLMQHJGFDM09CB,內樹皮段,.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1139,持分移轉,00070068
RPPNMLLMQHJGFDM98CB,內樹皮段,25.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1362,持分移轉,00090000
RPPNMLLMQHJGFDM98CB,內樹皮段,.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1362,持分移轉,00070068
RPPNMLPLQHJGFBM56DB,碧峰段,9.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,5411,持分移轉,11700035
RPPNMLPLQHJGFBM56DB,碧峰段,11.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,5411,持分移轉,11750000
RPPNMLPLQHJGFBM56DB,碧峰段,3.00,非都市：特定農業區 ; 非都市編定：農牧用地,102046,300,持分移轉,11760000
RPPNMLLJRHJGFBM68DB,加老段,64.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00270017
RPPNMLLJRHJGFBM68DB,加老段,22.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2842,持分移轉,00270000
RPPNMLNJRHJGFBM78CB,中原段,83.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03940025
RPPNMLNJRHJGFBM78CB,中原段,7.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03940026
