編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLSLQHJGFCM96CB,坡道平面,1400000,26.00,地下三樓
RPPNMLOKQHJGFAM78CB,一樓平面,0,,一樓
RPPNMLLLQHJGFAM58CB,一樓平面,0,,一樓
RPSNMLLLQHJGFCM09CB,坡道平面,1550000,26.00,地下二樓
RPRNMLLLQHJGFCM98CB,坡道平面,1500000,26.00,地下二樓
RPTNMLSLQHJGFCM27CB,坡道平面,1500000,26.00,地下二樓
RPPNMLRKQHJGFCM66CB,坡道平面,1600000,25.98,地下一樓
RPUNMLSLQHJGFCM37CB,坡道平面,1600000,26.00,地下一樓
RPPNMLLMQHJGFDM98CB,坡道平面,1350000,25.89,地下一樓
RPQNMLNJRHJGFBM88CB,升降機械,850000,24.36,地下三樓
RPPNMLPJRHJGFAM88CB,坡道平面,1550000,26.45,地下二樓
RPPNMLOJRHJGFDM09CB,坡道平面,940000,29.55,地下一樓
RPQNMLKKRHJGFDM88CB,坡道平面,1600000,33.06,地下一樓
RPPNMLSJRHJGFBM66CB,坡道平面,1780000,26.31,地下一樓
RPPNMLKKRHJGFDM78CB,坡道平面,1600000,33.06,地下一樓
RPPNMLOKRHJGFAM98DB,坡道平面,1550000,21.56,地下二樓
RPPNMLLKRHJGFCM78CB,坡道平面,1600000,26.00,地下二樓
RPPNMLNKRHJGFBM88CB,坡道平面,1650000,26.31,地下一樓
RPPNMLPKRHJGFBM09CB,坡道平面,1600000,26.31,地下二樓
RPPNMLRKRHJGFAM56CB,坡道平面,1250000,38.36,地下一樓
RPQNMLKLRHJGFBM78CB,坡道平面,1600000,26.31,地下二樓
RPRNMLRKRHJGFAM76CB,坡道平面,1150000,38.36,地下二樓
RPQNMLRKRHJGFAM66CB,坡道平面,1250000,38.36,地下一樓
RPRNMLKLRHJGFBM88CB,坡道平面,1550000,26.31,地下二樓
RPQNMLNLRHJGFAM98CB,一樓平面,0,,一樓
RPPNMLMLRHJGFBM88CB,坡道平面,1780000,26.31,地下一樓
RPQNMLTKRHJGFCM07CB,坡道平面,1600000,29.22,地下一樓
RPRNMLSLQHJGFCM07CB,坡道平面,1500000,26.00,地下二樓
RPPNMLNLRHJGFAM88CB,一樓平面,0,,一樓
RPQNMLRLQHJGFBM76CB,坡道平面,1300000,48.71,地下二樓
RPQNMLRLQHJGFBM76CB,坡道平面,1300000,48.71,地下二樓
RPPNMLOLRHJGFBM09CB,坡道平面,1300000,48.71,地下二樓
RPQNMLOLRHJGFBM56CB,坡道平面,1300000,48.71,地下二樓
RPPNMLPLRHJGFBM56CB,坡道平面,1680000,26.31,地下二樓
RPPNMLPLRHJGFAM09CB,一樓平面,1300000,23.74,一樓
RPRNMLRLQHJGFBM86CB,升降機械,850000,24.36,地下三樓
RPRNMLRLQHJGFBM86CB,升降平面,700000,24.36,地下三樓
RPQNMLRLRHJGFDM17DB,坡道平面,1200000,37.91,地下一樓
RPPNMLKMRHJGFAM68CB,坡道平面,1550000,26.45,地下二樓
RPPNMLRLRHJGFBM76CB,坡道平面,1680000,26.31,地下二樓
RPPNMLLJIIJGFAM67CB,坡道平面,1650000,26.45,地下一樓
RPPNMLKMRHJGFDM98CB,坡道平面,1500000,33.06,地下二樓
RPRNMLOJIIJGFBM28CB,坡道平面,1550000,26.31,地下二樓
RPSNMLOJIIJGFBM38CB,坡道平面,1650000,26.31,地下二樓
RPRNMLLJIIJGFDM28DB,一樓平面,0,,一樓
RPPNMLSLQHJGFCM86CB,坡道平面,1500000,26.00,地下二樓
RPPNMLLJIIJGFDM08DB,坡道平面,1200000,37.91,地下一樓
RPQNMLLJIIJGFDM18DB,坡道平面,1300000,57.66,地下一樓
RPPNMLLJIIJGFBM77CB,升降機械,850000,24.36,地下三樓
RPPNMLLJIIJGFBM77CB,升降機械,700000,24.36,地下三樓
RPQNMLOJIIJGFBM18CB,坡道平面,1580000,26.31,地下三樓
RPPNMLOJIIJGFDM28CB,坡道平面,980000,29.55,地下一樓
RPPNMLOJIIJGFDM28CB,坡道平面,980000,29.55,地下一樓
RPPNMLOJIIJGFAM97CB,一樓平面,0,,一樓
RPTNMLOJIIJGFBM48CB,坡道平面,1700000,26.31,地下一樓
RPPNMLMJIIJGFAM77CB,一樓平面,0,,一樓
RPPNMLOJIIJGFDM38DB,一樓平面,0,,一樓
RPPNMLQJIIJGFBM28CB,坡道平面,1600000,26.31,地下二樓
RPPNMLQJIIJGFCM38CB,其他,450000,18.56,一樓
RPQNMLQJIIJGFBM38CB,坡道平面,1500000,26.31,地下三樓
RPPNMLRJIIJGFCM48CB,坡道平面,1600000,26.00,地下二樓
RPPNMLLKIIJGFCM97CB,一樓平面,0,,一樓
RPSNMLSLQHJGFCM17CB,坡道平面,1400000,26.00,地下三樓
RPQNMLTKQHJGFAM76CB,坡道平面,1250000,25.00,地下一樓
RPPNMLOKIIJGFBM18CB,坡道平面,1700000,26.31,地下一樓
RPPNMLRKIIJGFCM58CB,坡道平面,1250000,25.96,地下二樓
RPQNMLOJIIJGFAM08CB,一樓平面,0,,一樓
RPUNMLPKIIJGFAM68CB,一樓平面,0,,一樓
RPRNMLOJIIJGFAM18CB,一樓平面,0,,一樓
RPWNMLPKIIJGFAM88CB,一樓平面,0,,一樓
RPXNMLPKIIJGFAM98CB,一樓平面,0,,一樓
RPVNMLPKIIJGFAM78CB,一樓平面,0,,一樓
RPPNMLOLIIJGFCM38CB,坡道平面,1500000,25.98,地下二樓
RPPNMLOLIIJGFAM18CB,一樓平面,0,,一樓
RPPNMLNJJIJGFCM28DB,坡道平面,1200000,25.00,地下三樓
RPRNMLOJJIJGFDM68DB,坡道平面,1200000,37.56,地下一樓
RPQNMLOJJIJGFDM58DB,坡道平面,1200000,37.91,地下一樓
RPQNMLOJJIJGFDM58DB,坡道平面,1200000,37.91,地下一樓
RPPNMLPJJIJGFDM58DB,坡道平面,1200000,37.56,地下一樓
