編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLTKJIJGFBF88CB,建林段,9.42,都市：住,10000,36,持分移轉,12610000
RPXNMLTKJIJGFBF88CB,建林段,3.29,都市：住,10000,36,持分移轉,12620000
RPXNMLTKJIJGFBF88CB,建林段,2.50,都市：住,10000,36,持分移轉,12650000
RPXNMLTKJIJGFBF88CB,建林段,2.57,都市：住,10000,36,持分移轉,12660000
RPXNMLTKJIJGFBF88CB,建林段,6.25,都市：住,10000,36,持分移轉,12670000
RPQNMLTKJIJGFBF18CB,麗林段,38.91,都市：住,10000,488,持分移轉,03420000
RPWNMLTKJIJGFBF78CB,建林段,9.16,都市：住,10000,35,持分移轉,12610000
RPWNMLTKJIJGFBF78CB,建林段,3.20,都市：住,10000,35,持分移轉,12620000
RPWNMLTKJIJGFBF78CB,建林段,2.43,都市：住,10000,35,持分移轉,12650000
RPWNMLTKJIJGFBF78CB,建林段,2.50,都市：住,10000,35,持分移轉,12660000
RPWNMLTKJIJGFBF78CB,建林段,6.08,都市：住,10000,35,持分移轉,12670000
RPRNMLTKJIJGFBF28CB,力行段,30.30,都市：住,100000,1375,持分移轉,00110000
RPSNMLTKJIJGFBF38CB,力行段,11.56,都市：住,100000,1964,持分移轉,03830000
RPSNMLTKJIJGFBF38CB,力行段,8.44,都市：住,100000,1964,持分移轉,03840000
RPSNMLSKJIJGFAF18CB,新雅段,.78,都市：住,100000,769,持分移轉,11540001
RPSNMLSKJIJGFAF18CB,新雅段,.11,都市：住,100000,769,持分移轉,11540005
RPSNMLSKJIJGFAF18CB,新雅段,15.83,都市：住,100000,769,持分移轉,11750000
RPQNMLKLJIJGFAF27CB,新都段,4.37,都市：住,1000000,5523,持分移轉,00900000
RPQNMLKLJIJGFAF27CB,新都段,.48,都市：住,1000000,5523,持分移轉,00900001
RPQNMLKLJIJGFAF27CB,新都段,3.48,都市：住,1000000,5523,持分移轉,00910000
RPQNMLKLJIJGFAF27CB,新都段,.36,都市：住,1000000,5523,持分移轉,00910001
RPQNMLKLJIJGFAF27CB,新都段,1.72,都市：住,1000000,5523,持分移轉,00920000
RPQNMLKLJIJGFAF27CB,新都段,.97,都市：住,1000000,5523,持分移轉,00930000
RPQOMLSKJIJGFGF68CB,仁信段,13.30,都市：住,100000,648,持分移轉,00890000
RPXOMLSKJIJGFGF76CB,仁興段,4.40,都市：住,1000000,8911,持分移轉,23750000
RPVOMLSKJIJGFGF56CB,仁信段,20.80,都市：住,100000,663,持分移轉,00570000
RPSNMLTKJIJGFGF88CB,中興段,2.53,都市：其他:特定專用區(一),100000,73,持分移轉,14410000
RPSNMLTKJIJGFGF88CB,中興段,.30,都市：其他:特定專用區(一),100000,73,持分移轉,14410001
RPSNMLTKJIJGFGF88CB,中興段,5.06,都市：其他:特定專用區(一),100000,73,持分移轉,14420007
RPSNMLKLJIJGFAF47CB,中山段,9.17,都市：其他:第一種特定專用區,100000,457,持分移轉,17790000
RPUNMLTKJIJGFGF09CB,中興段,2.29,都市：其他:特定專用區(一),100000,66,持分移轉,14410000
RPUNMLTKJIJGFGF09CB,中興段,.27,都市：其他:特定專用區(一),100000,66,持分移轉,14410001
RPQNMLTKJIJGFGF68CB,五谷王段,4.50,都市：商,100000,301,持分移轉,01360000
RPUNMLTKJIJGFGF09CB,中興段,4.58,都市：其他:特定專用區(一),100000,66,持分移轉,14420007
RPQNMLTKJIJGFGF68CB,五谷王段,23.65,都市：住,100000,301,持分移轉,01400000
RPRNMLKLJIJGFAF37CB,新都段,4.35,都市：住,1000000,5492,持分移轉,00900000
RPRNMLKLJIJGFAF37CB,新都段,.47,都市：住,1000000,5492,持分移轉,00900001
RPRNMLKLJIJGFAF37CB,新都段,3.46,都市：住,1000000,5492,持分移轉,00910000
RPRNMLKLJIJGFAF37CB,新都段,.36,都市：住,1000000,5492,持分移轉,00910001
RPRNMLKLJIJGFAF37CB,新都段,1.71,都市：住,1000000,5492,持分移轉,00920000
RPRNMLKLJIJGFAF37CB,新都段,.96,都市：住,1000000,5492,持分移轉,00930000
RPPNMLLLJIJGFBF37CB,新泰段,18.37,都市：商,10000,61,持分移轉,00180000
RPSNMLKLJIJGFBF57CB,建林段,26.50,都市：住,100000,466,持分移轉,08280000
RPTNMLKLJIJGFAF57CB,江翠段,.38,都市：商,100000,480,持分移轉,01840002
RPTNMLKLJIJGFAF57CB,江翠段,10.79,都市：商,100000,480,持分移轉,01870000
RPRNMLLLJIJGFBF57CB,建林段,8.64,都市：住,10000,33,持分移轉,12610000
RPRNMLLLJIJGFBF57CB,建林段,3.01,都市：住,10000,33,持分移轉,12620000
RPRNMLLLJIJGFBF57CB,建林段,2.29,都市：住,10000,33,持分移轉,12650000
RPRNMLLLJIJGFBF57CB,建林段,2.36,都市：住,10000,33,持分移轉,12660000
RPRNMLLLJIJGFBF57CB,建林段,5.73,都市：住,10000,33,持分移轉,12670000
RPPNMLTKJIJGFBF08CB,建林段,9.42,都市：住,10000,36,持分移轉,12610000
RPPNMLTKJIJGFBF08CB,建林段,3.29,都市：住,10000,36,持分移轉,12620000
RPPNMLTKJIJGFBF08CB,建林段,2.50,都市：住,10000,36,持分移轉,12650000
RPPNMLTKJIJGFBF08CB,建林段,2.57,都市：住,10000,36,持分移轉,12660000
RPPNMLTKJIJGFBF08CB,建林段,6.25,都市：住,10000,36,持分移轉,12670000
RPRNMLOKJIJGFAF67CB,永和段,.51,都市：工,100000,7158,持分移轉,02580001
RPRNMLOKJIJGFAF67CB,永和段,302.70,都市：工,100000,7158,持分移轉,02590000
RPVNMLKLJIJGFAF77CB,江翠段,.38,都市：商,100000,480,持分移轉,01840002
RPVNMLKLJIJGFAF77CB,江翠段,10.79,都市：商,100000,480,持分移轉,01870000
RPWNMLKLJIJGFAF87CB,板翠段,21.52,都市：住,100000,424,持分移轉,01220000
RPUNMLKLJIJGFAF67CB,江翠段,.36,都市：商,100000,459,持分移轉,01840002
RPUNMLKLJIJGFAF67CB,江翠段,10.32,都市：商,100000,459,持分移轉,01870000
RPQNMLOLJIJGFBF77CB,文德段,17.81,都市：住,1000000,24648,持分移轉,02350000
RPQNMLOLJIJGFBF77CB,文德段,1.06,都市：住,1000000,24648,持分移轉,02350001
RPQNMLOLJIJGFBF77CB,文德段,7.09,都市：商,1000000,24648,持分移轉,02380000
RPSNMLPLJIJGFBF08CB,建林段,15.71,都市：住,10000,60,持分移轉,12610000
RPSNMLPLJIJGFBF08CB,建林段,5.48,都市：住,10000,60,持分移轉,12620000
RPSNMLPLJIJGFBF08CB,建林段,4.16,都市：住,10000,60,持分移轉,12650000
RPSNMLPLJIJGFBF08CB,建林段,4.29,都市：住,10000,60,持分移轉,12660000
RPSNMLPLJIJGFBF08CB,建林段,10.42,都市：住,10000,60,持分移轉,12670000
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,00570000
RPSNMLMLJIJGFGF28CB,中興段,.01,都市：工,100000,1,持分移轉,00580000
RPSNMLMLJIJGFGF28CB,中興段,.01,都市：工,100000,1,持分移轉,00860000
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,00870000
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,00880000
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,00890000
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,01030000
RPSNMLMLJIJGFGF28CB,中興段,.01,都市：工,100000,1,持分移轉,01070000
RPSNMLMLJIJGFGF28CB,中興段,.01,都市：工,100000,1,持分移轉,01080000
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,01580000
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,01580001
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,01750000
RPSNMLMLJIJGFGF28CB,中興段,.00,都市：工,100000,1,持分移轉,01760000
RPSNMLMLJIJGFGF28CB,中興段,2.01,都市：商,100000,741,持分移轉,01330000
RPSNMLMLJIJGFGF28CB,中興段,.82,都市：商,100000,741,持分移轉,01340000
RPSNMLMLJIJGFGF28CB,中興段,.87,都市：商,100000,741,持分移轉,01370000
RPSNMLMLJIJGFGF28CB,中興段,.91,都市：商,100000,741,持分移轉,01380000
RPSNMLMLJIJGFGF28CB,中興段,.97,都市：商,100000,741,持分移轉,01410000
RPSNMLMLJIJGFGF28CB,中興段,1.01,都市：商,100000,741,持分移轉,01420000
RPTNMLPLJIJGFBF18CB,建林段,8.64,都市：住,10000,33,持分移轉,12610000
RPSNMLMLJIJGFGF28CB,中興段,1.05,都市：商,100000,741,持分移轉,01450000
RPTNMLPLJIJGFBF18CB,建林段,3.01,都市：住,10000,33,持分移轉,12620000
RPSNMLMLJIJGFGF28CB,中興段,1.07,都市：商,100000,741,持分移轉,01460000
RPSNMLMLJIJGFGF28CB,中興段,1.12,都市：商,100000,741,持分移轉,01490000
RPTNMLPLJIJGFBF18CB,建林段,2.29,都市：住,10000,33,持分移轉,12650000
RPSNMLMLJIJGFGF28CB,中興段,1.06,都市：商,100000,741,持分移轉,01500000
RPTNMLPLJIJGFBF18CB,建林段,2.36,都市：住,10000,33,持分移轉,12660000
RPSNMLMLJIJGFGF28CB,中興段,1.29,都市：商,100000,741,持分移轉,01530000
RPSNMLMLJIJGFGF28CB,中興段,.01,都市：商,100000,741,持分移轉,01070001
RPTNMLPLJIJGFBF18CB,建林段,5.73,都市：住,10000,33,持分移轉,12670000
RPSNMLMLJIJGFGF28CB,中興段,.01,都市：商,100000,741,持分移轉,01080001
RPUNMLPLJIJGFBF28CB,力行段,3.17,都市：商,1000000,5822,持分移轉,01740000
RPUNMLPLJIJGFBF28CB,力行段,3.76,都市：商,1000000,5822,持分移轉,01750000
RPUNMLPLJIJGFBF28CB,力行段,1.40,都市：商,1000000,5822,持分移轉,01760000
RPUNMLPLJIJGFBF28CB,力行段,1.85,都市：商,1000000,5822,持分移轉,01770000
RPUNMLPLJIJGFBF28CB,力行段,2.08,都市：商,1000000,5822,持分移轉,02220000
RPUNMLPLJIJGFBF28CB,力行段,1.61,都市：商,1000000,5822,持分移轉,02230000
RPUNMLPLJIJGFBF28CB,力行段,1.61,都市：商,1000000,5822,持分移轉,02230001
RPUNMLPLJIJGFBF28CB,力行段,1.61,都市：商,1000000,5822,持分移轉,02230002
RPUNMLPLJIJGFBF28CB,力行段,4.42,都市：商,1000000,5822,持分移轉,02250000
RPUNMLPLJIJGFBF28CB,力行段,6.14,都市：商,1000000,5822,持分移轉,02270000
RPQNMLRKJIJGFBF97CB,麗林段,29.43,都市：住,100000,1615,持分移轉,04920000
