編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLOKKHKGFBG87DA,公園段,.36,都市：其他:保存區,10000,62,持分移轉,01380000
RPTNMLRKKHKGFBG48DA,忠義段,38.20,都市：其他:住宅區,22480,382,持分移轉,07310000
RPPOMLOKKHKGFBG87DA,玉石段,8.80,都市：其他:健康休閒專用區五,10000,62,持分移轉,02110000
RPQPMLTKKHKGFAG58EA,新大埔段,125.91,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01270000
RPVOMLOKKHKGFBG48DA,宜商段,58.76,都市：其他:住宅區,1,1,全筆移轉,06500000
RPQPMLOLKHKGFAG18EA,鹿皮段,1620.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01010000
RPPOMLSKKHKGFBG28DA,北津段,414.98,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02100007
RPRNMLSKKHKGFBG38DA,白雲段,1.47,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,59,持分移轉,04810000
RPRNMLOLKHKGFBG08DA,農權段,.18,都市：其他:住宅區,10000,18,持分移轉,03600000
RPRNMLOLKHKGFBG08DA,農權段,6.93,都市：其他:住宅區,10000,18,持分移轉,03610000
RPQNMLNLKHKGFBG87DA,五峰段,17.95,都市：其他:住宅區,10000,283,持分移轉,00370000
RPTOMLQJKHKGFBG38DA,溫泉段,19.66,都市：其他:住宅區,1,1,全筆移轉,03230000
RPVNMLKLKHKGFBG08DA,東村段,77.49,都市：其他:道路用地,100,69,持分移轉,04130003
RPUNMLKLKHKGFBG97DA,東村段,67.39,都市：其他:道路用地,1,1,全筆移轉,04130004
RPTNMLKLKHKGFBG87DA,宜興段,93.56,都市：其他:道路用地,10,9,持分移轉,01330000
RPTNMLKLKHKGFBG87DA,宜興段,94.89,都市：其他:道路用地,10,9,持分移轉,01350000
RPRNMLLLKHKGFBG77DA,農權段,39.75,都市：其他:住宅區,100000,500,持分移轉,11910000
RPWNMLOLKHKGFBG58DA,艮門一段,41.30,都市：其他:住宅區,10000,86,持分移轉,03220000
RPPNMLQLKHKGFBG08DA,溫泉段,27.50,都市：其他:住宅區,10000,396,持分移轉,04710001
RPPNMLQLKHKGFBG08DA,溫泉段,1.82,都市：其他:住宅區,10000,396,持分移轉,04710031
RPPRMLRLKHKGFBG58DA,茄苳林段,405.40,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01110000
RPOQMLRLKHKGFBG38DA,新三泰段,46.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,3,2,持分移轉,04690000
RPPPMLQLKHKGFAG28EA,八仙段,40.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,10126,持分移轉,02870000
