編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLOKJIJGFAI58CC,31,34.55,住家用,鋼筋混凝土造,82年6月9日,十六層,,
RPWNMLOKJIJGFAI58CC,31,5.62,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPWNMLOKJIJGFAI58CC,31,7.73,共有部份,鋼筋混凝土造,82年6月9日,十六層,,
RPQNMLMKJIJGFAI77CC,75,26.56,住家用,木造,38年5月19日,一層,,
RPWNMLKLJIJGFAI28CC,52,90.29,住家用,見使用執照,62年1月22日,二層,,
RPRNMLSKJIJGFAI48CC,29,98.45,住家用,鋼筋混凝土造,85年3月11日,二十層,,
RPUNMLSKJIJGFAI78CC,31,65.09,住家用,鋼筋混凝土造,82年10月18日,十四層,,
RPUNMLSKJIJGFAI78CC,31,19.34,共有部份,鋼筋混凝土造,82年10月18日,十四層,,
RPWNMLSKJIJGFAI98CC,36,91.15,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPWNMLSKJIJGFAI98CC,36,14.18,共有部份,鋼筋混凝土造,78年1月17日,七層,,
RPRNMLSKJIJGFAI48CC,29,17.94,停車空間,鋼筋混凝土造,85年3月11日,二十層,,
RPRNMLSKJIJGFAI48CC,29,31.63,共有部份,鋼筋混凝土造,85年3月11日,二十層,,
RPQNMLPKJIJGFAI08CC,34,20.42,住家用,鋼筋混凝土造,79年12月8日,八層,,
RPQNMLPKJIJGFAI08CC,34,5.02,住家用,鋼筋混凝土造,79年12月8日,八層,,
RPVNMLSKJIJGFAI88CC,20,128.18,住家用,鋼筋混凝土造,93年10月29日,十四層,,
RPVNMLSKJIJGFAI88CC,20,85.36,共有部份,鋼筋混凝土造,93年10月29日,十四層,,
RPVNMLKLJIJGFAI18CC,29,48.27,住家用,鋼筋混凝土造,85年3月11日,二十層,,
RPVNMLKLJIJGFAI18CC,29,13.55,共有部份,鋼筋混凝土造,85年3月11日,二十層,,
RPOOMLOKJIJGFAI87CC,20,115.04,住家用,鋼筋混凝土造,93年10月28日,十二層,,
RPOOMLOKJIJGFAI87CC,20,72.28,共有部份,鋼筋混凝土造,93年10月28日,十二層,,
RPTNMLTKJIJGFAI78CC,47,38.82,住家用,鋼筋混凝土造,67年3月23日,七層,,
RPTNMLTKJIJGFAI78CC,47,45.67,住家用,鋼筋混凝土造,67年3月23日,七層,,
RPTNMLTKJIJGFAI78CC,47,12.70,共有部份,預力混凝土造,67年3月23日,四層,,
RPTNMLTKJIJGFAI78CC,47,1.21,共有部份,鋼筋混凝土造,67年3月23日,七層,,
RPQNMLSKJIJGFAI38CC,38,148.56,住家用,加強磚造,75年7月29日,二層,,
RPOOMLSKJIJGFAI28CC,12,13.22,停車空間、店舖、住宅、梯間,鋼筋混凝土構造,101年7月6日,四層,,
RPPNMLKLJIJGFAI57CC,17,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPPNMLKLJIJGFAI57CC,17,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPVNMLTKJIJGFAI98CC,32,72.65,住家用,鋼筋混凝土造,81年9月14日,九層,,
RPWNMLTKJIJGFAI09CC,31,49.73,住家用,鋼筋混凝土造,83年1月11日,八層,,
RPWNMLTKJIJGFAI09CC,31,13.18,共有部份,鋼筋混凝土造,83年1月11日,八層,,
RPVNMLTKJIJGFAI98CC,32,2.83,共有部份,鋼筋混凝土造,81年9月14日,九層,,
RPXNMLOKJIJGFAI68CC,40,42.51,住家用,鋼筋混凝土造,73年10月13日,五層,,
RPVNMLTKJIJGFAI98CC,32,9.59,共有部份,鋼筋混凝土造,81年9月14日,九層,,
RPXNMLOKJIJGFAI68CC,40,3.61,共有部份,鋼筋混凝土造,73年10月13日,五層,,
RPXNMLOKJIJGFAI68CC,40,3.39,共有部份,鋼筋混凝土造,73年10月13日,五層,,
RPXNMLSKJIJGFAI09CC,36,34.77,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPXNMLSKJIJGFAI09CC,36,5.57,共有部份,鋼筋混凝土造,78年1月17日,七層,,
RPQNMLKLJIJGFAI67CC,36,106.34,住商用,加強磚造,77年10月3日,二層,,
RPPNMLPKJIJGFAI97CC,39,67.02,住家用,鋼筋混凝土造,74年9月19日,五層,,
RPPNMLPKJIJGFAI97CC,39,7.00,共有部份,鋼筋混凝土造,74年9月19日,五層,,
RPPNMLPKJIJGFAI97CC,39,8.07,共有部份,鋼筋混凝土造,74年9月19日,五層,,
RPROMLKLJIJGFAI87CC,31,73.53,住家用,鋼筋混凝土造,82年8月5日,七層,,
RPQOMLKLJIJGFAI77CC,32,41.76,住家用,鋼筋混凝土造,82年1月11日,七層,,
RPROMLKLJIJGFAI87CC,31,19.25,共有部份,鋼筋混凝土造,82年8月5日,七層,,
RPQOMLKLJIJGFAI77CC,32,12.35,共有部份,鋼筋混凝土造,82年1月11日,七層,,
RPTNMLLLJIJGFAI08CC,29,26.78,住家用,鋼筋混凝土造,84年10月13日,八層,,
RPTNMLLLJIJGFAI08CC,29,8.25,共有部份,鋼筋混凝土造,84年10月13日,八層,,
RPVNMLLLJIJGFAI28CC,40,52.26,住家用,鋼筋混凝土造,73年10月13日,五層,,
RPVNMLLLJIJGFAI28CC,40,4.43,共有部份,鋼筋混凝土造,73年10月13日,五層,,
RPVNMLLLJIJGFAI28CC,40,4.17,共有部份,鋼筋混凝土造,73年10月13日,五層,,
RPRNMLMLJIJGFAI97CC,32,67.47,住家用,鋼筋混凝土造,81年12月21日,六層,,
RPRNMLMLJIJGFAI97CC,32,21.46,共有部份,鋼筋混凝土造,81年12月21日,六層,,
