編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLKLJIJGFAN18CC,孔門段,26.00,都市：商,,,,05290000
RPQNMLKLJIJGFAN18CC,孔門段,.65,都市：商,,,,05240012
RPTNMLPLJIJGFAN98CC,福竹段,74.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,11800014
RPPNMLQLJIJGFAN68CC,西勢子段過溝子小段,16.50,都市：住,,,,00110024
RPPNMLQLJIJGFAN68CC,西勢子段過溝子小段,2.64,都市：住,,,,00120004
RPPNMLQLJIJGFBN78CC,和群段,805.44,非都市：特定農業區 ; 非都市編定：農牧用地,,,,09340000
RPQNMLKLJIJGFDN48CC,惠來段,86.00,都市：住,,,,02250010
RPPNMLTKJIJGFHN96CC,光平段,313.99,都市：住,,,,03630000
RPPNMLTKJIJGFHN96CC,光平段,149.36,都市：住,,,,03630001
RPPNMLTKJIJGFHN96CC,光平段,355.25,都市：住,,,,03630002
RPRNMLTKJIJGFHN17CC,大發段,100.00,都市：住,,,,01880000
RPPNMLTKJIJGFDN56CC,僑信段,19.03,都市：住,,,,03610000
RPQNMLRLJIJGFDN56CC,中央段,21.37,非都市：特定農業區 ; 非都市編定：交通用地,,,,04490000
RPQNMLRLJIJGFDN56CC,中央段,53.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,04500000
RPPNMLNJKIJGFHN98CC,霖鳳段,73.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00530047
RPPNMLMJKIJGFDN48CC,僑信段,160.60,都市：住,,,,09640000
RPPNMLMJKIJGFDN48CC,僑信段,8.80,都市：住,,,,09640001
RPPNMLTJKIJGFBN98CC,伸同段,28.85,都市：住,,,,02610000
RPPNMLTJKIJGFBN98CC,伸同段,3.06,都市：住,,,,02610001
RPQNMLPJKIJGFAN58CC,西勢子段過溝子小段,24.17,都市：住,,,,02020181
RPQNMLLKKIJGFDN58CC,和平段,5.09,都市：住,,,,01120000
RPVNMLKKKIJGFDN98CC,中山段,65.00,都市：住,,,,01890006
RPPNMLLKKIJGFBN28CC,新發段,65.51,都市：住,,,,04440011
RPPNMLTKKIJGFCN56CC,上林段,874.99,非都市：工業區 ; 非都市編定：丁種建築用地,,,,04430006
RPPNMLRLJIJGFGN76CC,裕津段,99.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,04180000
RPPNMLQLKIJGFAN78CC,燕霧段,726.12,都市：農,,,,08580000
RPPNMLQLKIJGFAN78CC,燕霧段,43.95,都市：農,,,,08690000
RPQNMLNLKIJGFDN88CC,豐年段,199.02,都市：住,,,,10830000
RPQNMLNLKIJGFDN88CC,豐年段,109.41,都市：住,,,,10840000
RPTNMLPLKIJGFDN76CC,僑信段,160.60,都市：住,,,,09640000
RPRNMLPLKIJGFDN56CC,新生段,107.76,都市：住,,,,06100000
RPRNMLPLKIJGFDN56CC,新生段,17.77,都市：住,,,,06110000
RPRNMLPLKIJGFDN56CC,新生段,90.92,都市：住,,,,06120000
RPRNMLPLKIJGFDN56CC,新生段,456.38,都市：住,,,,06130000
RPPNMLPLKIJGFDN98CC,和平段,24.37,都市：住,,,,01110000
RPSNMLKMKIJGFAN58CC,秀中段,70.61,都市：住,,,,03350000
RPPNMLLMKIJGFHN09CC,中山段,73.00,都市：住,,,,08490000
RPPNMLNJJHKGFCN38CC,崙海段,3395.24,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00200038
RPPNMLTJJHKGFAN78CC,嘉興段,316.75,非都市：特定農業區 ; 非都市編定：農牧用地,,,,12230002
RPPNMLPKJHKGFGN09CC,北挖仔段,91.22,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,07950000
RPTNMLPKJHKGFAN88CC,延和段,80.00,都市：住,,,,08910000
RPPNMLQKJHKGFHN66CC,大竹段,107.36,都市：住,,,,02070001
RPPNMLPKJHKGFHN56CC,瓦窯北段,583.15,非都市：特定農業區 ; 非都市編定：農牧用地,,,,05580002
RPQNMLRKJHKGFEN56CC,新雅段,101.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00280000
RPQOMLRKJHKGFDN56CC,永中段,285.73,都市：住,,,,00830002
RPPNMLLLJHKGFDN48CC,僑信段,75.62,都市：住,,,,11050002
RPQNMLNJKHKGFFN88CC,大湖段,2107.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,11320000
RPPNMLPJKHKGFGN09CC,新生段,533.00,都市：住,,,,00910000
RPPNMLPJKHKGFGN09CC,新生段,533.00,都市：住,,,,00910001
RPPNMLPJKHKGFGN09CC,新生段,477.00,都市：住,,,,00920000
RPPNMLPJKHKGFGN09CC,新生段,477.00,都市：住,,,,00920001
RPRNMLPJKHKGFDN98CC,僑信段,83.25,都市：工,,,,06460127
RPQNMLSJKHKGFGN86CC,裕津段,99.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,04180000
RPPNMLLKKHKGFCN38CC,上林段,3024.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01010013
RPQNMLKKKHKGFHN88CC,河興段,1200.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,11390000
RPSNMLLLKHKGFAN58CC,民生段,90.00,都市：住,,,,06040000
RPSNMLLLKHKGFAN58CC,民生段,7.00,都市：住,,,,06030000
RPSNMLLLKHKGFAN58CC,民生段,14.00,都市：住,,,,06030001
RPQNMLNKKHKGFDN78CC,三多段,24.13,都市：住,,,,06870000
RPQNMLNKKHKGFHN66DC,瓦窯北段,673.49,非都市：特定農業區 ; 非都市編定：農牧用地,,,,01730002
RPPNMLOJLHKGFHN56CC,福安段,33.99,都市：商,,,,02340000
