鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金沙鎮,土地,陽宅段128地號,135.22,農,,,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,11093,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJKHKGFAW76DA,0.0,0.0,0.0,無,
金寧鄉,土地,后垵段278地號,1259.15,農,,,1140204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7500000,5956,,0.0,0,,RPPNMLRJKHKGFAW86DA,0.0,0.0,0.0,無,001
金寧鄉,土地,北二三劃測段568地號,1000.0,農,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10500000,10500,,0.0,0,,RPRNMLRJKHKGFAW07DA,0.0,0.0,0.0,無,002
金寧鄉,土地,寧劃段492地號,500.0,農,,,1140211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,6000,,0.0,0,,RPPNMLLKKHKGFAW09EA,0.0,0.0,0.0,無,
金寧鄉,土地,寧湖三劃段279地號,587.0,農,,,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5200000,8859,,0.0,0,,RPQNMLMKKHKGFAW56DA,0.0,0.0,0.0,無,003
金城鎮,土地,奎星樓段444地號,99.37,住,,,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8050000,81010,,0.0,0,地清或未辦繼承標售；,RPPNMLNKKHKGFAW66EA,0.0,0.0,0.0,無,
烈嶼鄉,土地,陵水湖測段578地號,787.12,農,,,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1810376,2300,,0.0,0,,RPPNMLOKKHKGFAW76EA,0.0,0.0,0.0,無,
金沙鎮,土地,蔡厝劃測段133地號,1600.01,農,,,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,3125,,0.0,0,,RPQNMLOKKHKGFAW86EA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮環島南路五段１８３號,32.11,都市：其他:自然村專用區,,,1140211,土地1建物1車位0,一層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130621,77.36,2,1,2,有,有,4200000,54292,,0.0,0,,RPRNMLOKKHKGFAW96EA,52.72,0.0,0.0,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉嚨口３０號２樓,43.11,都市：其他:自然村專用區,,,1140215,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131210,104.52,3,2,2,有,無,5820000,55683,,0.0,0,,RPQNMLSKKHKGFAW17DA,75.84,0.0,8.23,有,
金城鎮,房地(土地+建物),金門縣金城鎮珠浦南路７４巷２１號,23.29,住,,,1140213,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),辦公用,鋼筋混凝土造,1000607,56.72,0,0,0,無,無,8000000,141044,,0.0,0,,RPPNMLKLKHKGFAW09EA,39.14,0.0,5.98,無,
金城鎮,房地(土地+建物),金門縣金城鎮庵前４２之１３號三樓,60.53,都市：其他:自然村專用區,,,1140214,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131210,127.64999999999999,3,2,2,有,無,10000000,78339,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOOMLPKKHKGFAW76DA,92.49,0.0,10.92,有,
金寧鄉,土地,寧安五劃段213地號,3939.02,農,,,1140213,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5300000,1346,,0.0,0,,RPPNMLTKKHKGFAW17DA,0.0,0.0,0.0,無,
金湖鎮,土地,中四劃段299地號,1279.0,農,,,1140214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4606000,3601,,0.0,0,,RPPNMLLLKHKGFAW56EA,0.0,0.0,0.0,無,
金寧鄉,土地,鎮西段392-2地號,530.27,農,,,1140218,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000000,18858,,0.0,0,,RPPNMLSKKHKGFAW07DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡１９３號二樓,19.92,都市：其他:自然村專用區,,,1140214,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1031113,36.6,1,1,1,有,有,2400000,65574,,0.0,0,,RPXNMLOKKHKGFAW47DA,29.36,0.0,2.88,無,004
金湖鎮,土地,湖后劃段354地號,1000.0,農,,,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3800000,3800,,0.0,0,,RPQNMLOLKHKGFAW86DA,0.0,0.0,0.0,無,005
金湖鎮,土地,中四劃段278-1地號,331.0,農,,,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1192000,3601,,0.0,0,,RPQNMLLLKHKGFAW66EA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐３４７號,25.72,都市：其他:自然村專用區,,,1140217,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131114,75.25999999999999,2,2,2,有,無,5200000,69094,,0.0,0,,RPWNMLSKKHKGFAW77DA,54.52,0.0,2.74,有,
金沙鎮,土地,鵲山段247-1地號,2295.14,都市：其他:保護區,,,1140224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8000000,3486,,0.0,0,,RPPNMLOLKHKGFAW76DA,0.0,0.0,0.0,無,
金寧鄉,土地,龍潭段377地號,505.01,都市：其他:第二類一般管制區,,,1140225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,606012,1200,,0.0,0,,RPPNMLRLKHKGFAW07DA,0.0,0.0,0.0,無,
金寧鄉,土地,龍潭段458地號,182.69,都市：其他:國家公園區,,,1140225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,219228,1200,,0.0,0,,RPQNMLRLKHKGFAW17DA,0.0,0.0,0.0,無,
金城鎮,土地,延平段105地號,652.92,都市：其他:風景區,,,1140219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4700000,7198,,0.0,0,,RPQNMLNJLHKGFAW66DA,0.0,0.0,0.0,無,
金湖鎮,土地,羅劃測段119地號,125.0,都市：其他:自然村專用區,,,1140218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1875018,15000,,0.0,0,,RPPNMLOLKHKGFAW86EA,0.0,0.0,0.0,無,
金沙鎮,土地,北八劃段75地號,2000.0,農,,,1140213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10400000,5200,,0.0,0,,RPXNMLNKKHKGFAW37DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮柏村路２６５巷１號,52.7,都市：其他:自然村專用區,,,1140211,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131211,114.22,3,2,2,有,無,6800000,59534,,0.0,0,,RPQNMLOJLHKGFAW76DA,91.13,0.0,4.68,有,
金湖鎮,房地(土地+建物),金門縣金湖鎮柏村路２６５巷３號五樓,52.7,都市：其他:自然村專用區,,,1140217,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131211,119.03999999999999,3,2,2,有,無,6800000,57128,,0.0,0,,RPSNMLOJLHKGFAW96DA,91.13,0.0,9.5,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉嚨口３２號３樓,43.11,都市：其他:自然村專用區,,,1140207,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131210,104.52,3,2,2,有,無,5950000,56927,,0.0,0,房屋價金：360萬元整土地價金：235萬元整,RPPNMLPJLHKGFAW76DA,75.84,0.0,8.23,有,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮市港五路１５１號二樓之３,7.31,住,,,1140102,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051123,56.52,1,1,1,有,有,3900000,69002,坡道機械,8.68,0,,RPRNMLMJJHKGFAW09DA,26.97,0.0,5.52,有,006
金城鎮,房地(土地+建物),金門縣金城鎮珠浦西路５０巷７弄２號３樓,28.18,住,,,1140109,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0840727,78.75,3,1,2,有,無,4750000,60317,,0.0,0,,RPPNMLTJJHKGFAW96DA,61.88,0.0,9.4,無,
金城鎮,土地,舊金城段200地號,1168.0,農,,,1140108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,856,,0.0,0,,RPPNMLNKJHKGFAW09DA,0.0,0.0,0.0,無,
金湖鎮,土地,北五劃段572地號,987.0,都市：其他:第二類一般管制區,,,1140106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,4559,,0.0,0,,RPPNMLRJJHKGFAW76DA,0.0,0.0,0.0,無,
金沙鎮,土地,西園測段805地號,531.13,都市：其他:保護區,,,1140107,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1410000,2655,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJJHKGFAW07DA,0.0,0.0,0.0,無,
金沙鎮,土地,山西段306地號,882.3,農,,,1140111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1058760,1200,,0.0,0,,RPQNMLOKJHKGFAW66DA,0.0,0.0,0.0,無,
金寧鄉,土地,北二三劃測段568地號,1000.0,農,,,1140113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8300000,8300,,0.0,0,,RPSPMLRKJHKGFAW37DA,0.0,0.0,0.0,無,002
金沙鎮,土地,榮湖段12地號,1179.43,農,,,1140106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1700000,1441,,0.0,0,,RPPNMLKLJHKGFAW88DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２１１－１０號,32.17,都市：其他:自然村專用區,,,1140115,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091223,71.96,2,1,1,有,有,5800000,80600,,0.0,0,,RPQNMLLLJHKGFAW09DA,58.36,0.0,0.0,有,008
金湖鎮,土地,新頭段208-3地號,4125.48,都市：其他:第二類一般管制區,,,1140107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12000000,2909,,0.0,0,,RPPNMLSJJHKGFAW86DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮武德新莊自強路２８號,72.05,農,,,1140110,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1111219,166.57999999999998,0,0,0,無,無,12500000,75039,一樓平面,0.0,0,屋前及側邊空地專屬1樓使用。土地價金：812萬5000元整建物價金：437萬5000元整,RPSNMLLLJHKGFAW66DA,124.89,0.0,0.0,有,
金湖鎮,房地(土地+建物),金門縣金湖鎮武德新莊自強路２８號２樓,72.36,農,,,1140110,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1111219,166.57,0,0,0,無,無,12500000,75044,,0.0,0,土地價金：812萬5000元整建物價金：437萬5000元整,RPTNMLLLJHKGFAW76DA,112.96,0.0,11.74,有,
金寧鄉,土地,寧北一劃段18-19地號,551.33,都市：其他:國家公園區,,,1140103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1400000,2539,,0.0,0,,RPQOMLSJJHKGFAW07DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉嚨口３０號５樓,43.11,都市：其他:自然村專用區,,,1140116,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131210,104.52,3,2,2,有,無,6680000,63911,,0.0,0,,RPPNMLRKJHKGFAW86DA,75.84,0.0,8.23,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉嚨口３０號４樓,43.11,都市：其他:自然村專用區,,,1140107,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131210,104.52,3,2,2,有,無,5940000,56831,,0.0,0,,RPQNMLRKJHKGFAW96DA,75.84,0.0,8.23,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉中堡１之６號三樓,28.3,都市：其他:自然村專用區,,,1140116,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1111110,83.61,3,2,2,有,有,6200000,74154,,0.0,0,,RPPNMLNJKHKGFAW09DA,59.46,0.0,8.88,有,009
