編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTJJHKGFAX17EA,47,74.36,住家用,鋼筋混凝土加強磚造,67年6月23日,五層,五層 電梯樓梯間,全筆移轉
RPSNMLKLKHKGFAX76DA,34,81.60,住家用,鋼筋混凝土加強磚造,79年12月1日,二層,一層 二層,全筆移轉
RPPNMLOJKHKGFAX66DA,65,82.66,住商用,鋼筋加強,48年12月1日,二層,一層 二層,全筆移轉
RPPNMLKLJHKGFAX98DA,7,193.17,住家用,鋼筋混凝土造,107年1月16日,二層,一層 二層 見其他登記事項 見其他登記事項,全筆移轉
RPPNMLOKJHKGFAX66DA,42,60.42,住家用,鋼筋混凝土加強磚造,72年5月31日,一層,一層,全筆移轉
SPPNMLKLJHKGFAX09DA,7,196.40,住家用,鋼筋混凝土造,107年1月16日,二層,一層 二層 見其他登記事項 見其他登記事項,全筆移轉
RPTNMLMLJHKGFAX96DA,29,51.36,住家用,鋼筋混凝土造,85年2月15日,十層,五層 見其他登記事項,全筆移轉
RPTNMLMLJHKGFAX96DA,29,6.63,住家用,鋼筋混凝土造,85年2月15日,十層,,持分移轉
RPTNMLMLJHKGFAX96DA,29,22.56,避難室、停車空間,鋼筋混凝土造,85年2月15日,十層,,持分移轉
RPQNMLNKKHKGFAX76DA,,4.14,住家用,造,,一層,一層 儲藏室,持分移轉
RPPNMLTKKHKGFAX27DA,43,125.58,住商用,鋼筋混凝土造,71年2月22日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPRNMLLLKHKGFAX86EA,,106.88,住家用,造,22年0月0日,一層,一層,全筆移轉
RPQNMLNJKHKGFAX66DA,47,115.20,住家用,鋼筋混凝土加強磚造,67年6月26日,二層,一層 二層 電梯樓梯間,全筆移轉
RPQNMLPLKHKGFAX07DA,52,128.78,住家用,鋼筋混凝土造,61年9月5日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPQNMLKKJHKGFAX98DA,,37.31,住家用,造,,一層,一層,持分移轉
RPUNMLTJJHKGFAX57DA,34,101.26,住家用,鋼筋混凝土造,80年5月31日,五層,五層 電梯樓梯間,全筆移轉
RPWNMLTJJHKGFAX77DA,42,100.64,住家用,鋼筋混凝土加強磚造,72年6月17日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLKKJHKGFAX88DA,34,90.74,住家用,鋼筋混凝土造,80年5月31日,五層,三層,全筆移轉
RPPNMLKLKIJGFAX09DA,,104.27,集合住宅,鋼筋混凝土造,113年7月15日,四層,一層,全筆移轉
RPPNMLKLKIJGFAX09DA,,42.86,共有部分,鋼筋混凝土造,113年7月15日,四層,,持分移轉
RPTNMLNLKIJGFAX17DA,55,60.06,住家用,筋加強空心磚,59年5月6日,二層,一層 二層,全筆移轉
RPQNMLQLKIJGFAX17DA,1,295.88,住家用,鋼筋混凝土造,112年12月28日,三層,一層 二層 三層 見其他登記事項,全筆移轉
