鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區新生北路二段53之2號9樓,0.0,住,,,1040715,土地0建物1車位0,九層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980916,208.45000000000002,4,2,2,有,有,有,66000,317,,0.0,0,,RPPNMLLJQHKFFCA47CC
中山區,建物,臺北市中山區林森北路538號7樓之4,0.0,商,,,1040721,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,48.120000000000005,2,2,1,有,無,有,26000,540,,0.0,0,,RPQNMLLJQHKFFCA57CC
中山區,建物,臺北市中山區吉林路１２巷２０號３樓,0.0,住,,,1040727,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670905,174.16,4,2,2,有,無,無,30000,172,,0.0,0,,RPRNMLLJQHKFFCA67CC
中山區,建物,臺北市中山區新生北路二段101巷9號,0.0,住,,,1040701,土地0建物0車位0,三層,3,套房(1房1廳1衛),住家用,加強磚造,,12.94,1,0,1,有,無,有,8800,680,,0.0,0,此為分租套房,RPSNMLLJQHKFFCA77CC
中山區,建物,臺北市中山區合江街58巷15號,0.0,住,,,1040703,土地0建物0車位0,一層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0620907,22.41,1,0,1,有,無,有,11000,491,,0.0,0,此為分租套房,RPTNMLLJQHKFFCA87CC
中山區,建物,臺北市中山區吉林路393巷11號四樓,0.0,住,,,1040703,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0610910,16.07,1,0,1,有,無,有,9300,579,,0.0,0,此物件為分租套房,RPUNMLLJQHKFFCA97CC
中山區,建物,臺北市中山區長安東路二段162之1號11樓之1,0.0,商,,,1040731,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0900326,72.42,2,1,1,有,有,有,33000,456,,0.0,0,,RPVNMLLJQHKFFCA08CC
中山區,建物,臺北市中山區中山北路三段55巷6號三樓,0.0,商,,,1040704,土地0建物0車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0681127,24.65,1,0,1,有,有,有,8500,345,,0.0,0,此物件為分租套房,RPWNMLLJQHKFFCA18CC
中山區,建物,臺北市中山區中山北路一段83巷20號五樓之6,0.0,商,,,1040707,土地0建物1車位0,五層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850613,39.650000000000006,1,0,1,有,有,有,14000,353,,0.0,0,,RPXNMLLJQHKFFCA28CC
中山區,建物,臺北市中山區新生北路二段137巷7號,0.0,住,,,1040707,土地0建物1車位0,一層,4,店面(店鋪),,加強磚造,,79.03,1,1,1,有,無,有,23000,291,,0.0,0,,RPOOMLLJQHKFFCA47CC
松山區,建物,臺北市松山區南京東路四段23號6樓之8,0.0,商,,,1040725,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971205,55.870000000000005,2,2,1,有,有,有,28000,501,,0.0,0,含管理費。,RPPNMLLJQHKFFDA57CC
松山區,建物,臺北市松山區八德路二段348號14樓之3,0.0,商,,,1040731,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980123,69.57,1,1,1,有,有,有,40000,575,,0.0,0,,RPQNMLLJQHKFFDA67CC
大同區,建物,臺北市大同區市民大道一段201號13樓之9,0.0,其他,,,1040707,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,92.41,2,2,1,有,有,有,43200,467,,0.0,0,,RPPNMLLJQHKFFBA37CC
大同區,建物,臺北市大同區太原路17號8樓之1,0.0,商,,,1040714,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000418,91.9,2,2,1,有,有,有,45000,490,,0.0,0,含管理費。,RPQNMLLJQHKFFBA47CC
大同區,建物,臺北市大同區酒泉街10巷27號2樓,0.0,商,,,1040720,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010403,157.17,3,2,2,有,有,有,54000,344,,0.0,0,,RPRNMLLJQHKFFBA57CC
大同區,建物,臺北市大同區南京西路25巷32號5樓,0.0,商,,,1040725,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970626,107.86,2,2,1,有,有,有,42000,389,,0.0,0,,RPSNMLLJQHKFFBA67CC
大同區,建物,臺北市大同區市民大道一段201號12樓之8,0.0,其他,,,1040725,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,86.59,2,2,1,有,有,有,55000,635,,0.0,0,含管理費,RPTNMLLJQHKFFBA77CC
大同區,建物,臺北市大同區太原路80號7樓之3,0.0,商,,,1040731,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971211,96.47,2,2,1,有,有,有,40000,415,,0.0,0,,RPUNMLLJQHKFFBA87CC
萬華區,建物,臺北市萬華區西寧南路125號8樓之1,0.0,商,,,1040717,土地0建物1車位0,八層,27,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1010320,182.45,3,1,2,有,有,有,76522,419,,0.0,0,,RPVNMLLJQHKFFBA97CC
大同區,建物,臺北市大同區重慶北路二段196號十樓,0.0,商,,,1040702,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731116,59.67,2,1,1,有,有,有,16000,268,,0.0,0,此租金包含管理費,RPXNMLLJQHKFFBA18CC
士林區,建物,臺北市士林區中山北路六段45號4樓,0.0,住,,,1040721,土地0建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010522,167.72,3,2,2,有,有,有,78000,465,坡道平面,0.0,0,,RPPNMLLJQHKFFEA67CC
北投區,建物,臺北市北投區東陽街411巷11之3號7樓,0.0,住,,,1040725,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881215,123.23,3,2,2,有,有,有,46500,377,,0.0,0,含管理費。,RPQNMLLJQHKFFEA77CC
士林區,建物,臺北市士林區中山北路六段157巷11號11樓之1,0.0,工,,,1040724,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971002,101.18,2,2,1,有,有,有,64000,633,,0.0,0,,RPRNMLLJQHKFFEA87CC
北投區,建物,臺北市北投區文林北路166巷3號六樓,0.0,住,,,1040704,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690813,23.22,1,0,1,有,無,有,11500,495,,0.0,0,此物件為分租套房,RPUNMLLJQHKFFEA18CC
北投區,建物,臺北市北投區文林北路166巷3號六樓,0.0,住,,,1040706,土地0建物0車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690813,23.22,1,0,1,有,無,有,12000,517,,0.0,0,此為分租套房,RPVNMLLJQHKFFEA28CC
士林區,建物,臺北市士林區葫蘆街3號,0.0,住,,,1040707,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601220,75.0,2,1,1,有,無,有,13000,173,,0.0,0,,RPWNMLLJQHKFFEA38CC
北投區,房地(土地+建物),臺北市北投區石牌路一段152號1樓,37.66,住,,,1040711,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0570206,60.94,0,0,0,無,無,無,55000,903,,0.0,0,,RPXNMLLJQHKFFEA48CC
大同區,建物,臺北市大同區承德路3段84號,0.0,商,,,1040707,土地0建物1車位0,見其他登記事項,4,店面(店鋪),見使用執照,鋼筋混凝土造,,357.4,0,0,0,無,無,無,120000,336,,0.0,0,,RPRNMLMJQHKFFBA67CC
松山區,建物,臺北市松山區南京東路四段164號12樓,0.0,商,,,1040801,土地0建物1車位0,十二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0730615,104.66,3,1,1,有,有,有,30000,287,,0.0,0,,RPPNMLMJQHKFFDA67CC
松山區,建物,臺北市松山區南京東路五段48號之1三樓,0.0,住,,,1040801,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0750117,136.83,0,0,1,有,有,無,56818,415,,0.0,0,,RPQNMLMJQHKFFDA77CC
松山區,建物,臺北市松山區饒河街75號,0.0,商,,,1040717,土地0建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040416,95.63,0,0,0,無,無,有,170000,1778,,0.0,0,,RPTNMLMJQHKFFDA08CC
大安區,建物,臺北市大安區敦化南路1段161巷66號1F,0.0,住,,,1040730,土地0建物0車位0,一層,4,店面(店鋪),,加強磚造,,49.97,0,0,0,無,無,無,150000,3002,,0.0,0,,RPQNMLMJQHKFFFA97CC
大安區,建物,臺北市大安區敦化南路1段161巷66號,0.0,住,,,1040724,土地0建物0車位0,一層,4,店面(店鋪),,加強磚造,,49.97,0,0,0,無,無,有,140000,2802,,0.0,0,只租本戶的1/2面積右半部,RPRNMLMJQHKFFFA08CC
大安區,建物,臺北市大安區敦化南路一段294號5樓,0.0,其他,,,1040724,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,39.08,1,1,1,有,有,有,21000,537,,0.0,0,,RPSNMLNJQHKFFFA28CC
大安區,建物,臺北市大安區信義路三段134巷18號4樓,0.0,住,,,1040730,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610908,122.66,3,2,2,有,有,有,31000,253,,0.0,0,,RPTNMLNJQHKFFFA38CC
大安區,建物,臺北市大安區光復南路200巷11號,0.0,商,,,1040724,土地0建物0車位0,一層,6,店面(店鋪),住家用,鋼筋混凝土造,,64.26,0,0,0,無,無,無,128000,1992,,0.0,0,,RPXNMLNJQHKFFFA78CC
文山區,建物,臺北市文山區景福街147之2號,0.0,住,,,1040728,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0781115,67.12,1,0,0,有,無,有,28000,417,,0.0,0,,RPRNMLNJQHKFFAA67CC
中山區,建物,臺北市中山區民生東路二段4號4樓,0.0,住,,,1040520,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730702,97.43,3,2,2,有,有,無,23000,236,,0.0,0,,RPXQMLNJQHKFFCA88DC
北投區,建物,臺北市北投區溫泉路143之10號5樓,18.8,住,,,1040801,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780214,60.1,1,1,1,有,有,有,8000,133,,0.0,0,,RPRNMLNJQHKFFEA18DC
大安區,建物,臺北市大安區敦化南路二段60號二樓,0.0,其他,,,1040723,土地0建物1車位0,二層,21,辦公商業大樓,商業用,鋼筋混凝土造,0710113,104.95,4,1,0,有,有,無,40000,381,,0.0,0,1.租金實拿  2.租賃期限自民國104年8月25日起至民國106年8月24日止,RPRNMLNJQHKFFFA28DC
南港區,建物,臺北市南港區永吉路550巷2號2樓,0.0,商,,,1040729,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,118.2,3,2,2,有,無,有,33000,279,,0.0,0,,RPTNMLNJQHKFFDA18CC
大同區,建物,臺北市大同區市民大道一段205號18樓,0.0,其他,,,1040730,土地0建物1車位0,十八層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,137.03,3,1,2,有,有,有,70000,511,,0.0,0,,RPPOMLNJQHKFFBA67CC
士林區,建物,臺北市士林區忠誠路二段180號5樓,0.0,住,,,1040714,土地0建物1車位0,五層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0841103,291.15,3,2,2,有,有,有,100000,343,,0.0,0,,RPSOMLNJQHKFFEA28CC
士林區,建物,臺北市士林區基河路198號10樓,0.0,住,,,1040713,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840811,121.55,2,2,1,有,有,有,26000,214,,0.0,0,管理費2500元/月,RPTOMLNJQHKFFEA38CC
士林區,建物,臺北市士林區天母東路70號4樓,0.0,住,,,1040721,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780524,124.48,3,1,2,有,有,有,51500,414,,0.0,0,,RPUOMLNJQHKFFEA48CC
內湖區,建物,臺北市內湖區內湖路一段659號10樓之1,0.0,其他,,,1040716,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0991123,84.55000000000001,2,1,1,有,有,有,44318,524,,0.0,0,,RPPPMLNJQHKFFCA87CC
內湖區,建物,臺北市內湖區文德路73號3樓之3,0.0,住,,,1040730,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970729,219.57999999999998,3,1,2,有,有,有,57000,260,坡道平面,35.44,0,,RPSPMLNJQHKFFCA18CC
中山區,建物,臺北市中山區南京東路二段24巷8號8樓,0.0,商,,,1040727,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0931209,54.449999999999996,1,1,1,有,有,有,40000,735,,0.0,0,,RPWPMLNJQHKFFCA58CC
中山區,建物,臺北市中山區中山北路2段32號,0.0,商,,,1040731,土地0建物1車位0,見其他登記事項,4,店面(店鋪),,加強磚造,,201.74,0,0,0,無,無,無,300000,1487,,0.0,0,,RPPQMLNJQHKFFCA97CC
內湖區,建物,臺北市內湖區金龍路222巷12號5樓之3,0.0,住,,,1040706,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821213,64.49000000000001,2,1,2,有,有,有,17500,271,,0.0,0,租金含管理費1760元/月,RPQRMLNJQHKFFCA18CC
內湖區,建物,臺北市內湖區金龍路229號2樓之2,0.0,住,,,1040713,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810822,79.67,2,2,1,有,有,有,20000,251,,0.0,0,管理費2410元/月,RPSRMLNJQHKFFCA38CC
中山區,建物,臺北市中山區新生北路三段56巷19號3樓之5,0.0,商,,,1040729,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981021,75.36,2,1,1,有,有,有,50000,663,,0.0,0,,RPVRMLNJQHKFFCA68CC
內湖區,建物,臺北市內湖區康寧路一段156巷10弄17號4樓3室,0.0,住,,,1040714,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,26.5,1,0,1,有,無,有,9000,340,,0.0,0,,RPWRMLNJQHKFFCA78CC
中山區,建物,臺北市中山區南京東路三段82號,0.0,商,,,1040724,土地0建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0611102,144.33,0,0,0,無,無,有,110000,762,,0.0,0,,RPPSMLNJQHKFFCA18CC
內湖區,房地(土地+建物),臺北市內湖區瑞湖街101號1樓,156.44,工,,,1040720,土地1建物1車位0,一層,7,廠辦,工業用,鋼筋混凝土造,0890718,826.6099999999999,0,0,0,無,有,無,367500,445,,0.0,0,,RPVNMLOJQHKFFCA38CC
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路188巷60號7樓,1420.6,工,,,1040731,土地1建物1車位1,七層,8,廠辦,工業用,鋼筋混凝土造,0890805,218.16,0,0,0,無,有,無,68990,316,坡道平面,24.53,0,,RPWNMLOJQHKFFCA48CC
中山區,建物,臺北市中山區民權東路一段45號10樓之1,0.0,商,,,1040727,土地0建物1車位1,十層,10,辦公商業大樓,商業用,鋼筋混凝土造,0890630,134.37,0,0,0,無,有,無,67000,499,升降機械,0.0,0,,RPUOMLOJQHKFFCA38CC
中山區,建物,臺北市中山區松江路69巷11號,0.0,住,,,1040730,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,1020903,136.55,0,0,1,有,有,無,68000,498,,0.0,0,,RPQPMLOJQHKFFCA08CC
中山區,建物,臺北市中山區大直街94巷1弄23號4樓,0.0,住,,,1040711,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770629,126.87,3,2,2,有,無,無,28000,221,,0.0,0,,RPUPMLOJQHKFFCA48CC
中山區,建物,臺北市中山區林森北路85巷33號二樓之7,0.0,商,,,1040728,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961228,33.75,1,1,1,有,有,有,18775,556,,0.0,0,,RPRQMLOJQHKFFCA28CC
中山區,建物,臺北市中山區建國北路1段41號3樓-2,0.0,商,,,1040714,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960913,121.82,2,2,1,有,有,有,58000,476,,0.0,0,,RPSQMLOJQHKFFCA38CC
士林區,建物,臺北市士林區中山北路六段45號9樓,0.0,住,,,1040714,土地0建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010522,159.45999999999998,2,2,2,有,有,有,85000,533,,0.0,0,,RPVOMLOJQHKFFEA68CC
中正區,建物,臺北市中正區中華路一段77號4樓,0.0,商,,,1040730,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),見使用執照,鋼骨鋼筋混凝土造,0920430,322.88,0,0,0,無,有,無,150000,465,,0.0,0,,RPRNMLOJQHKFFBA87CC
萬華區,建物,臺北市萬華區峨嵋街100號二樓之5,0.0,商,,,1040722,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950126,52.480000000000004,1,1,1,有,有,有,28000,534,,0.0,0,,RPVOMLOJQHKFFBA38CC
大同區,建物,臺北市大同區南京西路80號10F-1,0.0,商,,,1040715,土地0建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,172.16000000000003,3,2,2,有,有,有,90000,523,,0.0,0,,RPPPMLOJQHKFFBA87CC
南港區,建物,臺北市南港區重陽路459號,0.0,其他,,,1040722,土地0建物1車位5,一層,12,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010531,305.78,0,0,0,無,有,有,80000,262,坡道平面,100.99,0,,RPQNMLOJQHKFFDA97CC
南港區,房地(土地+建物),臺北市南港區重陽路263巷3號4樓,468.85,工,,,1040731,土地1建物1車位0,四層,4,廠辦,工業用,鋼筋混凝土造,0770613,420.64,0,0,0,有,無,無,100000,238,,0.0,0,,RPUNMLOJQHKFFDA38CC
松山區,建物,臺北市松山區民生東路四段79號,0.0,商,,,1040731,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0680925,62.79,3,0,0,有,有,有,70000,1115,,0.0,0,,RPVNMLOJQHKFFDA48CC
松山區,建物,臺北市松山區塔悠路288號2樓之1,35.31,住,,,1040721,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960711,134.22,5,1,1,有,有,有,45000,335,,0.0,0,,RPWNMLOJQHKFFDA58CC
南港區,建物,臺北市南港區東新街6之6號,0.0,工,,,1040709,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,79.32,0,1,1,有,無,無,30000,378,,0.0,0,1.租期：自民國104年07月25日起至民國105年07月24日止。2.每月租金：新台幣30000元整是內含10％租賃稅，經雙方同意租賃稅及二代健保補充保費先從每個月應付租金扣除後；再由乙方負責給付扣繳稅款向稅捐稽徵機關辦理申報，出租人每月租金實際上收取新台幣26400元整。,RPPOMLOJQHKFFDA97CC
南港區,建物,臺北市南港區八德路四段931號三樓,0.0,商,,,1040716,土地0建物1車位0,三層,7,辦公商業大樓,商業用,鋼筋混凝土造,0890121,92.99000000000001,0,1,1,有,無,無,28000,301,,0.0,0,1.租期：自民國104年07月20日起至民國105年07月19日止。2.每月租金：新台幣28000元整是內含10％租賃稅，經雙方同意租賃稅及二代健保補充保費先從每個月應付租金扣除後；再由乙方負責給付扣繳稅款向稅捐稽徵機關辦理申報，出租人每月租金實際上收取新台幣24640元整。,RPVOMLOJQHKFFDA58CC
松山區,建物,臺北市松山區民生東路三段116號4樓,0.0,商,,,1040730,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730626,141.74,4,2,2,有,有,有,38000,268,,0.0,0,續租。,RPWOMLOJQHKFFDA68CC
信義區,建物,臺北市信義區松德路178-3號5樓,6853.0,其他,,,1040708,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800309,151.68,0,0,0,無,無,無,46000,303,,0.0,0,,RPXOMLOJQHKFFDA78CC
內湖區,建物,臺北市內湖區洲子街73號5樓,0.0,工,,,1040715,土地0建物2車位0,五層,12,辦公商業大樓,工業用,鋼筋混凝土造,0930601,776.58,0,0,0,無,有,無,293938,379,,0.0,0,,RPQQMLOJQHKFFCA28DC
文山區,建物,臺北市文山區指南路一段１４巷６號４樓,0.0,住,,,1040720,土地0建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881222,153.14,3,2,2,有,有,有,36000,235,升降機械,24.92,0,,RPWNMLOJQHKFFAA28CC
中正區,建物,臺北市中正區惠安街33之2號1樓,24.0,住,,,1040709,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0700422,103.21,2,2,3,有,無,有,20000,194,,0.0,0,,RPROMLOJQHKFFAA87CC
大安區,房地(土地+建物),臺北市大安區仁愛路四段445號1樓,15.68,住,,,1040706,土地1建物1車位0,一層,13,店面(店鋪),商業用,鋼筋混凝土造,0770504,135.12,1,1,1,有,有,無,205357,1520,,0.0,0,,RPQNMLOJQHKFFFA18CC
大安區,建物,臺北市大安區忠孝東路四段26巷86號6樓,0.0,其他,,,1040803,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990212,191.57,3,2,2,有,有,有,90000,470,,0.0,0,續約,RPTNMLOJQHKFFFA48CC
大安區,建物,臺北市大安區羅斯福路三段273號2樓之2,0.0,商,,,1040707,土地0建物1車位0,二層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,0700817,95.16,0,0,0,無,有,無,43182,454,,0.0,0,,RPVNMLOJQHKFFFA68CC
大安區,建物,臺北市大安區延吉街186、188號1樓及184號地下室,0.0,住,,,1040624,土地0建物1車位0,一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,0700123,466.41,0,0,0,無,有,無,220000,472,,0.0,0,,RPOOMLOJQHKFFFA08CC
大安區,建物,臺北市大安區復興南路二段78巷64號,0.0,住,,,1040731,土地0建物1車位0,一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,0700924,319.48999999999995,0,0,0,無,無,有,135000,423,,0.0,0,承租該棟1樓+B1,RPQOMLOJQHKFFFA28CC
大安區,建物,臺北市大安區敦化南路一段252巷19號一樓及地下一層,0.0,住,,,1040626,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0821028,143.73,0,0,0,無,有,無,189000,1315,,0.0,0,,RPTOMLOJQHKFFFA58CC
大安區,建物,臺北市大安區安和路一段４９巷１１號１樓分割之２號店面,0.0,住,,,1040730,土地0建物0車位1,一層,7,店面(店鋪),住家用,鋼筋混凝土造,,101.82,0,1,0,有,無,無,66000,648,坡道平面,35.82,0,,RPVOMLOJQHKFFFA78CC
