鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
士林區,租賃房屋,臺北市士林區磺溪街４５號２樓,0.0,,,,1130812,土地0建物0車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860721,15.9,4,2,2,有,無,有,8400,528,,0.0,0,,RPTNMLMKQHJGFEA28CC,分租雅房,無,1130812~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般轉租
中山區,租賃房屋,臺北市中山區農安街３４號５樓之１６,0.0,,,,1130813,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680412,36.86,1,0,1,有,有,有,18000,488,,0.0,0,續租案件；,RPWPMLNKQHJGFCA68CC,獨立套房,有,1130905~1140831,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
松山區,租賃房屋,臺北市松山區民生東路五段１７５號１０樓之５,0.0,,,,1130812,土地0建物1車位0,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720915,91.27000000000001,2,2,2,有,有,無,38000,416,,0.0,0,,RPQNMLNKQHJGFDA97CC,整棟(戶)出租,有,1130903~1140902,有,冷氣、熱水器、瓦斯或天然氣,
文山區,租賃房屋,臺北市文山區羅斯福路五段２１８巷６弄１４號３樓,0.0,,,,1130812,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720510,73.38,2,2,1,有,無,有,30000,409,,0.0,0,,RPQNMLOKQHJGFAA77CC,整棟(戶)出租,無,1130815~1140814,無,冷氣、熱水器,社會住宅代管
中正區,租賃房屋,臺北市中正區中華路二段５５號,0.0,,,,1130812,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0620727,21.09,8,2,6,有,無,有,15500,735,,0.0,0,,RPXNMLOKQHJGFAA48CC,分租套房,無,1130812~1140811,無,冷氣、熱水器、電視機、冰箱,一般代管
文山區,租賃房屋,臺北市文山區辛亥路七段８４巷５號７樓之５,0.0,,,,1130812,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0891025,111.65,3,2,1,有,有,無,30000,269,,0.0,0,,RPOOMLOKQHJGFAA67CC,整棟(戶)出租,有,1130820~1140819,有,,社會住宅包租轉租
萬華區,租賃房屋,臺北市萬華區昆明街１１１號３樓之１４,0.0,,,,1130813,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0920122,29.53,1,0,1,有,有,有,15500,525,,0.0,0,,RPPNMLOKQHJGFBA77CC,獨立套房,有,1130814~1140830,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
大同區,租賃房屋,臺北市大同區長安西路１５０號７樓,0.0,商,,,1130813,土地1建物1車位0,七層,14,辦公商業大樓,一般事務所,鋼筋混凝土造,0951014,213.51999999999998,0,0,0,無,有,無,103600,485,,0.0,0,,RPSOMLOKQHJGFBA18CC,,有,1130903~1150902,有,冷氣,
大同區,租賃房屋,臺北市大同區重慶北路二段５號,0.0,,,,1130812,土地0建物0車位0,全,4,透天厝,住商用,加強磚造,0460824,19.77,8,1,7,有,無,有,15000,759,,0.0,0,本案為分租套房，本間為402室，租金包含水、網路第四台及垃圾處理費等其他費用。租金總額含水費；網路費；其他垃圾處理費；,RPVOMLOKQHJGFBA48CC,分租套房,無,1130820~1140819,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
