year,district,cat_count,dog_count,cat_dog_ratio,house_count,IV_highrise,IV3_single,IV_elder,total_pop,IV4_rental,IV_edu,log_IV4_rental
2015,中山區,365,591,0.6175972927241963,493,0.45840000000000003,0.4246424753413881,0.152851,231350,1666,0.524094,7.418180822726788
2016,中山區,426,537,0.7932960893854749,454,0.4808,0.4290705379194025,0.161503,231247,1744,0.533601,7.463936604468925
2017,中山區,452,551,0.8203266787658802,455,0.4442,0.433583109665446,0.170474,230710,1685,0.522898,7.429520842786462
2018,中山區,517,648,0.7978395061728395,536,0.48019999999999996,0.4372132827815426,0.179424,229456,1729,0.531821,7.455298485683291
2019,中山區,653,632,1.0332278481012658,497,0.45630000000000004,0.4438654995136862,0.18943,227387,1908,0.53967,7.553810852008231
2020,中山區,749,704,1.0639204545454546,556,0.6101,0.452395126403937,0.200298,223876,2095,0.546353,7.647308832356238
2021,中山區,856,730,1.1726027397260277,573,0.7496,0.4654107008289374,0.20948,215567,2030,0.549368,7.615791072035833
2022,中山區,1012,699,1.447782546494993,421,0.7634000000000001,0.4715781224883459,0.219585,212669,2205,0.557135,7.6984827878809465
2023,中山區,884,596,1.483221476510067,161,0.742,0.4702519312752846,0.230843,216346,2352,0.566342,7.763021309018518
2024,中山區,1026,568,1.806338028169014,145,0.7745,0.478776939602319,0.24146,215245,2769,0.573251,7.926241523170962
2025,中山區,1211,512,2.365234375,133,0.7439,0.4985557648649954,0.252187,212152,3618,0.578647,8.193676665955241
2015,中正區,242,360,0.6722222222222223,277,0.4347,0.3557304988436385,0.157593,162475,421,0.572716,6.042632833682381
2016,中正區,253,356,0.7106741573033708,309,0.3782,0.3620708228812385,0.164648,160403,474,0.582587,6.161207321695077
2017,中正區,258,302,0.8543046357615894,259,0.5061,0.3660870633774692,0.171414,159608,456,0.565628,6.1224928095143865
2018,中正區,315,327,0.963302752293578,262,0.3782,0.3707861736088836,0.177874,159000,498,0.576255,6.210600077024653
2019,中正區,377,354,1.0649717514124293,281,0.4802,0.3776643422511888,0.184427,158014,543,0.585504,6.297109319933935
2020,中正區,413,385,1.0727272727272728,319,0.603,0.3856758523202261,0.191979,155397,642,0.593838,6.464588303689961
2021,中正區,538,349,1.5415472779369628,280,0.7414,0.3972830095893779,0.198441,150644,626,0.597894,6.439350371100098
2022,中正區,610,386,1.5803108808290156,248,0.7028000000000001,0.4036651960633079,0.206026,148103,701,0.606781,6.55250788703459
2023,中正區,555,397,1.397984886649874,79,0.638,0.4020928352426133,0.217136,150155,1094,0.618356,6.9975959829819265
2024,中正區,538,305,1.7639344262295082,80,0.6791,0.4103970503092909,0.226757,148375,1231,0.623763,7.115582126184454
2025,中正區,633,281,2.252669039145907,63,0.6758,0.4301586819066147,0.237563,144109,1497,0.629458,7.311218384419629
2015,信義區,400,566,0.7067137809187279,462,0.40700000000000003,0.3592736126157317,0.159717,229211,751,0.526382,6.621405651764134
2016,信義區,493,621,0.7938808373590982,534,0.3634,0.3642110436025733,0.168403,227823,770,0.534707,6.646390514847729
2017,信義區,546,581,0.9397590361445785,474,0.3673,0.369319515712513,0.177172,225753,703,0.520456,6.555356891810665
2018,信義區,554,544,1.0183823529411764,468,0.40090000000000003,0.3751004823151125,0.186307,223406,760,0.529431,6.633318433280377
2019,信義區,628,588,1.0680272108843538,465,0.4022,0.3821703779092525,0.195859,220021,734,0.537509,6.598509028614515
2020,信義區,633,642,0.985981308411215,506,0.4158,0.3906776993299455,0.206463,215240,705,0.542635,6.558197802812269
2021,信義區,782,611,1.2798690671031097,486,0.5571,0.403579275720352,0.217205,207500,641,0.545573,6.46302945692067
2022,信義區,885,571,1.5499124343257442,370,0.5484,0.412774178883964,0.227456,203780,809,0.552222,6.695798917058491
2023,信義區,837,482,1.7365145228215768,139,0.494,0.4139142106146188,0.239066,206759,879,0.561917,6.778784897685177
