編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLTKKHJFFBC28CC,港濱段,.00,都市：其他:港埠用地,,,,14000000
RPOOMLLKKHJFFBC07DC,南新段,77.00,都市：商,,,,04990000
RPPNMLPLKHJFFCC67DC,源遠段,.00,都市：住,,,,13710000
RPSNMLRLKHJFFCC18DC,麥金段,.00,都市：住,,,,07510000
RPPOMLNJLHJFFCC47DC,五堵段五堵北小段,35.48,都市：住,,,,09030000
RPTOMLPJLHJFFCC08DC,武嶺段,.00,都市：住,,,,07720000
RPRNMLPLLHJFFCC87CC,五堵段五堵北小段,.00,都市：住,,,,07070000
RPUNMLTKLHJFFCC58DC,榮華段,23.98,都市：住,,,,10510000
RPUWMLMJMHJFFBC68DC,長潭段,9.81,都市：商,,,,06340000
RPUNMLSLLHJFFBC48DC,延平段,40.00,都市：商,,,,00850000
RPUNMLSLLHJFFBC48DC,延平段,15.00,都市：商,,,,00860000
RPWNMLRKMHJFFBC58DC,長潭段,.55,都市：住,,,,08450000
RPWNMLRKMHJFFBC58DC,長潭段,5.52,都市：住,,,,08450003
RPQNMLPLMHJFFBC87DC,福祿段,.00,都市：商,,,,03420000
RPPNMLKMMHJFFBC37DC,新店段二小段,.00,都市：商,,,,01130000
RPPNMLKMMHJFFBC37DC,新店段二小段,.00,都市：商,,,,01180000
RPQOMLMJMHJFFCC47CC,台五線段,.00,都市：其他:乙種用地,,,,03670000
RPUPMLLLMHJFFCC08CC,暖暖段東勢坑小段,.00,都市：住,,,,08500000
RPUOMLOKMHJFFCC18CC,台五線段,1405.00,都市：工,,,,03670000
RPTPMLRJMHJFFCC38CC,麥金段,.00,都市：住,,,,07510000
RPQNMLLKMHJFFCC47DC,武嶺段,.00,都市：住,,,,03930000
RPQNMLLKMHJFFCC47DC,武嶺段,.00,都市：其他:保護區,,,,03930001
RPQNMLLKMHJFFCC47DC,武嶺段,.00,都市：其他:道路用地,,,,03930002
RPQNMLLKMHJFFCC47DC,武嶺段,.00,都市：住,,,,03930003
RPTOMLNLMHJFFCC18DC,長安段,59.95,都市：其他:保護區,,,,00320001
RPTOMLNLMHJFFCC18DC,長安段,115.36,都市：住,,,,00640000
