編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLLKKHJFFAE47CA,18,87.25,商業用,鋼筋混凝土造,84年10月11日,十六層,一層 陽台 平台 夾層
RPVNMLLKKHJFFAE47CA,18,39.35,見使用執照,鋼筋混凝土造,84年10月11日,十六層,
RPQNMLSKKHJFFAE67CA,8,84.83,住家用,鋼筋混凝土造,95年3月27日,十三層,十三層 陽台 雨遮
RPQNMLSKKHJFFAE67CA,8,63.22,共有部份,鋼筋混凝土造,95年3月27日,十三層,
RPXPMLPJKHJFFBE28CA,32,6.03,,鋼筋混凝土造,70年12月4日,十二層,
RPXPMLPJKHJFFBE28CA,32,29.34,,鋼筋混凝土造,70年12月4日,十二層,六層 陽台
RPOQMLPJKHJFFBE47CA,32,26.28,,鋼筋混凝土造,70年12月4日,十二層,十層 陽台
RPOQMLPJKHJFFBE47CA,32,5.39,,鋼筋混凝土造,70年12月4日,十二層,
RPPQMLPJKHJFFBE57CA,32,29.28,,鋼筋混凝土造,70年12月4日,十二層,十層 陽台
RPPQMLPJKHJFFBE57CA,32,28.30,,鋼筋混凝土造,70年12月4日,十二層,十層
RPPQMLPJKHJFFBE57CA,32,6.03,,鋼筋混凝土造,70年12月4日,十二層,
RPPQMLPJKHJFFBE57CA,32,6.03,,鋼筋混凝土造,70年12月4日,十二層,
RPROMLQJKHJFFBE67CA,28,65.22,,鋼筋混凝土造,74年8月19日,五層,三層 陽台 花台
RPROMLQJKHJFFBE67CA,28,8.99,,鋼筋混凝土造,74年8月19日,五層,
RPWPMLRJKHJFFBE38CA,10,67.45,住家用,鋼筋混凝土造,93年3月3日,十四層,五層 陽台 雨遮
RPUOMLQJKHJFFBE97CA,43,87.83,,加強磚造,60年3月15日,二層,一層 二層 騎樓
RPWPMLRJKHJFFBE38CA,10,37.08,停車空間、戲水池、機械室、防空避難室,鋼筋混凝土造,93年3月3日,十四層,
RPWNMLRJKHJFFCE28CA,1,158.79,住家用,鋼筋混凝土造,102年5月3日,四層,一層 二層 三層 四層 陽台 雨遮 見其他登記事項
RPROMLQJKHJFFCE77CA,42,90.82,住家用,加強磚造,61年2月10日,二層,一層 二層 騎樓
RPXNMLRJKHJFFCE38CA,1,157.29,住家用,鋼筋混凝土造,102年5月3日,四層,一層 二層 三層 四層 陽台 雨遮 見其他登記事項
RPVNMLNKKHJFFCE87CA,21,74.64,住家用,鋼筋混凝土造,81年7月24日,十一層,十層 陽台
RPVNMLNKKHJFFCE87CA,21,19.37,見使用執照,鋼筋混凝土造,81年7月24日,十一層,
RPPNMLQKKHJFFCE57CA,,68.98,住家用,鋼筋混凝土造,102年10月4日,十五層,二層 陽台 雨遮
RPPNMLQKKHJFFCE57CA,,40.65,本共有部分之項目有防空避難室兼停車空間、樓梯間、公共服務空間、頂蓋型開放空間、門廊、車道、機械室及水箱等８項。,鋼筋混凝土造,102年10月4日,十五層,
RPSNMLQJKHJFFAE57CA,1,122.82,住家用,鋼筋混凝土造,102年3月1日,二十七層,十二層 陽台 雨遮
RPSNMLQJKHJFFAE57CA,1,82.45,本共有部分之項目有樓梯間、避難室兼停車空間、廣場式頂蓋型開放空間、公共服務空間、機械室、水箱、梯廳、車道、管委會使用空間、環保室、卸貨空間等１１項。,鋼筋混凝土造,102年3月1日,二十七層,
RPRNMLQJKHJFFAE47CA,1,147.73,住家用,鋼筋混凝土造,102年3月1日,二十七層,八層 陽台 雨遮
RPRNMLQJKHJFFAE47CA,1,96.33,本共有部分之項目有樓梯間、避難室兼停車空間、廣場式頂蓋型開放空間、公共服務空間、機械室、水箱、梯廳、車道、管委會使用空間、環保室、卸貨空間等１１項。,鋼筋混凝土造,102年3月1日,二十七層,
RPTNMLQJKHJFFAE67CA,1,153.93,住家用,鋼筋混凝土造,102年3月1日,二十七層,十一層 陽台 雨遮
RPTNMLQJKHJFFAE67CA,1,117.48,本共有部分之項目有樓梯間、避難室兼停車空間、廣場式頂蓋型開放空間、公共服務空間、機械室、水箱、梯廳、車道、管委會使用空間、環保室、卸貨空間等１１項。,鋼筋混凝土造,102年3月1日,二十七層,
RPUNMLQJKHJFFAE77CA,1,125.70,住家用,鋼筋混凝土造,102年3月1日,二十七層,三層 陽台 雨遮
RPUNMLQJKHJFFAE77CA,1,85.01,本共有部分之項目有樓梯間、避難室兼停車空間、廣場式頂蓋型開放空間、公共服務空間、機械室、水箱、梯廳、車道、管委會使用空間、環保室、卸貨空間等１１項。,鋼筋混凝土造,102年3月1日,二十七層,
RPXNMLSKKHJFFBE48CA,31,93.40,,鋼筋混凝土造,71年9月25日,十二層,七層 陽台
