鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５２５巷３１號５樓之３,12.38,住,,,1030119,土地1建物1車位0,五層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800418,41.980000000000004,1,1,1,有,無,1680000,40019,,0.0,0,,RPTQMLQJKHJFFAO98CA,28.85,0.0,4.25,,
新竹市,房地(土地+建物),新竹市新竹市東大路4段277巷15弄10號4樓,34.04,住,,,1030104,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0720421,74.5,3,2,1,有,無,1900000,25503,,0.0,0,,RPSPMLRJKHJFFAO88CA,74.5,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市和平路１５９巷３２號,74.0,,鄉村區,乙種建築用地,1021115,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0650105,117.3,3,2,2,有,無,7000000,59676,,0.0,0,,RPQNMLSJKHJFFAO58CA,117.3,0.0,0.0,,
新竹市,土地,光復段339地號,30.0,工,,,1030120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1678700,55957,,0.0,0,急買急賣。,RPVNMLSJKHJFFAO09CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市武陵路２７１巷２２弄２５號,26.36,住,,,1021105,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,99.35000000000001,4,2,2,有,無,3000000,30196,,0.0,0,,RPUQMLLKKHJFFAO68CA,81.66,9.6,0.0,,
新竹市,土地,香雅段799地號,58.25,,鄉村區,乙種建築用地,1030115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1850300,31765,,0.0,0,,RPPOMLMKKHJFFAO08CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市富群街３５號,134.57,,山坡地保育區,丙種建築用地,1030113,土地6建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960709,321.89000000000004,4,2,3,有,有,8500000,26407,,0.0,0,,RPSOMLMKKHJFFAO38CA,258.47,6.01,27.74,,
新竹市,房地(土地+建物),新竹市新竹市中山路６５０之３號３Ｆ,20.64,其他,,,1030113,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821125,114.06,3,2,2,有,有,3710000,32527,,0.0,0,,RPXOMLMKKHJFFAO88CA,72.12,2.08,14.38,,
新竹市,土地,東橋段588-1地號,29.15,住,,,1021224,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3677468,126157,,0.0,0,向政府機關承購之案件。,RPQNMLNKKHJFFAO18CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路１９巷６０號八樓,16.09,其他,,,1021231,土地3建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971022,145.89999999999998,3,2,2,有,有,10800000,74028,坡道平面,0.0,0,,RPRNMLLKKHJFFAO08CA,75.03,0.0,8.54,,
新竹市,房地(土地+建物),新竹市新竹市林森路１９６號１２樓之５,6.81,商,,,1030107,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841120,107.17,2,2,1,有,有,6680000,62331,,0.0,0,,RPQOMLNKKHJFFAO28CA,65.76,0.0,9.82,,
新竹市,房地(土地+建物)+車位,新竹市新竹市東華路12巷7號5F,13.55,住,,,1030116,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830713,127.39,3,2,2,有,有,4800000,37680,坡道平面,0.0,0,,RPWQMLNKKHJFFAO09CA,88.41,0.0,8.56,,
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路四段290號四樓之1,25.82,住,,,1030103,土地1建物2車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990625,171.99,3,2,2,有,有,5600000,32560,坡道平面,0.0,0,,RPUOMLOLKHJFFAO88CA,85.12,2.24,12.19,,
新竹市,房地(土地+建物)+車位,新竹市新竹市明湖路１２００巷４７號7樓之15,17.0,,山坡地保育區,丙種建築用地,1021226,土地5建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970522,94.9,1,1,1,有,有,2800000,29505,坡道平面,24.94,0,,RPXNMLPLKHJFFAO56CA,25.38,0.0,5.13,,
新竹市,房地(土地+建物)+車位,新竹市新竹市關東路２５１號５樓,25.0,住,,,1030124,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830504,146.43,4,2,2,有,有,8200000,55999,坡道機械,0.0,0,權利人共2人,RPPPMLPLKHJFFAO58CA,100.16,0.0,10.4,,
新竹市,房地(土地+建物)+車位,新竹市新竹市慈祥路８８號八樓之３,16.4,住,,,1021201,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000324,142.55,3,2,2,有,有,10000000,70151,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLMJLHJFFAO48CA,71.43,1.97,9.34,,
新竹市,房地(土地+建物),新竹市新竹市北大路２９號５樓之３,11.35,商,,,1030115,土地3建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841223,131.32,3,2,2,有,無,5300000,40359,,0.0,0,,RPOQMLOKKHJFFAO58EA,81.75,0.0,23.0,,
新竹市,房地(土地+建物),新竹市新竹市東大路二段１７３巷１３弄１２號５樓,24.3,住,,,1030111,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,102.0,3,3,1,有,無,2700000,26471,,0.0,0,,RPXRMLRJKHJFFAO07DA,84.4,0.0,6.8,,
新竹市,房地(土地+建物),新竹市新竹市南大路８０８巷８弄１４號,66.44,住,,,1030109,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680601,81.0,8,1,6,有,無,7610000,93951,,0.0,0,,RPPSMLRJKHJFFAO98DA,81.0,0.0,0.0,,
新竹市,土地,南門段二小段108-1地號,15.5,商,,,1021011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2344379,151250,,0.0,0,,RPSNMLSJKHJFFAO88DA,0.0,0.0,0.0,,
新竹市,土地,南門段二小段108地號,9.5,商,,,1021011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1436874,151250,,0.0,0,,RPTNMLSJKHJFFAO98DA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市成功路65巷24號4樓之4,10.25,住,,,1030102,土地2建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850729,43.34,1,1,1,有,有,1150000,26534,,0.0,0,,RPPTMLLKKHJFFAO58DA,24.98,0.0,3.43,,
