編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLQLOHJFFCC58CB,暖暖段暖暖小段,42.58,都市：住,100000,2685,持分移轉,04170000
RPQOMLQLOHJFFCC18CB,暖暖段暖暖小段,42.60,都市：住,100000,2686,持分移轉,04170000
RPPOMLQLOHJFFCC08CB,暖暖段暖暖小段,36.70,都市：住,100000,2314,持分移轉,04170000
RPXNMLQLOHJFFCC78CB,暖暖段暖暖小段,42.60,都市：住,100000,2686,持分移轉,04170000
RPWNMLQLOHJFFCC68CB,暖暖段暖暖小段,42.60,都市：住,100000,2686,持分移轉,04170000
RPROMLQLOHJFFCC28CB,暖暖段暖暖小段,42.60,都市：住,100000,2686,持分移轉,04170000
RPTOMLQLOHJFFCC48CB,暖暖段暖暖小段,36.72,都市：住,100000,2315,持分移轉,04170000
RPOOMLQLOHJFFCC97CB,暖暖段暖暖小段,36.70,都市：住,100000,2314,持分移轉,04170000
RPUOMLQLOHJFFCC58CB,暖暖段暖暖小段,36.76,都市：住,100000,2318,持分移轉,04170000
RPSOMLQLOHJFFCC38CB,暖暖段暖暖小段,42.58,都市：住,100000,2685,持分移轉,04170000
RPVOMLQLOHJFFCC68CB,暖暖段暖暖小段,36.72,都市：住,100000,2315,持分移轉,04170000
RPQPMLQLOHJFFCC28CB,暖暖段暖暖小段,43.16,都市：住,100000,1481,持分移轉,04000000
RPWOMLQLOHJFFCC78CB,暖暖段暖暖小段,36.72,都市：住,100000,2315,持分移轉,04170000
RPTPMLQLOHJFFCC58CB,暖暖段暖暖小段,35.17,都市：住,100000,1207,持分移轉,04000000
RPXOMLQLOHJFFCC88CB,暖暖段暖暖小段,42.81,都市：住,100000,1469,持分移轉,04000000
RPOPMLQLOHJFFCC08CB,暖暖段暖暖小段,42.57,都市：住,100000,1461,持分移轉,04000000
RPPPMLQLOHJFFCC18CB,暖暖段暖暖小段,43.13,都市：住,100000,1480,持分移轉,04000000
RPRPMLQLOHJFFCC38CB,暖暖段暖暖小段,34.12,都市：住,100000,1171,持分移轉,04000000
RPUPMLQLOHJFFCC68CB,暖暖段暖暖小段,34.91,都市：住,100000,1198,持分移轉,04000000
RPSPMLQLOHJFFCC48CB,暖暖段暖暖小段,35.17,都市：住,100000,1207,持分移轉,04000000
RPVPMLQLOHJFFCC78CB,暖暖段暖暖小段,35.17,都市：住,100000,1207,持分移轉,04000000
RPPQMLQLOHJFFCC28CB,暖暖段暖暖小段,43.30,都市：住,100000,1486,持分移轉,04000000
RPXPMLQLOHJFFCC98CB,暖暖段暖暖小段,34.91,都市：住,100000,1198,持分移轉,04000000
RPWPMLQLOHJFFCC88CB,暖暖段暖暖小段,34.91,都市：住,100000,1198,持分移轉,04000000
RPOQMLQLOHJFFCC18CB,暖暖段暖暖小段,34.91,都市：住,100000,1198,持分移轉,04000000
RPQQMLQLOHJFFCC38CB,暖暖段暖暖小段,43.30,都市：住,100000,1486,持分移轉,04000000
RPPRMLQLOHJFFCC38CB,暖暖段暖暖小段,34.12,都市：住,100000,1171,持分移轉,04000000
RPUQMLQLOHJFFCC78CB,暖暖段暖暖小段,43.27,都市：住,100000,1485,持分移轉,04000000
RPORMLQLOHJFFCC28CB,暖暖段暖暖小段,34.47,都市：住,100000,1183,持分移轉,04000000
RPWQMLQLOHJFFCC98CB,暖暖段暖暖小段,43.27,都市：住,100000,1485,持分移轉,04000000
RPTQMLQLOHJFFCC68CB,暖暖段暖暖小段,42.57,都市：住,100000,1461,持分移轉,04000000
RPVQMLQLOHJFFCC88CB,暖暖段暖暖小段,43.13,都市：住,100000,1480,持分移轉,04000000
RPRQMLQLOHJFFCC48CB,暖暖段暖暖小段,43.30,都市：住,100000,1486,持分移轉,04000000
RPSQMLQLOHJFFCC58CB,暖暖段暖暖小段,35.17,都市：住,100000,1207,持分移轉,04000000
RPXQMLQLOHJFFCC09CB,暖暖段暖暖小段,43.13,都市：住,100000,1480,持分移轉,04000000
RPRRMLQLOHJFFCC58CB,暖暖段暖暖小段,34.53,都市：住,100000,1185,持分移轉,04000000
RPURMLQLOHJFFCC88CB,暖暖段暖暖小段,34.18,都市：住,100000,1173,持分移轉,04000000
RPQRMLQLOHJFFCC48CB,暖暖段暖暖小段,34.91,都市：住,100000,1198,持分移轉,04000000
RPTRMLQLOHJFFCC78CB,暖暖段暖暖小段,34.18,都市：住,100000,1173,持分移轉,04000000
RPVRMLQLOHJFFCC98CB,暖暖段暖暖小段,34.18,都市：住,100000,1173,持分移轉,04000000
RPSRMLQLOHJFFCC68CB,暖暖段暖暖小段,34.53,都市：住,100000,1185,持分移轉,04000000
RPWRMLQLOHJFFCC09CB,暖暖段暖暖小段,34.53,都市：住,100000,1185,持分移轉,04000000
RPXRMLQLOHJFFCC56CB,暖暖段暖暖小段,34.91,都市：住,100000,1198,持分移轉,04000000
RPSSMLQLOHJFFCC78CB,暖暖段暖暖小段,34.21,都市：住,100000,1174,持分移轉,04000000
RPUSMLQLOHJFFCC98CB,暖暖段暖暖小段,34.53,都市：住,100000,1185,持分移轉,04000000
RPPSMLQLOHJFFCC48CB,暖暖段暖暖小段,34.18,都市：住,100000,1173,持分移轉,04000000
RPRSMLQLOHJFFCC68CB,暖暖段暖暖小段,34.21,都市：住,100000,1174,持分移轉,04000000
RPWSMLQLOHJFFCC56CB,暖暖段暖暖小段,34.18,都市：住,100000,1173,持分移轉,04000000
RPXSMLQLOHJFFCC66CB,暖暖段暖暖小段,34.18,都市：住,100000,1173,持分移轉,04000000
RPOSMLQLOHJFFCC38CB,暖暖段暖暖小段,34.91,都市：住,100000,1198,持分移轉,04000000
RPTSMLQLOHJFFCC88CB,暖暖段暖暖小段,34.18,都市：住,100000,1173,持分移轉,04000000
RPQSMLQLOHJFFCC58CB,暖暖段暖暖小段,34.53,都市：住,100000,1185,持分移轉,04000000
RPVSMLQLOHJFFCC09CB,暖暖段暖暖小段,34.53,都市：住,100000,1185,持分移轉,04000000
RPXNMLTLPHJFFCC56CB,源遠段,9.39,都市：住,100000,556,持分移轉,00350000
RPXNMLTLPHJFFCC56CB,源遠段,8.55,都市：住,100000,556,持分移轉,00430000
RPXNMLTLPHJFFCC56CB,源遠段,1.52,都市：住,100000,556,持分移轉,00460000
RPTNMLTLPHJFFCC78CB,源遠段,9.26,都市：住,100000,548,持分移轉,00350000
RPTNMLTLPHJFFCC78CB,源遠段,8.42,都市：住,100000,548,持分移轉,00430000
RPTNMLTLPHJFFCC78CB,源遠段,1.50,都市：住,100000,548,持分移轉,00460000
RPOOMLTLPHJFFCC38CB,源遠段,9.39,都市：住,100000,556,持分移轉,00350000
RPOOMLTLPHJFFCC38CB,源遠段,8.55,都市：住,100000,556,持分移轉,00430000
RPOOMLTLPHJFFCC38CB,源遠段,1.52,都市：住,100000,556,持分移轉,00460000
RPWNMLTLPHJFFCC09CB,源遠段,9.12,都市：住,100000,540,持分移轉,00350000
RPWNMLTLPHJFFCC09CB,源遠段,8.30,都市：住,100000,540,持分移轉,00430000
RPWNMLTLPHJFFCC09CB,源遠段,1.48,都市：住,100000,540,持分移轉,00460000
RPPOMLTLPHJFFCC48CB,源遠段,9.39,都市：住,100000,556,持分移轉,00350000
RPPOMLTLPHJFFCC48CB,源遠段,8.55,都市：住,100000,556,持分移轉,00430000
RPPOMLTLPHJFFCC48CB,源遠段,1.52,都市：住,100000,556,持分移轉,00460000
RPVOMLTLPHJFFCC09CB,源遠段,9.36,都市：住,100000,554,持分移轉,00350000
