編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLQJNHJFFAG28CC,信義段,.00,都市：商,,,,03370000
RPSNMLMJNHJFFAG87CC,信義段,.00,都市：商,,,,07670000
RPOPMLLJNHJFFAG57CC,中華段,.00,都市：商,,,,12220000
RPVOMLNKNHJFFBG68DC,永興段,.00,都市：住,,,,01510000
RPUNMLOKNHJFFAG58EC,中華段,.00,都市：商,,,,10350000
RPUNMLMJNHJFFAG08CC,五結段,.00,都市：工,,,,07670008
RPWNMLNKNHJFFBG78EC,延平段,.00,都市：農,,,,08300004
RPQNMLMJNHJFFAG67CC,東光段,.00,都市：商,,,,05920000
RPRNMLQJNHJFFBG28CC,黎明段,.00,都市：住,,,,01510000
RPVNMLSJNHJFFBG88CC,古結段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,17510000
RPVNMLKMNHJFFAG28CC,北成一段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,04160000
RPVNMLPKNHJFFAG58CC,維揚段,.00,都市：住,,,,09400000
RPWNMLKMNHJFFAG38CC,季新段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04110000
RPPPMLMLNHJFFAG18EC,隆昌段,22.35,都市：住,,,,07570000
RPPOMLSLNHJFFAG68EC,東安段,.00,都市：住,,,,05550000
RPRPMLQKNHJFFBG58CC,艮門三段,.00,都市：住,,,,03830000
RPPQMLOJOHJFFAG18CC,興東段,.00,都市：商,,,,02710000
RPOPMLPJOHJFFAG28EC,福德段,.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,06130000
RPQOMLQLNHJFFAG58EC,義成八段,.00,都市：其他:道路用地,,,,09950000
RPQOMLQLNHJFFAG58EC,義成八段,.00,都市：其他:道路用地,,,,09960000
RPQOMLQLNHJFFAG58EC,義成八段,.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,09970000
RPQOMLQLNHJFFAG58EC,義成八段,.00,都市：農,,,,09980000
RPPOMLPJOHJFFBG28DC,協天段,.00,都市：住,,,,08600000
RPUNMLKMNHJFFAG18CC,羅莊段,.00,都市：住,,,,00520000
RPXNMLNKOHJFFBG78CC,五峰段,11.39,都市：住,,,,03450000
RPOPMLTJOHJFFAG68EC,中華段,.00,都市：商,,,,12280000
RPPNMLLLOHJFFBG87CC,壯一段,.00,都市：工,,,,01140025
RPQPMLTJOHJFFBG88DC,宜商段,.00,都市：住,,,,03880000
RPXPMLNLOHJFFBG09CC,壯一段,.00,都市：住,,,,00240003
RPTNMLKKOHJFFBG28EC,新竹安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04680000
RPVNMLNLNHJFFBG78EC,五峰段,.00,都市：住,,,,00370000
RPTNMLKKOHJFFBG28EC,新竹安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04690000
RPTNMLQLOHJFFAG88EC,南昌段,22.35,都市：住,,,,06240000
RPXNMLTKOHJFFAG86EC,北成一段,68.18,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02440000
RPWNMLKMOHJFFBG58CC,建蘭段,.00,都市：農,,,,18540008
RPSNMLLLOHJFFAG08CC,國華段,29.00,都市：住,,,,00070002
RPROMLNJPHJFFAG18CC,羅莊段,13.31,都市：住,,,,00740007
RPSOMLSJPHJFFAG78CC,北成段,11.96,都市：住,,,,07150000
RPOQMLRKOHJFFAG48CC,百福段,26.24,都市：住,,,,04860000
RPQQMLOJOHJFFAG28CC,東光段,.00,都市：商,,,,05840000
RPVNMLKKOHJFFAG18CC,東安段,24.62,都市：住,,,,04940000
RPOOMLPLOHJFFAG18CC,中華段,4.38,都市：商,,,,12220000
RPUNMLTJPHJFFBG09CC,壯一段,23.52,都市：住,,,,00570002
RPRPMLKKPHJFFBG38EC,五峰段,.00,都市：住,,,,10060000
RPWOMLSJPHJFFAG56CC,新群一段,12.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02220000
RPUNMLKKPHJFFAG18CC,中華段,29.00,都市：商,,,,07030005
RPROMLSJPHJFFBG78CC,珍子滿力段擺厘小段,.00,都市：住,,,,01280068
RPTNMLKKPHJFFAG08CC,國民一段,26.44,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01750000
RPUNMLMKPHJFFAG38CC,協和段,14.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,04330000
RPTOMLLKPHJFFBG48DC,壯一段,.00,都市：住,,,,00430123
RPVNMLMKPHJFFAG48CC,東安段,8.83,都市：住,,,,04770000
RPWNMLOKPHJFFBG98DC,五峰段,.00,都市：住,,,,00370000
RPXNMLPLOHJFFAG98CC,信義段,5.24,都市：商,,,,02510000
