編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQJNHJFFAX96DA,埕東段,.47,非都市： ; 非都市編定：,10000,57,持分移轉,03750000
RPRNMLPKNHJFFAX17DA,赤崁中段,119.38,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10890000
RPPNMLQJNHJFFAX96DA,埕東段,11.40,非都市： ; 非都市編定：,10000,57,持分移轉,03780000
RPRNMLPKNHJFFAX17DA,赤崁中段,38.22,非都市：一般農業區 ; 非都市編定：交通用地,5,1,持分移轉,11120000
RPTNMLQLNHJFFAX57DA,興崁段,1448.19,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10430000
RPUNMLRJNHJFFAX57DA,文寮段,822.73,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03400000
RPSNMLTJNHJFFAX47CA,雙湖段,58.38,非都市：森林區 ; 非都市編定：丙種建築用地,2,1,持分移轉,00290000
RPSNMLTJNHJFFAX47CA,雙湖段,18.50,非都市：森林區 ; 非都市編定：丙種建築用地,2,1,持分移轉,00300000
RPSNMLTJNHJFFAX47CA,雙湖段,199.48,非都市：森林區 ; 非都市編定：丙種建築用地,2,1,持分移轉,00310000
RPSNMLTJNHJFFAX47CA,雙湖段,14.72,非都市：森林區 ; 非都市編定：丙種建築用地,2,1,持分移轉,00320000
RPSNMLTJNHJFFAX47CA,雙湖段,680.02,非都市：森林區 ; 非都市編定：丙種建築用地,2,1,持分移轉,00330000
RPSNMLTJNHJFFAX47CA,雙湖段,6.64,非都市：森林區 ; 非都市編定：丙種建築用地,2,1,持分移轉,00340000
RPSNMLTJNHJFFAX47CA,雙湖段,67.40,非都市：森林區 ; 非都市編定：丙種建築用地,2,1,持分移轉,00350000
RPPNMLMJNHJFFAX56DA,許家段,1270.18,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11820000
RPPNMLMJNHJFFAX56DA,許家段,1251.86,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11820001
RPPNMLMJNHJFFAX56DA,許家段,1321.84,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11820002
RPTNMLRJNHJFFAX47DA,國宅段,247.36,非都市： ; 非都市編定：,1,1,全筆移轉,04040000
RPTNMLRJNHJFFAX47DA,國宅段,40.45,非都市： ; 非都市編定：,5,1,持分移轉,04070000
RPTNMLRJNHJFFAX47DA,國宅段,17.15,非都市： ; 非都市編定：,5,1,持分移轉,04080000
RPQNMLRJNHJFFAX17DA,興仁段,.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,04400000
RPQNMLRJNHJFFAX17DA,興仁段,24.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,04410000
RPQNMLRJNHJFFAX17DA,興仁段,36.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,04420000
RPQNMLRJNHJFFAX17DA,興仁段,25.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,04370000
RPXNMLRJNHJFFAX77CA,興崁段,1174.17,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11200000
RPPOMLRJNHJFFAX07CA,五福段,1051.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09800000
RPPOMLRJNHJFFAX07CA,五福段,834.10,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09810000
RPPOMLRJNHJFFAX07CA,五福段,811.72,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09820000
RPQNMLMKNHJFFAX66CA,光榮段,12.00,非都市： ; 非都市編定：,10000,102,持分移轉,04960000
RPQNMLQJNHJFFAX96CA,案山段,5.53,非都市： ; 非都市編定：,3,1,持分移轉,07150000
RPQNMLQJNHJFFAX96CA,案山段,73.26,非都市： ; 非都市編定：,3,1,持分移轉,07150001
RPQNMLQJNHJFFAX96CA,案山段,44.70,非都市： ; 非都市編定：,3,1,持分移轉,07150002
RPQNMLQJNHJFFAX96CA,案山段,2.11,非都市： ; 非都市編定：,3,1,持分移轉,07150003
RPOOMLRJNHJFFAX96CA,文澳段,16.64,非都市： ; 非都市編定：,11,1,持分移轉,24560000
RPOOMLRJNHJFFAX96CA,文澳段,38.09,非都市： ; 非都市編定：,11,1,持分移轉,24620000
RPRNMLOKNHJFFAX96CA,北寮新段,17.23,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,01040000
RPRNMLOKNHJFFAX96CA,北寮新段,187.83,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,01050000
RPUNMLOKNHJFFAX27CA,二崁南段,83.11,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10280000
RPRNMLRJNHJFFAX27DA,湖東新段,940.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08240000
RPRNMLRJNHJFFAX27DA,湖東新段,531.81,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08250000
RPRNMLRJNHJFFAX27DA,湖東新段,7.15,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,08260000
RPRNMLRJNHJFFAX27DA,湖東新段,140.06,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08910000
RPRNMLSJNHJFFAX47EA,西澳段,20.03,非都市： ; 非都市編定：,1,1,全筆移轉,02650003
RPVNMLOKNHJFFAX37CA,二崁南段,401.78,非都市：風景區 ; 非都市編定：農牧用地,8,5,持分移轉,11930000
RPSNMLSJNHJFFAX37CA,埕東段,91.73,非都市： ; 非都市編定：,1,1,全筆移轉,06690000
RPVNMLMKNHJFFAX27DA,西澳段,34.18,非都市： ; 非都市編定：,1,1,全筆移轉,02750000
RPPNMLTKNHJFFAX37DA,中衛段,5.63,非都市： ; 非都市編定：,36,1,持分移轉,09000000
RPPNMLNKNHJFFAX76DA,雙湖段,348.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02330001
RPSNMLMKNHJFFAX86CA,五福段,396.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15240000
RPWNMLQKNHJFFAX87EA,文光段,29.37,非都市： ; 非都市編定：,10000,1246,持分移轉,01690000
RPWNMLQKNHJFFAX87EA,文光段,119.19,非都市： ; 非都市編定：,10000,5057,持分移轉,01690000
RPPNMLOKNHJFFAX86DA,西澳段,3.82,非都市： ; 非都市編定：,3,1,持分移轉,05040000
