編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLLJQHJFFBE97CC,意誠段,.00,都市：商,,,,01990000
RPXQMLLJQHJFFGE66CC,新甲段,99.50,都市：其他:停車場用地,,,,11120037
RPWOMLLJQHJFFBE48CC,過田子段,118.00,都市：商,,,,07010008
RPWOMLLJQHJFFBE48CC,過田子段,74.00,都市：商,,,,07010007
RPPOMLLJQHJFFIE48CC,北屋段,76.05,都市：住,,,,06980006
RPXNMLLJQHJFFDE78DC,金獅段,6.07,都市：商,,,,01490000
RPPOMLOJQHJFFEE38CC,福山段,11.74,都市：住,,,,02210000
RPROMLOJQHJFFEE58CC,福山段,11.52,都市：住,,,,02210000
RPTOMLOJQHJFFEE78CC,新福段七小段,20.69,都市：住,,,,00040000
RPWNMLOJQHJFFBE68CC,大統段二小段,.00,都市：商,,,,11730000
RPQOMLOJQHJFFBE18CC,新興段一小段,7.19,都市：其他:空白,,,,17560000
RPQOMLLJQHJFFEE18CC,新庄段八小段,611.00,都市：住,,,,00360000
RPQOMLLJQHJFFEE18CC,新庄段八小段,383.00,都市：住,,,,00370000
RPUNMLOJQHJFFEE78CC,新庄段十三小段,111.00,都市：住,,,,13320003
RPPNMLMJQHJFFEE08CC,福山段,6.19,都市：商,,,,03460000
RPSOMLOJQHJFFFE88DC,下竹圍段,21.90,都市：住,,,,00220003
RPWNMLOJQHJFFIE76CC,烏林段,1857.85,非都市：一般農業區 ; 非都市編定：農牧用地,,,,02000000
RPTNMLOJQHJFFFE78CC,瓊安段,1652.89,都市：工,,,,07100000
RPPOMLOJQHJFFIE78CC,仁新段,991.74,都市：農,,,,08860000
RPOPMLPJQHJFFGE68CC,赤山段,88.00,都市：住,,,,04090020
RPVNMLPJQHJFFDE98DC,凱歌段,28.49,都市：住,,,,06360000
RPPPMLOJQHJFFCE28CC,憲德段二小段,17.64,都市：商,,,,00260001
RPTOMLOJQHJFFCE58CC,新生段,45.00,都市：住,,,,08260000
RPTOMLOJQHJFFCE58CC,新生段,10.00,都市：住,,,,08270000
