編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLOJQHJFFAK38CA,西坪段,2615.69,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02850000
RPVNMLNKQHJFFAK88CA,大窩段,5485.14,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05640003
RPPNMLPJQHJFFAK38CA,西坪段,49.74,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07220000
RPWNMLOJQHJFFBK09CA,福全段,139.13,都市：住,1,1,全筆移轉,16010000
RPXNMLPJQHJFFBK66CA,苗栗段,220.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07360465
RPXNMLPJQHJFFBK66CA,苗栗段,301.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07360884
RPXNMLPJQHJFFBK66CA,苗栗段,36.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361816
RPXNMLPJQHJFFBK66CA,苗栗段,1.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361817
RPXNMLPJQHJFFBK66CA,苗栗段,225.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361818
RPXNMLPJQHJFFBK66CA,苗栗段,192.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361819
RPXNMLPJQHJFFBK66CA,苗栗段,183.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361820
RPXNMLPJQHJFFBK66CA,苗栗段,183.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361821
RPXNMLPJQHJFFBK66CA,苗栗段,272.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07361822
RPXNMLPJQHJFFBK66CA,苗栗段,123.67,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,07361823
RPXNMLPJQHJFFBK66CA,苗栗段,112.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07361826
RPWNMLPJQHJFFBK56CA,苗栗段,159.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361359
RPWNMLPJQHJFFBK56CA,苗栗段,24.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361814
RPWNMLPJQHJFFBK56CA,苗栗段,11.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07361815
RPOOMLPKQHJFFBK58CA,文聖段,59.09,都市：農,1,1,全筆移轉,01680000
RPOOMLPKQHJFFBK58CA,文聖段,85.93,都市：農,1,1,全筆移轉,01670000
RPOOMLPKQHJFFBK58CA,文聖段,78.79,都市：農,1,1,全筆移轉,01690001
RPPNMLSJQHJFFBK78CA,北河段,1000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,04480060
RPPNMLSJQHJFFBK78CA,北河段,1000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,04480061
RPQNMLRJQHJFFCK88CA,藍田段,1164.88,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00830000
RPQNMLRJQHJFFCK88CA,藍田段,1164.88,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00830000
RPQNMLRJQHJFFCK88CA,藍田段,458.04,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00840000
RPQNMLRJQHJFFCK88CA,藍田段,458.04,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00840000
RPPNMLQJQHJFFCK68CA,苑南段,79.11,都市：住,1,1,全筆移轉,06120000
RPSNMLLJQHJFFDK58CA,造橋段,2644.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,14860026
RPXNMLPJQHJFFCK76CA,北梅段,545.93,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,00120000
RPXNMLPJQHJFFCK76CA,北梅段,470.60,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00170000
RPUNMLLJQHJFFDK78CA,仁德段,103.95,都市：住,1,1,全筆移轉,10100006
RPQNMLQJQHJFFDK88CA,立達段,110.56,都市：住,1,1,全筆移轉,00030000
RPQNMLQJQHJFFDK88CA,立達段,123.04,都市：住,1,1,全筆移轉,00040000
RPUNMLRJQHJFFDK76CA,龍山段,117.90,都市：住,1,1,全筆移轉,05770003
RPTNMLSKQHJFFDK86CA,中興段中興小段,52.33,都市：住,3,1,持分移轉,02240000
RPOOMLSJQHJFFDK98CA,大山腳段,1356.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11530000
RPSNMLQJQHJFFEK56CA,拐子湖段,205.00,非都市： ; 非都市編定：,1,1,全筆移轉,02220052
RPQNMLOJQHJFFFK88CA,四灣段,2602.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06980002
RPRNMLOJQHJFFFK98CA,田寮段二小段,177.00,都市：工,1,1,全筆移轉,01290017
RPPOMLOJQHJFFFK88CA,觀音段,100.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10760000
