編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLPJQHJFFAT17CA,明正段,28.00,都市：住,6,4,持分移轉,18380008
RPUNMLPJQHJFFAT17CA,明正段,55.33,都市：住,6,4,持分移轉,18390025
RPWOMLLJQHJFFAT07CA,瑞光段,45.51,都市：住,10000,257,持分移轉,07390010
RPRNMLRJQHJFFBT17CA,?南段,146.59,都市：住,1,1,全筆移轉,10580000
RPRNMLRJQHJFFBT17CA,?南段,18.64,都市：住,1,1,全筆移轉,10590000
RPUOMLLJQHJFFAT86CA,公園段二小段,9.81,都市：住,10000,112,持分移轉,00400028
RPWNMLRJQHJFFAT57CA,檳榔腳段一小段,17.00,都市：住,1,1,全筆移轉,08550009
RPWNMLRJQHJFFAT57CA,檳榔腳段一小段,83.00,都市：住,1,1,全筆移轉,08570008
RPXNMLLJQHJFFAT07CA,番子寮段,17.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,518,持分移轉,01790000
RPXNMLLJQHJFFAT07CA,番子寮段,85.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01790042
RPPNMLLKQHJFFBT09CA,玉田段,170.00,都市：商,1,1,全筆移轉,03670000
RPQNMLRJQHJFFAT96CA,勝興段,17.44,都市：住,73,1,持分移轉,05140000
RPQNMLRJQHJFFAT96CA,勝興段,60.00,都市：住,1,1,全筆移轉,05140033
RPQNMLQJQHJFFBT96CA,新圍段,1039.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01060009
RPQNMLLLQHJFFBT66CA,大路關段新大路關小段,1161.00,非都市：河川區 ; 非都市編定：農牧用地,1,1,全筆移轉,00630003
RPPNMLRJQHJFFBT96CA,南興段,1973.00,都市：農,1,1,全筆移轉,05550000
RPQOMLLJQHJFFCT66CA,新田段,365.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02610001
RPQOMLLJQHJFFCT66CA,新田段,64.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,02610003
RPUOMLLJQHJFFCT07CA,建功段,2386.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04390002
RPPNMLQLQHJFFBT07CA,中萬甲段,205.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02380000
RPPNMLQLQHJFFBT07CA,中萬甲段,179.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02440000
RPUOMLRJQHJFFCT67CA,新田段,3018.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21600000
RPRNMLRJQHJFFCT27CA,老埤段,900.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02630004
RPRNMLRJQHJFFCT27CA,老埤段,40.00,非都市： ; 非都市編定：,1,1,全筆移轉,02630017
RPQNMLPJQHJFFDT07CA,南糖段,8.31,都市：商,1,1,全筆移轉,05190000
RPQNMLPJQHJFFDT07CA,南糖段,100.96,都市：商,1,1,全筆移轉,05200000
RPUNMLNKQHJFFCT27CA,新東勢段,109.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06000001
RPQNMLSKQHJFFCT37CA,延平段,130.95,都市：住,1,1,全筆移轉,10800000
RPWNMLOJQHJFFCT47CA,大同段,85.26,都市：住,1,1,全筆移轉,04580000
RPOOMLOJQHJFFCT76CA,新埤段,319.00,非都市： ; 非都市編定：,1,1,全筆移轉,00640003
RPQNMLRJQHJFFET37CA,西門段,63.60,都市：住,1,1,全筆移轉,01850000
RPQNMLLLQHJFFCT76CA,新光華段,84.72,都市：住,1,1,全筆移轉,08270000
RPWNMLNKQHJFFDT57CA,關帝段,1884.93,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00170000
RPUNMLOJQHJFFET47CA,公順段,77.77,都市：住,1,1,全筆移轉,00670000
RPOOMLOJQHJFFDT86CA,花矸段,321.74,都市：其他:,1,1,全筆移轉,08660005
RPOOMLOJQHJFFDT86CA,花矸段,73.88,都市：其他:,1,1,全筆移轉,08660009
RPOOMLOJQHJFFDT86CA,花矸段,33.99,都市：其他:,1,1,全筆移轉,08660012
RPOOMLOJQHJFFDT86CA,花矸段,163.17,都市：其他:,1,1,全筆移轉,08880002
RPVNMLRJQHJFFET87CA,墾丁段,2084.91,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,12110000
RPRNMLOJQHJFFFT27CA,保生段,330.56,都市：住,1,1,全筆移轉,05290000
RPRNMLOJQHJFFFT27CA,保生段,.95,都市：住,1,1,全筆移轉,05300000
RPRNMLPLQHJFFFT57CA,南世段,4037.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,09890001
RPPNMLNKQHJFFET96CA,?榔林段,1.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,85,持分移轉,01120001
RPPNMLNKQHJFFET96CA,?榔林段,39.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01120023
RPPNMLNKQHJFFET96CA,?榔林段,.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,85,持分移轉,01120030
RPPNMLNKQHJFFET96CA,?榔林段,9.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,85,持分移轉,01130000
RPPNMLNKQHJFFET96CA,?榔林段,45.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01130005
RPSNMLOJQHJFFBT07DA,泰山段,151.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04600000
RPRNMLRLQHJFFFT97EA,石光段,4.32,都市：住,1,1,全筆移轉,09020001
RPRNMLRLQHJFFFT97EA,石光段,115.70,都市：住,1,1,全筆移轉,09040000
RPOOMLPJQHJFFAT76DA,勝興段,78.00,都市：住,1,1,全筆移轉,15050034
RPTNMLLJQHJFFBT86DA,瀰力肚段,892.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07340034
RPQNMLPJQHJFFBT96DA,潮北段,1183.00,都市：農,1,1,全筆移轉,07500000
RPPOMLMLQHJFFET17DA,滿林段,120.30,非都市：山坡地保育區 ; 非都市編定：遊憩用地,2953,122,持分移轉,10830000
RPPOMLMLQHJFFET17DA,滿林段,137.53,非都市：山坡地保育區 ; 非都市編定：遊憩用地,1994,139,持分移轉,10940000
RPPOMLMLQHJFFET17DA,滿林段,134.22,非都市：山坡地保育區 ; 非都市編定：遊憩用地,3102,139,持分移轉,11010000
RPPOMLMLQHJFFET17DA,滿林段,211.90,非都市：山坡地保育區 ; 非都市編定：遊憩用地,6434,213,持分移轉,11530000
