鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南投市,房地(土地+建物),南投縣南投巿南陽路３４３之１８號七樓,14.76,住,,,1031008,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840216,111.84,3,2,2,有,有,2800000,25036,,0.0,0,,RPUNMLNJJIJFFAM28CA,79.21,0.0,9.26,,
名間鄉,土地,竹圍段92地號,2772.53,,一般農業區,農牧用地,1031020,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7950000,2867,,0.0,0,,RPQNMLPJJIJFFAM08CA,0.0,0.0,0.0,,
南投市,土地,包尾段866-7地號,514.0,農,,,1031023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5580000,10856,,0.0,0,,RPRNMLPJJIJFFAM18CA,0.0,0.0,0.0,,
中寮鄉,土地,分水寮段82-19地號,639.0,,山坡地保育區,丙種建築用地,1031006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1878,,0.0,0,,RPPOMLPJJIJFFAM08CA,0.0,0.0,0.0,,
南投市,土地,包尾段746-108地號,2.0,住,,,1031022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,54450,27225,,0.0,0,,RPSOMLPJJIJFFAM38CA,0.0,0.0,0.0,,
名間鄉,土地,埔中段590地號,1559.44,,一般農業區,農牧用地,1031022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1656010,1062,,0.0,0,,RPOOMLNKJIJFFAM87CA,0.0,0.0,0.0,,
名間鄉,土地,埔中段601地號,1125.99,,一般農業區,農牧用地,1031022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1195730,1062,,0.0,0,,RPPOMLNKJIJFFAM97CA,0.0,0.0,0.0,,
中寮鄉,土地,愛鄉段456地號,148.47,住,,,1031013,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,8082,,0.0,0,本買賣含未保存登記之舊有建築物一棟,RPXNMLKLJIJFFAM48CA,0.0,0.0,0.0,,
中寮鄉,土地,分水寮段321-7地號,3336.0,,山坡地保育區,農牧用地,1031007,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1760000,528,,0.0,0,,RPSNMLOLJIJFFAM38CA,0.0,0.0,0.0,,
